         t         N         I         S      h_HL       h_H       h_L       Eta   Gamma_H   Gamma_L
    0.0000    1.0000    0.6818    0.9068   -0.8098   -0.8098    0.0000    0.6495    0.0622    0.0963
    1.0000    1.0186    0.6854    0.9196   -0.8084   -0.8057    0.0027    0.6534    0.0534    0.1015
    2.0000    1.0371    0.6897    0.9204   -0.8070   -0.8016    0.0054    0.6580    0.0528    0.0999
    3.0000    1.0557    0.6940    0.9214   -0.8056   -0.7975    0.0081    0.6626    0.0522    0.0984
    4.0000    1.0742    0.6984    0.9223   -0.8042   -0.7934    0.0108    0.6673    0.0515    0.0968
    5.0000    1.0928    0.7027    0.9232   -0.8028   -0.7893    0.0134    0.6720    0.0509    0.0953
    6.0000    1.1113    0.7071    0.9241   -0.8013   -0.7852    0.0161    0.6767    0.0503    0.0937
    7.0000    1.1299    0.7115    0.9252   -0.7999   -0.7811    0.0188    0.6815    0.0495    0.0922
    8.0000    1.1485    0.7160    0.9261   -0.7984   -0.7769    0.0214    0.6863    0.0489    0.0906
    9.0000    1.1670    0.7204    0.9271   -0.7970   -0.7728    0.0240    0.6911    0.0482    0.0890
   10.0000    1.1856    0.7249    0.9281   -0.7955   -0.7687    0.0267    0.6959    0.0475    0.0874
   11.0000    1.2041    0.7293    0.9291   -0.7940   -0.7646    0.0293    0.7007    0.0468    0.0859
   12.0000    1.2227    0.7338    0.9301   -0.7925   -0.7605    0.0319    0.7056    0.0461    0.0843
   13.0000    1.2413    0.7383    0.9311   -0.7910   -0.7564    0.0345    0.7104    0.0454    0.0827
   14.0000    1.2598    0.7428    0.9322   -0.7894   -0.7523    0.0371    0.7153    0.0447    0.0811
   15.0000    1.2784    0.7472    0.9332   -0.7878   -0.7482    0.0397    0.7201    0.0440    0.0795
   16.0000    1.2969    0.7517    0.9342   -0.7861   -0.7440    0.0423    0.7250    0.0433    0.0780
   17.0000    1.3155    0.7561    0.9352   -0.7842   -0.7399    0.0448    0.7298    0.0426    0.0764
   18.0000    1.3340    0.7605    0.9362   -0.7822   -0.7358    0.0474    0.7345    0.0419    0.0748
