         t         y         k       L_H       L_L       c_H       c_L       V_H       V_L      V_HL
    0.0000    0.0497    0.1249    0.2292    0.6389    0.0358    0.0164 1058.1479  978.5498    1.1859
    1.0000    0.0474    0.1249    0.1828    0.6313    0.0356    0.0163 1058.9002  979.2454    1.1859
    2.0000    0.0472    0.1249    0.1827    0.6319    0.0354    0.0162 1059.6627  979.9506    1.1859
    3.0000    0.0469    0.1249    0.1825    0.6325    0.0352    0.0161 1060.4349  980.6647    1.1859
    4.0000    0.0467    0.1249    0.1824    0.6331    0.0350    0.0160 1061.2164  981.3874    1.1859
    5.0000    0.0465    0.1249    0.1822    0.6336    0.0349    0.0160 1062.0072  982.1187    1.1859
    6.0000    0.0462    0.1249    0.1822    0.6336    0.0347    0.0159 1062.8074  982.8587    1.1859
    7.0000    0.0460    0.1249    0.1820    0.6354    0.0345    0.0158 1063.6173  983.6077    1.1859
    8.0000    0.0458    0.1249    0.1818    0.6358    0.0344    0.0157 1064.4362  984.3650    1.1859
    9.0000    0.0455    0.1249    0.1817    0.6362    0.0342    0.0157 1065.2645  985.1310    1.1859
   10.0000    0.0453    0.1249    0.1815    0.6377    0.0341    0.0156 1066.1022  985.9057    1.1859
   11.0000    0.0450    0.1249    0.1814    0.6382    0.0339    0.0155 1066.9492  986.6890    1.1859
   12.0000    0.0448    0.1249    0.1812    0.6386    0.0338    0.0155 1067.8057  987.4811    1.1859
   13.0000    0.0445    0.1249    0.1811    0.6398    0.0336    0.0154 1068.6718  988.2820    1.1859
   14.0000    0.0442    0.1249    0.1809    0.6407    0.0335    0.0153 1069.5474  989.0917    1.1859
   15.0000    0.0440    0.1249    0.1807    0.6413    0.0334    0.0153 1070.4326  989.9103    1.1859
   16.0000    0.0437    0.1249    0.1805    0.6422    0.0332    0.0152 1071.3274  990.7379    1.1859
   17.0000    0.0434    0.1248    0.1805    0.6434    0.0331    0.0151 1072.2320  991.5744    1.1859
   18.0000    0.0431    0.1247    0.1801    0.6434    0.0329    0.0151 1073.1470  992.4206    1.1859
   19.0000    0.0429    0.1246    0.1799    0.6444    0.0328    0.0150 1074.0712  993.2753    1.1859
   20.0000    0.0428    0.1243    0.1795    0.6439    0.0326    0.0149 1075.0050  994.1388    1.1859
   21.0000    0.0428    0.1239    0.1803    0.6458    0.0325    0.0149 1075.9485  995.0114    1.1859
   22.0000    0.0428    0.1234    0.1808    0.6515    0.0324    0.0148 1076.9025  995.8936    1.1859
   23.0000    0.0424    0.1226    0.1800    0.6473    0.0322    0.0148 1077.8545  996.7739    1.1859
   24.0000    0.0425    0.1216    0.1828    0.6567    0.0321    0.0147 1078.8078  997.6555    1.1859
   25.0000    0.0429    0.1204    0.1894    0.6751    0.0321    0.0147 1079.7128  998.4924    1.1859
   26.0000    0.0425    0.1189    0.1911    0.6732    0.0320    0.0146 1080.5530  999.2695    1.1859
   27.0000    0.0424    0.1171    0.1944    0.6785    0.0319    0.0146 1081.3507 1000.0072    1.1859
   28.0000    0.0422    0.1151    0.1998    0.6828    0.0319    0.0146 1082.0614 1000.6643    1.1859
   29.0000    0.0420    0.1130    0.2049    0.6865    0.0318    0.0146 1082.7378 1001.2899    1.1859
   30.0000    0.0417    0.1108    0.2088    0.6880    0.0318    0.0146 1083.3043 1001.8138    1.1859
   31.0000    0.0414    0.1085    0.2117    0.6893    0.0318    0.0146 1083.7798 1002.2535    1.1859
   32.0000    0.0413    0.1063    0.2153    0.6926    0.0318    0.0146 1084.1404 1002.5870    1.1859
   33.0000    0.0410    0.1043    0.2167    0.6919    0.0318    0.0145 1084.3871 1002.8152    1.1859
   34.0000    0.0409    0.1024    0.2180    0.6947    0.0318    0.0145 1084.5502 1002.9659    1.1859
   35.0000    0.0406    0.1007    0.2180    0.6943    0.0318    0.0146 1084.6547 1003.0626    1.1859
   36.0000    0.0403    0.0993    0.2181    0.6946    0.0318    0.0146 1084.7436 1003.1448    1.1859
   37.0000    0.0400    0.0981    0.2179    0.6940    0.0319    0.0146 1084.8328 1003.2273    1.1859
   38.0000    0.0396    0.0971    0.2164    0.6892    0.0319    0.0146 1084.9209 1003.3087    1.1859
   39.0000    0.0394    0.0964    0.2175    0.6916    0.0320    0.0146 1085.0034 1003.3851    1.1859
   40.0000    0.0391    0.0958    0.2158    0.6870    0.0321    0.0147 1085.0884 1003.4636    1.1859
   41.0000    0.0391    0.0953    0.2170    0.6902    0.0322    0.0147 1085.1671 1003.5364    1.1859
   42.0000    0.0389    0.0950    0.2158    0.6871    0.0322    0.0148 1085.2484 1003.6116    1.1859
   43.0000    0.0385    0.0948    0.2131    0.6784    0.0323    0.0148 1085.3242 1003.6818    1.1859
   44.0000    0.0386    0.0946    0.2140    0.6813    0.0324    0.0148 1085.3907 1003.7432    1.1859
   45.0000    0.0387    0.0945    0.2157    0.6865    0.0325    0.0149 1085.4590 1003.8064    1.1859
   46.0000    0.0382    0.0945    0.2104    0.6691    0.0325    0.0149 1085.5312 1003.8732    1.1859
   47.0000    0.0387    0.0944    0.2158    0.6870    0.0326    0.0149 1085.5855 1003.9234    1.1859
   48.0000    0.0383    0.0944    0.2122    0.6753    0.0327    0.0149 1085.6563 1003.9888    1.1859
   49.0000    0.0386    0.0944    0.2151    0.6848    0.0327    0.0150 1085.7138 1004.0421    1.1859
   50.0000    0.0387    0.0944    0.2162    0.6884    0.0328    0.0150 1085.7800 1004.1033    1.1859
   51.0000    0.0382    0.0943    0.2110    0.6711    0.0329    0.0150 1085.8480 1004.1662    1.1859
   52.0000    0.0385    0.0943    0.2146    0.6830    0.0330    0.0151 1085.8987 1004.2130    1.1859
   53.0000    0.0383    0.0943    0.2146    0.6722    0.0330    0.0151 1085.9594 1004.2691    1.1859
   54.0000    0.0385    0.0943    0.2145    0.6831    0.0331    0.0151 1086.0191 1004.3244    1.1859
