         t         r       w_H       w_L      w_HL      s_LH      s_LL
    0.0000    0.0523    0.0366    0.0262    1.4012    0.1689    0.3360
    1.0000    0.0488    0.0375    0.0263    1.4260    0.1447    0.3503
    2.0000    0.0490    0.0372    0.0260    1.4296    0.1441    0.3487
    3.0000    0.0491    0.0369    0.0257    1.4334    0.1436    0.3470
    4.0000    0.0492    0.0366    0.0255    1.4371    0.1430    0.3454
    5.0000    0.0493    0.0363    0.0252    1.4408    0.1424    0.3437
    6.0000    0.0494    0.0360    0.0249    1.4445    0.1420    0.3418
    7.0000    0.0495    0.0357    0.0247    1.4486    0.1412    0.3404
    8.0000    0.0496    0.0354    0.0244    1.4524    0.1406    0.3386
    9.0000    0.0496    0.0351    0.0241    1.4563    0.1400    0.3368
   10.0000    0.0497    0.0348    0.0238    1.4604    0.1393    0.3352
   11.0000    0.0497    0.0344    0.0235    1.4644    0.1387    0.3333
   12.0000    0.0497    0.0341    0.0232    1.4684    0.1381    0.3314
   13.0000    0.0498    0.0338    0.0229    1.4726    0.1374    0.3297
   14.0000    0.0498    0.0334    0.0226    1.4768    0.1367    0.3278
   15.0000    0.0498    0.0331    0.0223    1.4811    0.1360    0.3259
   16.0000    0.0498    0.0327    0.0220    1.4855    0.1353    0.3241
   17.0000    0.0498    0.0324    0.0217    1.4901    0.1347    0.3222
   18.0000    0.0497    0.0321    0.0214    1.4951    0.1340    0.3202
   19.0000    0.0497    0.0319    0.0213    1.4994    0.1337    0.3194
   20.0000    0.0496    0.0319    0.0212    1.5035    0.1338    0.3192
   21.0000    0.0498    0.0319    0.0211    1.5081    0.1343    0.3191
   22.0000    0.0502    0.0318    0.0210    1.5143    0.1344    0.3199
   23.0000    0.0500    0.0318    0.0209    1.5211    0.1350    0.3190
   24.0000    0.0508    0.0317    0.0207    1.5288    0.1361    0.3199
   25.0000    0.0523    0.0314    0.0204    1.5369    0.1385    0.3212
   26.0000    0.0527    0.0313    0.0202    1.5456    0.1405    0.3202
   27.0000    0.0536    0.0311    0.0200    1.5546    0.1426    0.3203
   28.0000    0.0546    0.0309    0.0198    1.5626    0.1461    0.3195
   29.0000    0.0558    0.0307    0.0195    1.5706    0.1495    0.3190
   30.0000    0.0568    0.0305    0.0193    1.5783    0.1526    0.3187
   31.0000    0.0578    0.0304    0.0192    1.5854    0.1553    0.3190
   32.0000    0.0590    0.0303    0.0191    1.5907    0.1582    0.3199
   33.0000    0.0599    0.0304    0.0190    1.5942    0.1603    0.3210
   34.0000    0.0609    0.0303    0.0190    1.5954    0.1616    0.3227
   35.0000    0.0617    0.0302    0.0189    1.5953    0.1622    0.3237
   36.0000    0.0623    0.0300    0.0188    1.5957    0.1626    0.3245
   37.0000    0.0629    0.0298    0.0187    1.5963    0.1628    0.3248
   38.0000    0.0630    0.0297    0.0186    1.5969    0.1627    0.3245
   39.0000    0.0635    0.0296    0.0185    1.5973    0.1631    0.3247
   40.0000    0.0634    0.0295    0.0185    1.5978    0.1628    0.3244
   41.0000    0.0639    0.0294    0.0184    1.5982    0.1631    0.3246
   42.0000    0.0638    0.0293    0.0184    1.5986    0.1628    0.3244
   43.0000    0.0633    0.0294    0.0184    1.5988    0.1624    0.3235
   44.0000    0.0636    0.0293    0.0183    1.5990    0.1626    0.3237
   45.0000    0.0640    0.0292    0.0183    1.5991    0.1629    0.3242
   46.0000    0.0628    0.0294    0.0184    1.5991    0.1621    0.3224
   47.0000    0.0641    0.0292    0.0183    1.5992    0.1629    0.3242
   48.0000    0.0633    0.0293    0.0183    1.5992    0.1623    0.3230
   49.0000    0.0639    0.0292    0.0183    1.5993    0.1628    0.3240
