         t         g       g_N       g_I      g_hH      g_hL
    0.0000    4.4648    4.2036    4.2036    0.2612    0.2612
    1.0000    4.4891    4.2278    5.5142    0.2612    0.2612
    2.0000    4.5119    4.2506    5.5125    0.2612    0.2612
    3.0000    4.5339    4.2727    5.5123    0.2612    0.2612
    4.0000    4.5574    4.2962    5.5098    0.2612    0.2612
    5.0000    4.5858    4.3246    5.5014    0.2612    0.2612
    6.0000    4.6269    4.3656    5.5069    0.2612    0.2612
    7.0000    4.6823    4.4211    5.5021    0.2612    0.2612
    8.0000    4.7558    4.4946    5.5021    0.2612    0.2612
    9.0000    4.8502    4.5890    5.4878    0.2612    0.2612
   10.0000    4.9647    4.7035    5.4868    0.2612    0.2612
   11.0000    5.0895    4.8282    5.4500    0.2612    0.2612
   12.0000    5.2194    4.9582    5.4297    0.2612    0.2612
   13.0000    5.3452    5.0840    5.3712    0.2612    0.2612
   14.0000    5.4577    5.1965    5.2817    0.2612    0.2612
   15.0000    5.5517    5.2905    5.2016    0.2612    0.2612
   16.0000    5.6246    5.3633    5.1531    0.2612    0.2612
   17.0000    5.6793    5.4181    5.1938    0.2612    0.2612
   18.0000    5.7168    5.4556    5.2475    0.2612    0.2612
   19.0000    5.7418    5.4805    5.3030    0.2612    0.2612
   20.0000    5.7575    5.4962    5.3593    0.2612    0.2612
   21.0000    5.7670    5.5058    5.4092    0.2612    0.2612
   22.0000    5.7725    5.5113    5.4500    0.2612    0.2612
   23.0000    5.7756    5.5144    5.4785    0.2612    0.2612
   24.0000    5.7772    5.5160    5.4883    0.2612    0.2612
   25.0000    5.7780    5.5167    5.4939    0.2612    0.2612
   26.0000    5.7784    5.5171    5.4941    0.2612    0.2612
   27.0000    5.7786    5.5174    5.5051    0.2612    0.2612
   28.0000    5.7786    5.5174    5.5040    0.2612    0.2612
   29.0000    5.7788    5.5175    5.5054    0.2612    0.2612
   30.0000    5.7788    5.5176    5.5046    0.2612    0.2612
   31.0000    5.7788    5.5175    5.5040    0.2612    0.2612
   32.0000    5.7788    5.5175    5.5063    0.2612    0.2612
   33.0000    5.7788    5.5175    5.5077    0.2612    0.2612
   34.0000    5.7787    5.5175    5.5013    0.2612    0.2612
   35.0000    5.7786    5.5174    5.4971    0.2612    0.2612
   36.0000    5.7788    5.5176    5.5090    0.2612    0.2612
   37.0000    5.7787    5.5175    5.5015    0.2612    0.2612
   38.0000    5.7785    5.5173    5.4974    0.2612    0.2612
   39.0000    5.7788    5.5176    5.5089    0.2612    0.2612
   40.0000    5.7788    5.5176    5.5042    0.2612    0.2612
   41.0000    5.7788    5.5175    5.5069    0.2612    0.2612
   42.0000    5.7788    5.5176    5.5046    0.2612    0.2612
   43.0000    5.7787    5.5175    5.5015    0.2612    0.2612
   44.0000    5.7788    5.5175    5.5047    0.2612    0.2612
   45.0000    5.7788    5.5175    5.5055    0.2612    0.2612
   46.0000    5.7787    5.5175    5.5011    0.2612    0.2612
   47.0000    5.7787    5.5175    5.5020    0.2612    0.2612
   48.0000    5.7787    5.5175    5.5022    0.2612    0.2612
   49.0000    5.7788    5.5175    5.5055    0.2612    0.2612
   50.0000    5.7787    5.5175    5.5009    0.2612    0.2612
   51.0000    5.7788    5.5176    5.5053    0.2612    0.2612
   52.0000    5.7787    5.5175    5.5023    0.2612    0.2612
   53.0000    5.7787    5.5175    5.5039    0.2612    0.2612
   54.0000    5.7788    5.5175    5.5068    0.2612    0.2612
   55.0000    5.7788    5.5176    5.5083    0.2612    0.2612
   56.0000    5.7787    5.5174    5.4981    0.2612    0.2612
   57.0000    5.7787    5.5175    5.5012    0.2612    0.2612
   58.0000    5.7788    5.5175    5.5056    0.2612    0.2612
   59.0000    5.7787    5.5175    5.5016    0.2612    0.2612
   60.0000    5.7788    5.5175    5.5047    0.2612    0.2612
   61.0000    5.7788    5.5175    5.5044    0.2612    0.2612
   62.0000    5.7788    5.5176    5.5067    0.2612    0.2612
   63.0000    5.7788    5.5176    5.5051    0.2612    0.2612
   64.0000    5.7788    5.5176    5.5012    0.2612    0.2612
   65.0000    5.7788    5.5176    5.5083    0.2612    0.2612
   66.0000    5.7788    5.5176    5.5075    0.2612    0.2612
   67.0000    5.7788    5.5175    5.5031    0.2612    0.2612
   68.0000    5.7787    5.5175    5.5045    0.2612    0.2612
   69.0000    5.7787    5.5175    5.5036    0.2612    0.2612
   70.0000    5.7788    5.5176    5.5068    0.2612    0.2612
   71.0000    5.7788    5.5175    5.5036    0.2612    0.2612
   72.0000    5.7788    5.5175    5.5034    0.2612    0.2612
   73.0000    5.7787    5.5175    5.5033    0.2612    0.2612
   74.0000    5.7788    5.5175    5.5037    0.2612    0.2612
   75.0000    5.7788    5.5175    5.5054    0.2612    0.2612
   76.0000    5.7786    5.5173    5.4973    0.2612    0.2612
   77.0000    5.7788    5.5176    5.5085    0.2612    0.2612
   78.0000    5.7788    5.5175    5.5065    0.2612    0.2612
   79.0000    5.7786    5.5173    5.4979    0.2612    0.2612
   80.0000    5.7788    5.5175    5.5015    0.2612    0.2612
   81.0000    5.7788    5.5176    5.5058    0.2612    0.2612
   82.0000    5.7787    5.5174    5.5027    0.2612    0.2612
   83.0000    5.7788    5.5175    5.5030    0.2612    0.2612
   84.0000    5.7788    5.5176    5.5063    0.2612    0.2612
   85.0000    5.7787    5.5175    5.4964    0.2612    0.2612
   86.0000    5.7788    5.5176    5.5085    0.2612    0.2612
   87.0000    5.7788    5.5176    5.5074    0.2612    0.2612
   88.0000    5.7787    5.5175    5.5041    0.2612    0.2612
   89.0000    5.7787    5.5175    5.5043    0.2612    0.2612
   90.0000    5.7788    5.5175    5.5069    0.2612    0.2612
   91.0000    5.7788    5.5175    5.5051    0.2612    0.2612
   92.0000    5.7788    5.5175    5.5056    0.2612    0.2612
   93.0000    5.7788    5.5175    5.5043    0.2612    0.2612
   94.0000    5.7788    5.5175    5.5018    0.2612    0.2612
   95.0000    5.7787    5.5175    5.5030    0.2612    0.2612
   96.0000    5.7788    5.5175    5.5033    0.2612    0.2612
   97.0000    5.7787    5.5175    5.5014    0.2612    0.2612
   98.0000    5.7788    5.5175    5.5060    0.2612    0.2612
   99.0000    5.7787    5.5175    5.4995    0.2612    0.2612
  100.0000    5.7789    5.5177    5.5177    0.2612    0.2612
