         t         g       g_N       g_I      g_hH      g_hL
    0.0000    4.4648    4.2036    4.2036    0.2612    0.2612
    1.0000    4.6998    4.4296    5.2097    0.2702    0.1367
    2.0000    4.7029    4.4315    5.2097    0.2714    0.1450
    3.0000    4.7119    4.4400    5.2101    0.2718    0.1406
    4.0000    4.7226    4.4500    5.2102    0.2726    0.1403
    5.0000    4.7303    4.4573    5.2104    0.2729    0.1431
    6.0000    4.7361    4.4631    5.2097    0.2730    0.1486
    7.0000    4.7456    4.4764    5.2096    0.2692    0.1378
    8.0000    4.7509    4.4786    5.2085    0.2722    0.1415
    9.0000    4.7567    4.4849    5.2102    0.2717    0.1402
   10.0000    4.7674    4.4953    5.2088    0.2721    0.1367
   11.0000    4.7745    4.5035    5.2087    0.2710    0.1370
   12.0000    4.7805    4.5078    5.2077    0.2727    0.1362
   13.0000    4.7905    4.5177    5.2055    0.2728    0.1396
   14.0000    4.7894    4.5206    5.2073    0.2689    0.1343
   15.0000    4.7958    4.5230    5.2076    0.2728    0.1339
   16.0000    4.7987    4.5261    5.2098    0.2726    0.1351
   17.0000    4.7950    4.5263    5.2080    0.2687    0.1341
   18.0000    4.7993    4.5270    5.2048    0.2723    0.1389
   19.0000    4.8019    4.5327    5.2087    0.2692    0.1329
   20.0000    4.8062    4.5334    5.2093    0.2728    0.1313
   21.0000    4.8002    4.5277    5.2079    0.2725    0.1337
   22.0000    4.8077    4.5354    5.2088    0.2722    0.1313
   23.0000    4.8036    4.5317    5.2055    0.2719    0.1309
   24.0000    4.8001    4.5274    5.2001    0.2727    0.1321
   25.0000    4.7986    4.5254    5.2075    0.2731    0.1309
   26.0000    4.7971    4.5242    5.2057    0.2729    0.1308
   27.0000    4.7974    4.5252    5.2016    0.2722    0.1310
   28.0000    4.7956    4.5225    5.2087    0.2731    0.1308
   29.0000    4.7963    4.5237    5.2069    0.2726    0.1309
   30.0000    4.7956    4.5231    5.2077    0.2725    0.1313
   31.0000    4.7892    4.5164    5.2079    0.2728    0.1344
   32.0000    4.7944    4.5229    5.2088    0.2714    0.1320
   33.0000    4.7857    4.5139    5.2086    0.2718    0.1355
   34.0000    4.7852    4.5135    5.2087    0.2718    0.1345
   35.0000    4.7838    4.5124    5.2070    0.2714    0.1355
   36.0000    4.7806    4.5091    5.2076    0.2715    0.1433
   37.0000    4.7727    4.5013    5.2094    0.2713    0.1539
   38.0000    4.7822    4.5134    5.2078    0.2689    0.1582
   39.0000    4.7773    4.5109    5.2068    0.2664    0.1602
   40.0000    4.7817    4.5188    5.2067    0.2629    0.1535
   41.0000    4.7919    4.5320    5.2094    0.2598    0.1534
   42.0000    4.7868    4.5270    5.2086    0.2598    0.1682
   43.0000    4.7813    4.5247    5.2086    0.2566    0.1750
   44.0000    4.7877    4.5347    5.2100    0.2531    0.1716
   45.0000    4.7993    4.5493    5.2090    0.2500    0.1720
   46.0000    4.7965    4.5470    5.2074    0.2495    0.1806
   47.0000    4.7977    4.5589    5.2082    0.2388    0.1848
   48.0000    4.8098    4.5717    5.2077    0.2381    0.1856
   49.0000    4.8142    4.5763    5.2087    0.2379    0.1900
   50.0000    4.8278    4.5905    5.2096    0.2373    0.1976
   51.0000    4.8382    4.6104    5.2060    0.2278    0.2045
   52.0000    4.8423    4.6138    5.2093    0.2285    0.2113
   53.0000    4.8582    4.6410    5.2060    0.2172    0.2176
   54.0000    4.8614    4.6533    5.2096    0.2080    0.2267
   55.0000    4.8803    4.6756    5.2085    0.2047    0.2260
   56.0000    4.9028    4.7081    5.2015    0.1947    0.2292
   57.0000    4.9307    4.7366    5.2096    0.1941    0.2282
   58.0000    4.9485    4.7601    5.2057    0.1884    0.2405
   59.0000    4.9681    4.7778    5.2080    0.1903    0.2474
   60.0000    4.9948    4.8063    5.2104    0.1885    0.2506
   61.0000    5.0267    4.8491    5.2091    0.1776    0.2530
   62.0000    5.0589    4.8876    5.2092    0.1713    0.2589
   63.0000    5.0929    4.9298    5.2087    0.1631    0.2608
   64.0000    5.1471    4.9859    5.2051    0.1613    0.2580
   65.0000    5.1957    5.0402    5.2025    0.1555    0.2594
   66.0000    5.2390    5.0875    5.1941    0.1515    0.2623
   67.0000    5.2850    5.1366    5.1682    0.1484    0.2668
   68.0000    5.3167    5.1699    5.1342    0.1468    0.2713
   69.0000    5.3468    5.2028    5.0756    0.1440    0.2725
   70.0000    5.3503    5.2121    4.4254    0.1381    0.2717
   71.0000    5.3547    5.2121    4.3364    0.1426    0.2695
   72.0000    5.3626    5.2121    4.2818    0.1504    0.2688
   73.0000    5.3707    5.2121    4.3050    0.1585    0.2655
   74.0000    5.3778    5.2121    4.2974    0.1656    0.2637
   75.0000    5.3949    5.2121    4.3352    0.1827    0.2555
   76.0000    5.4025    5.2121    4.4676    0.1904    0.2524
   77.0000    5.4187    5.2122    4.4960    0.2066    0.2522
   78.0000    5.4180    5.2122    4.9584    0.2059    0.2404
   79.0000    5.4228    5.2122    5.2122    0.2106    0.2314
   80.0000    5.4279    5.2122    5.2122    0.2158    0.2297
   81.0000    5.4325    5.2122    5.2122    0.2204    0.2322
   82.0000    5.4302    5.2122    5.2122    0.2180    0.2405
   83.0000    5.4320    5.2122    5.2122    0.2198    0.2352
   84.0000    5.4278    5.2122    5.2122    0.2157    0.2334
   85.0000    5.4260    5.2122    5.2122    0.2138    0.2278
   86.0000    5.4278    5.2122    5.2122    0.2157    0.2321
   87.0000    5.4314    5.2122    5.2122    0.2193    0.2304
   88.0000    5.4349    5.2122    5.2122    0.2227    0.2291
   89.0000    5.4359    5.2122    5.2122    0.2237    0.2278
   90.0000    5.4407    5.2122    5.2122    0.2286    0.2314
   91.0000    5.4450    5.2122    5.2122    0.2328    0.2373
   92.0000    5.4420    5.2122    5.2122    0.2299    0.2404
   93.0000    5.4419    5.2122    5.2122    0.2298    0.2334
   94.0000    5.4458    5.2122    5.2122    0.2337    0.2315
   95.0000    5.4486    5.2122    5.2122    0.2364    0.2344
   96.0000    5.4490    5.2122    5.2122    0.2368    0.2434
   97.0000    5.4545    5.2122    5.1874    0.2424    0.2438
   98.0000    5.4507    5.2122    5.1685    0.2385    0.2437
   99.0000    5.4571    5.2122    4.8320    0.2450    0.2451
  100.0000    5.4864    5.2122    5.2122    0.2743    0.2743
