         t         N         I         S      h_HL       h_H       h_L       Eta   Gamma_H   Gamma_L
    0.0000    1.0000    0.6818    0.9068   -0.8098   -0.8098    0.0000    0.6495    0.0622    0.0963
    1.0000    1.0196    0.6853    0.9130   -0.8086   -0.8071    0.0014    0.6532    0.0580    0.0980
    2.0000    1.0391    0.6888    0.9137   -0.8073   -0.8044    0.0028    0.6570    0.0575    0.0967
    3.0000    1.0587    0.6922    0.9145   -0.8060   -0.8017    0.0042    0.6607    0.0569    0.0955
    4.0000    1.0784    0.6956    0.9153   -0.8047   -0.7990    0.0056    0.6643    0.0564    0.0943
    5.0000    1.0980    0.6990    0.9159   -0.8034   -0.7963    0.0071    0.6679    0.0559    0.0931
    6.0000    1.1177    0.7023    0.9165   -0.8021   -0.7935    0.0085    0.6715    0.0555    0.0918
    7.0000    1.1375    0.7056    0.9172   -0.8008   -0.7908    0.0099    0.6751    0.0551    0.0906
    8.0000    1.1573    0.7088    0.9180   -0.7995   -0.7881    0.0113    0.6786    0.0545    0.0895
    9.0000    1.1771    0.7120    0.9187   -0.7982   -0.7854    0.0127    0.6820    0.0540    0.0884
   10.0000    1.1969    0.7152    0.9195   -0.7970   -0.7827    0.0141    0.6855    0.0535    0.0872
   11.0000    1.2168    0.7184    0.9201   -0.7957   -0.7800    0.0155    0.6889    0.0531    0.0861
   12.0000    1.2367    0.7215    0.9209   -0.7944   -0.7772    0.0168    0.6922    0.0525    0.0850
   13.0000    1.2567    0.7246    0.9215   -0.7931   -0.7745    0.0182    0.6956    0.0521    0.0839
   14.0000    1.2766    0.7276    0.9220   -0.7918   -0.7718    0.0196    0.6988    0.0517    0.0827
   15.0000    1.2966    0.7306    0.9229   -0.7904   -0.7691    0.0209    0.7021    0.0511    0.0818
   16.0000    1.3166    0.7336    0.9236   -0.7891   -0.7664    0.0223    0.7054    0.0507    0.0807
   17.0000    1.3365    0.7366    0.9240   -0.7877   -0.7637    0.0236    0.7086    0.0504    0.0794
   18.0000    1.3565    0.7396    0.9248   -0.7863   -0.7610    0.0250    0.7119    0.0498    0.0784
   19.0000    1.3765    0.7426    0.9254   -0.7849   -0.7583    0.0263    0.7151    0.0494    0.0773
   20.0000    1.3966    0.7456    0.9263   -0.7835   -0.7555    0.0276    0.7184    0.0487    0.0764
   21.0000    1.4165    0.7486    0.9270   -0.7821   -0.7528    0.0290    0.7216    0.0483    0.0753
   22.0000    1.4366    0.7516    0.9277   -0.7807   -0.7501    0.0303    0.7249    0.0478    0.0742
   23.0000    1.4566    0.7545    0.9283   -0.7794   -0.7474    0.0316    0.7281    0.0474    0.0732
   24.0000    1.4766    0.7575    0.9290   -0.7780   -0.7446    0.0329    0.7313    0.0469    0.0721
   25.0000    1.4965    0.7605    0.9298   -0.7767   -0.7419    0.0342    0.7345    0.0464    0.0711
   26.0000    1.5165    0.7623    0.9302   -0.7754   -0.7392    0.0355    0.7366    0.0461    0.0704
   27.0000    1.5365    0.7623    0.9301   -0.7742   -0.7365    0.0368    0.7366    0.0461    0.0703
   28.0000    1.5565    0.7623    0.9301   -0.7730   -0.7337    0.0382    0.7366    0.0461    0.0702
   29.0000    1.5764    0.7623    0.9301   -0.7718   -0.7310    0.0395    0.7366    0.0462    0.0701
   30.0000    1.5964    0.7623    0.9300   -0.7708   -0.7283    0.0408    0.7366    0.0462    0.0700
   31.0000    1.6163    0.7623    0.9300   -0.7699   -0.7256    0.0421    0.7366    0.0462    0.0699
   32.0000    1.6363    0.7623    0.9299   -0.7691   -0.7228    0.0434    0.7366    0.0463    0.0698
   33.0000    1.6562    0.7623    0.9298   -0.7684   -0.7201    0.0448    0.7366    0.0463    0.0697
   34.0000    1.6762    0.7623    0.9298   -0.7680   -0.7174    0.0461    0.7366    0.0463    0.0697
   35.0000    1.6961    0.7623    0.9298   -0.7677   -0.7147    0.0475    0.7366    0.0464    0.0697
   36.0000    1.7160    0.7623    0.9297   -0.7676   -0.7120    0.0489    0.7366    0.0464    0.0696
   37.0000    1.7359    0.7623    0.9295   -0.7677   -0.7093    0.0505    0.7366    0.0466    0.0695
   38.0000    1.7558    0.7623    0.9292   -0.7680   -0.7066    0.0520    0.7366    0.0467    0.0694
   39.0000    1.7757    0.7623    0.9290   -0.7684   -0.7039    0.0536    0.7366    0.0469    0.0693
   40.0000    1.7957    0.7623    0.9288   -0.7690   -0.7013    0.0552    0.7366    0.0470    0.0693
   41.0000    1.8157    0.7623    0.9287   -0.7698   -0.6987    0.0567    0.7366    0.0471    0.0693
   42.0000    1.8356    0.7623    0.9284   -0.7708   -0.6961    0.0584    0.7366    0.0473    0.0692
   43.0000    1.8556    0.7623    0.9281   -0.7720   -0.6935    0.0602    0.7366    0.0475    0.0691
   44.0000    1.8756    0.7623    0.9279   -0.7734   -0.6910    0.0619    0.7366    0.0476    0.0691
   45.0000    1.8957    0.7623    0.9278   -0.7749   -0.6885    0.0636    0.7366    0.0477    0.0692
   46.0000    1.9158    0.7623    0.9276   -0.7766   -0.6860    0.0654    0.7366    0.0479    0.0692
   47.0000    1.9359    0.7623    0.9268   -0.7784   -0.6836    0.0672    0.7366    0.0484    0.0689
   48.0000    1.9561    0.7623    0.9268   -0.7804   -0.6812    0.0691    0.7366    0.0484    0.0691
   49.0000    1.9763    0.7623    0.9268   -0.7825   -0.6788    0.0710    0.7366    0.0484    0.0692
   50.0000    1.9966    0.7623    0.9267   -0.7845   -0.6765    0.0730    0.7366    0.0485    0.0693
   51.0000    2.0169    0.7623    0.9259   -0.7866   -0.6742    0.0750    0.7366    0.0490    0.0690
   52.0000    2.0373    0.7623    0.9258   -0.7885   -0.6719    0.0771    0.7366    0.0491    0.0691
   53.0000    2.0578    0.7623    0.9249   -0.7902   -0.6697    0.0793    0.7366    0.0497    0.0688
   54.0000    2.0783    0.7623    0.9241   -0.7915   -0.6677    0.0816    0.7366    0.0503    0.0684
   55.0000    2.0990    0.7623    0.9240   -0.7923   -0.6656    0.0838    0.7366    0.0504    0.0684
   56.0000    2.1198    0.7623    0.9233   -0.7925   -0.6637    0.0861    0.7366    0.0509    0.0681
   57.0000    2.1407    0.7623    0.9233   -0.7921   -0.6617    0.0884    0.7366    0.0508    0.0681
   58.0000    2.1617    0.7623    0.9225   -0.7911   -0.6598    0.0908    0.7366    0.0514    0.0676
   59.0000    2.1828    0.7623    0.9223   -0.7896   -0.6579    0.0933    0.7366    0.0515    0.0674
   60.0000    2.2040    0.7623    0.9219   -0.7874   -0.6560    0.0958    0.7366    0.0518    0.0671
   61.0000    2.2254    0.7623    0.9211   -0.7847   -0.6543    0.0983    0.7366    0.0524    0.0664
