         t         N         I         S      h_HL       h_H       h_L       Eta   Gamma_H   Gamma_L
    0.0000    1.0000    0.6818    0.9068   -0.8098   -0.8098    0.0000    0.6495    0.0622    0.0963
    1.0000    1.0186    0.6862    0.9068   -0.8098   -0.8072    0.0027    0.6543    0.0622    0.0944
    2.0000    1.0371    0.6907    0.9079   -0.8087   -0.8046    0.0055    0.6590    0.0615    0.0929
    3.0000    1.0557    0.6951    0.9045   -0.7045   -0.8020    0.0082    0.6638    0.0637    0.0804
    4.0000    1.0742    0.6995    0.9056   -0.7045   -0.7994    0.0110    0.6685    0.0630    0.0792
    5.0000    1.0928    0.7039    0.9068   -0.7045   -0.7968    0.0137    0.6733    0.0622    0.0780
    6.0000    1.1113    0.7084    0.9079   -0.7045   -0.7942    0.0165    0.6781    0.0614    0.0767
    7.0000    1.1299    0.7129    0.9091   -0.7045   -0.7916    0.0192    0.6829    0.0606    0.0755
    8.0000    1.1485    0.7175    0.9103   -0.7045   -0.7889    0.0219    0.6880    0.0598    0.0742
    9.0000    1.1670    0.7226    0.9116   -0.7045   -0.7863    0.0247    0.6935    0.0589    0.0728
   10.0000    1.1856    0.7282    0.9131   -0.7045   -0.7837    0.0274    0.6995    0.0579    0.0713
   11.0000    1.2042    0.7343    0.9148   -0.7045   -0.7811    0.0302    0.7061    0.0567    0.0697
   12.0000    1.2228    0.7408    0.9168   -0.7045   -0.7784    0.0329    0.7132    0.0554    0.0680
   13.0000    1.2417    0.7476    0.9192   -0.7045   -0.7757    0.0357    0.7205    0.0537    0.0664
   14.0000    1.2610    0.7539    0.9210   -0.7045   -0.7730    0.0384    0.7274    0.0525    0.0647
   15.0000    1.2807    0.7592    0.9224   -0.7045   -0.7702    0.0411    0.7331    0.0515    0.0632
   16.0000    1.3009    0.7623    0.9233   -0.7045   -0.7675    0.0439    0.7365    0.0509    0.0623
   17.0000    1.3217    0.7623    0.9233   -0.7045   -0.7648    0.0466    0.7366    0.0509    0.0623
   18.0000    1.3429    0.7623    0.9233   -0.7045   -0.7620    0.0494    0.7366    0.0509    0.0623
   19.0000    1.3646    0.7623    0.9233   -0.7045   -0.7593    0.0521    0.7366    0.0509    0.0623
   20.0000    1.3866    0.7623    0.9232   -0.7045   -0.7565    0.0549    0.7366    0.0509    0.0623
   21.0000    1.4090    0.7623    0.9233   -0.7045   -0.7538    0.0576    0.7366    0.0509    0.0623
   22.0000    1.4316    0.7623    0.9232   -0.7045   -0.7511    0.0603    0.7366    0.0509    0.0623
   23.0000    1.4543    0.7623    0.9232   -0.7045   -0.7483    0.0631    0.7366    0.0509    0.0623
   24.0000    1.4772    0.7623    0.9232   -0.7045   -0.7456    0.0658    0.7366    0.0509    0.0623
   25.0000    1.5001    0.7623    0.9232   -0.7045   -0.7428    0.0686    0.7366    0.0509    0.0623
   26.0000    1.5230    0.7623    0.9232   -0.7045   -0.7401    0.0713    0.7366    0.0509    0.0623
   27.0000    1.5460    0.7623    0.9232   -0.7045   -0.7374    0.0741    0.7365    0.0509    0.0623
   28.0000    1.5690    0.7623    0.9232   -0.7045   -0.7346    0.0768    0.7365    0.0509    0.0623
   29.0000    1.5920    0.7623    0.9232   -0.7045   -0.7319    0.0795    0.7365    0.0509    0.0623
   30.0000    1.6150    0.7623    0.9232   -0.7045   -0.7292    0.0823    0.7365    0.0509    0.0623
   31.0000    1.6380    0.7623    0.9233   -0.7045   -0.7264    0.0850    0.7365    0.0509    0.0623
   32.0000    1.6611    0.7623    0.9233   -0.7045   -0.7237    0.0878    0.7365    0.0509    0.0623
   33.0000    1.6841    0.7623    0.9233   -0.7045   -0.7209    0.0905    0.7366    0.0509    0.0623
   34.0000    1.7071    0.7623    0.9233   -0.7045   -0.7182    0.0933    0.7366    0.0509    0.0623
   35.0000    1.7301    0.7623    0.9233   -0.7045   -0.7154    0.0960    0.7366    0.0509    0.0623
   36.0000    1.7531    0.7623    0.9233   -0.7045   -0.7127    0.0987    0.7366    0.0509    0.0623
   37.0000    1.7761    0.7623    0.9233   -0.7045   -0.7100    0.1015    0.7366    0.0509    0.0623
   38.0000    1.7991    0.7623    0.9233   -0.7045   -0.7072    0.1042    0.7366    0.0509    0.0623
   39.0000    1.8221    0.7623    0.9233   -0.7045   -0.7045    0.1070    0.7366    0.0509    0.0623
   40.0000    1.8451    0.7623    0.9233   -0.7045   -0.7017    0.1097    0.7366    0.0509    0.0623
   41.0000    1.8681    0.7623    0.9233   -0.7045   -0.6990    0.1124    0.7366    0.0509    0.0623
   42.0000    1.8912    0.7623    0.9233   -0.7045   -0.6962    0.1152    0.7366    0.0509    0.0623
   43.0000    1.9142    0.7623    0.9233   -0.7045   -0.6935    0.1179    0.7366    0.0509    0.0623
   44.0000    1.9372    0.7623    0.9233   -0.7045   -0.6908    0.1207    0.7366    0.0509    0.0623
   45.0000    1.9602    0.7623    0.9233   -0.7045   -0.6880    0.1234    0.7366    0.0509    0.0623
   46.0000    1.9832    0.7623    0.9233   -0.7045   -0.6853    0.1262    0.7366    0.0509    0.0623
   47.0000    2.0062    0.7623    0.9233   -0.7045   -0.6825    0.1289    0.7366    0.0509    0.0623
   48.0000    2.0292    0.7623    0.9233   -0.7045   -0.6798    0.1316    0.7366    0.0509    0.0623
   49.0000    2.0522    0.7623    0.9233   -0.7045   -0.6770    0.1344    0.7366    0.0509    0.0623
   50.0000    2.0752    0.7623    0.9233   -0.7045   -0.6743    0.1371    0.7366    0.0509    0.0623
   51.0000    2.0983    0.7623    0.9233   -0.7045   -0.6716    0.1399    0.7366    0.0509    0.0623
   52.0000    2.1213    0.7623    0.9233   -0.7045   -0.6688    0.1426    0.7366    0.0509    0.0623
   53.0000    2.1443    0.7623    0.9233   -0.7045   -0.6661    0.1454    0.7366    0.0509    0.0623
   54.0000    2.1673    0.7623    0.9233   -0.7045   -0.6633    0.1481    0.7366    0.0509    0.0623
   55.0000    2.1903    0.7623    0.9233   -0.7045   -0.6606    0.1508    0.7366    0.0509    0.0623
   56.0000    2.2133    0.7623    0.9233   -0.7045   -0.6578    0.1536    0.7366    0.0509    0.0623
   57.0000    2.2363    0.7623    0.9233   -0.7045   -0.6551    0.1563    0.7366    0.0509    0.0623
   58.0000    2.2593    0.7623    0.9233   -0.7045   -0.6524    0.1591    0.7366    0.0509    0.0623
   59.0000    2.2823    0.7623    0.9233   -0.7045   -0.6496    0.1618    0.7366    0.0509    0.0623
   60.0000    2.3054    0.7623    0.9233   -0.7045   -0.6469    0.1646    0.7366    0.0509    0.0623
   61.0000    2.3284    0.7623    0.9233   -0.7045   -0.6441    0.1673    0.7366    0.0509    0.0623
   62.0000    2.3514    0.7623    0.9233   -0.7045   -0.6414    0.1700    0.7366    0.0509    0.0623
   63.0000    2.3744    0.7623    0.9233   -0.7045   -0.6386    0.1728    0.7366    0.0509    0.0623
   64.0000    2.3974    0.7623    0.9233   -0.7045   -0.6359    0.1755    0.7366    0.0509    0.0623
   65.0000    2.4204    0.7623    0.9233   -0.7045   -0.6332    0.1783    0.7366    0.0509    0.0623
   66.0000    2.4434    0.7623    0.9233   -0.7045   -0.6304    0.1810    0.7366    0.0509    0.0623
   67.0000    2.4664    0.7623    0.9233   -0.7045   -0.6277    0.1838    0.7366    0.0509    0.0623
   68.0000    2.4894    0.7623    0.9233   -0.7045   -0.6249    0.1865    0.7366    0.0509    0.0623
   69.0000    2.5124    0.7623    0.9233   -0.7045   -0.6222    0.1892    0.7366    0.0509    0.0623
   70.0000    2.5355    0.7623    0.9233   -0.7045   -0.6194    0.1920    0.7366    0.0509    0.0623
   71.0000    2.5585    0.7623    0.9233   -0.7045   -0.6167    0.1947    0.7366    0.0509    0.0623
   72.0000    2.5815    0.7623    0.9233   -0.7045   -0.6140    0.1975    0.7366    0.0509    0.0623
   73.0000    2.6045    0.7623    0.9233   -0.7045   -0.6112    0.2002    0.7366    0.0509    0.0623
   74.0000    2.6275    0.7623    0.9233   -0.7045   -0.6085    0.2030    0.7366    0.0509    0.0623
   75.0000    2.6505    0.7623    0.9233   -0.7045   -0.6057    0.2057    0.7366    0.0509    0.0623
   76.0000    2.6735    0.7623    0.9233   -0.7045   -0.6030    0.2084    0.7366    0.0509    0.0623
   77.0000    2.6965    0.7623    0.9233   -0.7045   -0.6003    0.2112    0.7366    0.0509    0.0623
   78.0000    2.7195    0.7623    0.9233   -0.7045   -0.5975    0.2139    0.7366    0.0509    0.0623
   79.0000    2.7426    0.7623    0.9233   -0.7045   -0.5948    0.2167    0.7366    0.0509    0.0623
   80.0000    2.7656    0.7623    0.9233   -0.7045   -0.5920    0.2194    0.7366    0.0509    0.0623
   81.0000    2.7886    0.7623    0.9233   -0.7045   -0.5893    0.2222    0.7366    0.0509    0.0623
   82.0000    2.8116    0.7623    0.9233   -0.7045   -0.5865    0.2249    0.7366    0.0509    0.0623
   83.0000    2.8346    0.7623    0.9233   -0.7045   -0.5838    0.2276    0.7366    0.0509    0.0623
   84.0000    2.8576    0.7623    0.9233   -0.7045   -0.5811    0.2304    0.7366    0.0509    0.0623
   85.0000    2.8806    0.7623    0.9233   -0.7045   -0.5783    0.2331    0.7366    0.0509    0.0623
   86.0000    2.9036    0.7623    0.9233   -0.7045   -0.5756    0.2359    0.7366    0.0509    0.0623
   87.0000    2.9266    0.7623    0.9233   -0.7045   -0.5728    0.2386    0.7366    0.0509    0.0623
   88.0000    2.9497    0.7623    0.9233   -0.7045   -0.5701    0.2414    0.7366    0.0509    0.0623
   89.0000    2.9727    0.7623    0.9233   -0.7045   -0.5673    0.2441    0.7366    0.0509    0.0623
   90.0000    2.9957    0.7623    0.9233   -0.7045   -0.5646    0.2468    0.7366    0.0509    0.0623
   91.0000    3.0187    0.7623    0.9233   -0.7045   -0.5619    0.2496    0.7366    0.0509    0.0623
   92.0000    3.0417    0.7623    0.9233   -0.7045   -0.5591    0.2523    0.7366    0.0509    0.0623
   93.0000    3.0647    0.7623    0.9233   -0.7045   -0.5564    0.2551    0.7366    0.0509    0.0623
   94.0000    3.0877    0.7623    0.9233   -0.7045   -0.5536    0.2578    0.7366    0.0509    0.0623
   95.0000    3.1107    0.7623    0.9233   -0.7045   -0.5509    0.2606    0.7366    0.0509    0.0623
   96.0000    3.1337    0.7623    0.9233   -0.7045   -0.5481    0.2633    0.7366    0.0509    0.0623
   97.0000    3.1567    0.7623    0.9233   -0.7045   -0.5454    0.2660    0.7366    0.0509    0.0623
   98.0000    3.1798    0.7623    0.9233   -0.7045   -0.5427    0.2688    0.7366    0.0509    0.0623
   99.0000    3.2028    0.7623    0.9233   -0.7045   -0.5399    0.2715    0.7366    0.0509    0.0623
  100.0000    1.0000    0.7623    0.9233   -0.7045   -0.8098    0.0000    0.7366    0.0509    0.0623
