         t         r       w_H       w_L      w_HL      s_LH      s_LL
    0.0000    0.0523    0.0366    0.0262    1.4012    0.1689    0.3360
    1.0000    0.0519    0.0364    0.0260    1.4012    0.1698    0.3317
    2.0000    0.0520    0.0361    0.0257    1.4047    0.1691    0.3301
    3.0000    0.0487    0.0364    0.0234    1.5524    0.1737    0.3153
    4.0000    0.0488    0.0361    0.0232    1.5546    0.1731    0.3138
    5.0000    0.0490    0.0358    0.0230    1.5568    0.1725    0.3122
    6.0000    0.0491    0.0355    0.0228    1.5591    0.1718    0.3106
    7.0000    0.0492    0.0352    0.0225    1.5614    0.1712    0.3090
    8.0000    0.0494    0.0348    0.0223    1.5638    0.1705    0.3073
    9.0000    0.0496    0.0345    0.0220    1.5664    0.1699    0.3056
   10.0000    0.0498    0.0340    0.0217    1.5694    0.1691    0.3038
   11.0000    0.0502    0.0335    0.0213    1.5727    0.1683    0.3021
   12.0000    0.0506    0.0330    0.0209    1.5766    0.1672    0.3005
   13.0000    0.0511    0.0324    0.0205    1.5815    0.1652    0.2998
   14.0000    0.0518    0.0318    0.0201    1.5850    0.1647    0.2985
   15.0000    0.0527    0.0312    0.0196    1.5879    0.1647    0.2979
   16.0000    0.0538    0.0308    0.0193    1.5896    0.1651    0.2983
   17.0000    0.0549    0.0305    0.0192    1.5896    0.1661    0.3001
   18.0000    0.0561    0.0303    0.0191    1.5896    0.1671    0.3019
   19.0000    0.0572    0.0301    0.0190    1.5896    0.1680    0.3037
   20.0000    0.0583    0.0300    0.0189    1.5896    0.1689    0.3052
   21.0000    0.0591    0.0298    0.0188    1.5896    0.1696    0.3065
   22.0000    0.0598    0.0297    0.0187    1.5896    0.1702    0.3075
   23.0000    0.0604    0.0296    0.0186    1.5895    0.1707    0.3082
   24.0000    0.0608    0.0296    0.0186    1.5896    0.1710    0.3088
   25.0000    0.0610    0.0295    0.0186    1.5896    0.1712    0.3092
   26.0000    0.0612    0.0295    0.0186    1.5896    0.1713    0.3095
   27.0000    0.0613    0.0295    0.0185    1.5896    0.1714    0.3096
   28.0000    0.0614    0.0295    0.0185    1.5895    0.1715    0.3097
   29.0000    0.0614    0.0295    0.0185    1.5896    0.1715    0.3098
   30.0000    0.0615    0.0295    0.0185    1.5896    0.1715    0.3099
   31.0000    0.0615    0.0295    0.0185    1.5896    0.1715    0.3099
