         t       p_N       p_I     eps_N     eps_I
    0.0000    0.1526    2.2220    0.0019    0.0280
    1.0000  -11.5086   18.1521    0.0019    0.0248
    2.0000  -10.3174   16.9347    0.0019    0.0260
    3.0000   -9.1291   15.7200    0.0019    0.0265
    4.0000   -8.1327   14.6935    0.0019    0.0264
    5.0000   -7.3017   13.8281    0.0019    0.0265
    6.0000   -9.1467   12.8046    0.0019    0.0265
    7.0000   -9.5631   12.2752    0.0019    0.0265
    8.0000   -9.0247   11.6866    0.0019    0.0265
    9.0000   -8.6783   11.2918    0.0019    0.0265
   10.0000   -7.9545   10.5343    0.0019    0.0265
   11.0000   -8.2078   10.7209    0.0019    0.0265
   12.0000   -7.6327   10.1206    0.0019    0.0265
   13.0000   -7.3997    9.8434    0.0019    0.0265
   14.0000   -7.4172    9.7921    0.0019    0.0265
   15.0000   -7.4302    9.7835    0.0019    0.0265
   16.0000   -7.5378    9.8361    0.0019    0.0265
   17.0000   -6.6841    8.9819    0.0019    0.0265
   18.0000   -6.8693    9.1259    0.0019    0.0264
   19.0000   -6.3901    8.7160    0.0019    0.0265
   20.0000   -6.3317    8.7341    0.0019    0.0265
   21.0000   -4.1539    6.7039    0.0019    0.0265
   22.0000    0.1511    2.8447    0.0019    0.0265
   23.0000    0.1745    2.7978    0.0019    0.0265
   24.0000    0.1046    2.8192    0.0020    0.0265
   25.0000    0.1326    2.7188    0.0020    0.0265
   26.0000    0.1107    2.5042    0.0020    0.0265
   27.0000    0.0559    2.4052    0.0021    0.0265
   28.0000    0.0570    2.3794    0.0021    0.0265
   29.0000    0.0472    2.3483    0.0022    0.0265
   30.0000    0.0901    2.2417    0.0022    0.0265
   31.0000    0.0773    2.2221    0.0023    0.0265
   32.0000    0.1045    2.1772    0.0024    0.0265
   33.0000    0.0676    2.1905    0.0025    0.0265
   34.0000    0.0945    2.1393    0.0025    0.0265
   35.0000    0.0839    2.1157    0.0026    0.0265
   36.0000    0.0447    2.1435    0.0026    0.0265
   37.0000   -0.0310    2.2186    0.0027    0.0265
   38.0000    0.0026    2.1814    0.0028    0.0264
   39.0000    0.0817    2.0842    0.0028    0.0260
   40.0000    0.0545    2.0841    0.0028    0.0254
   41.0000    0.1742    1.9159    0.0028    0.0250
   42.0000    0.2221    1.8303    0.0028    0.0246
   43.0000    0.1738    1.8301    0.0029    0.0224
   44.0000    0.8166    1.2120    0.0029    0.0222
   45.0000    1.9463    0.2076    0.0030    0.0205
   46.0000    1.7904    0.2602    0.0030    0.0234
   47.0000    2.2488   -0.1893    0.0030    0.0252
   48.0000    2.0015   -0.0954    0.0030    0.0265
   49.0000    1.6529    0.1142    0.0030    0.0265
   50.0000    2.2862   -0.4193    0.0030    0.0265
   51.0000    2.5924   -0.7040    0.0030    0.0265
   52.0000    2.7825   -0.8726    0.0030    0.0265
   53.0000    2.6761   -0.7810    0.0030    0.0265
   54.0000    2.7501   -0.8677    0.0030    0.0265
   55.0000    2.4568   -0.6409    0.0030    0.0265
   56.0000    2.7616   -0.8894    0.0030    0.0265
   57.0000    2.8436   -0.9859    0.0030    0.0265
   58.0000    2.9377   -1.0728    0.0030    0.0265
   59.0000    3.1206   -1.2267    0.0030    0.0265
   60.0000    3.0743   -1.2008    0.0030    0.0265
   61.0000    3.0201   -1.1552    0.0030    0.0265
   62.0000    2.8412   -1.0263    0.0030    0.0265
   63.0000    2.9825   -1.1632    0.0030    0.0265
   64.0000    3.2048   -1.3023    0.0030    0.0265
   65.0000    2.9080   -1.1054    0.0030    0.0265
   66.0000    2.7713   -1.0302    0.0030    0.0265
   67.0000    2.8044   -1.0585    0.0030    0.0265
   68.0000    2.9778   -1.2068    0.0030    0.0265
   69.0000    2.9419   -1.1786    0.0030    0.0265
   70.0000    3.0952   -1.3232    0.0030    0.0265
   71.0000    3.2956   -1.4597    0.0030    0.0265
   72.0000    3.4022   -1.5419    0.0030    0.0265
   73.0000    3.4406   -1.5488    0.0030    0.0265
   74.0000    3.2565   -1.4272    0.0030    0.0265
   75.0000    3.4402   -1.5858    0.0030    0.0265
   76.0000    3.4516   -1.6007    0.0030    0.0265
   77.0000    3.5737   -1.7062    0.0030    0.0265
   78.0000    3.3940   -1.5745    0.0030    0.0265
   79.0000    3.3838   -1.5902    0.0030    0.0265
   80.0000    3.2421   -1.4988    0.0030    0.0265
   81.0000    3.3912   -1.6374    0.0030    0.0265
   82.0000    3.4867   -1.7123    0.0030    0.0265
   83.0000    3.3236   -1.6080    0.0030    0.0265
   84.0000    3.5274   -1.7494    0.0030    0.0265
   85.0000    3.6247   -1.8290    0.0030    0.0265
   86.0000    3.6958   -1.8894    0.0030    0.0265
   87.0000    3.6251   -1.8507    0.0030    0.0265
   88.0000    3.5783   -1.8525    0.0030    0.0265
   89.0000    3.4841   -1.8029    0.0030    0.0265
   90.0000    3.3624   -1.7362    0.0030    0.0265
   91.0000    1.4092   -0.2031    0.0030    0.0265
   92.0000    1.5263   -0.2429    0.0030    0.0264
   93.0000    2.0418   -0.6705    0.0030    0.0244
   94.0000    2.5579   -1.0774    0.0029    0.0223
   95.0000    2.1307   -0.6119    0.0029    0.0227
   96.0000    0.1162    1.2131    0.0029    0.0210
   97.0000    0.2151    1.2998    0.0028    0.0176
   98.0000    0.2715    1.2348    0.0027    0.0173
   99.0000    0.2020    1.4371    0.0027    0.0173
  100.0000    0.2016    1.8111    0.0030    0.0265
