         t       p_N       p_I     eps_N     eps_I
    0.0000    0.1526    2.2220    0.0019    0.0280
    0.5000    0.1710    1.0406    0.0002    0.0092
    1.0000    0.1324    1.0568    0.0002    0.0094
    1.5000    0.1290    1.0718    0.0002    0.0096
    2.0000    0.1293    1.0842    0.0002    0.0098
    2.5000    0.1291    1.0953    0.0002    0.0099
    3.0000    0.1243    1.1059    0.0003    0.0100
    3.5000    0.1275    1.1153    0.0003    0.0103
    4.0000    0.1253    1.1246    0.0003    0.0106
    4.5000    0.1233    1.1342    0.0004    0.0108
    5.0000    0.1477    1.1443    0.0004    0.0110
    5.5000    0.1501    1.1546    0.0004    0.0113
    6.0000    0.1440    1.1642    0.0005    0.0115
    6.5000    0.1162    1.1736    0.0005    0.0117
    7.0000    0.1055    1.1840    0.0005    0.0120
    7.5000    0.1355    1.1953    0.0005    0.0123
    8.0000    0.1385    1.2066    0.0005    0.0127
    8.5000    0.1155    1.2183    0.0006    0.0129
    9.0000    0.1127    1.2310    0.0006    0.0133
    9.5000    0.1420    1.2453    0.0006    0.0135
   10.0000    0.1301    1.2618    0.0006    0.0139
   10.5000    0.1190    1.2802    0.0007    0.0144
   11.0000    0.1478    1.3012    0.0007    0.0148
   11.5000    0.1356    1.3255    0.0008    0.0152
   12.0000    0.1275    1.3546    0.0009    0.0157
   12.5000    0.1300    1.3880    0.0009    0.0162
   13.0000    0.1589    1.4259    0.0010    0.0167
   13.5000    0.1550    1.4683    0.0012    0.0170
   14.0000    0.1500    1.5147    0.0013    0.0175
   14.5000    0.1583    1.5632    0.0015    0.0179
   15.0000    0.1688    1.6100    0.0017    0.0183
   15.5000    0.1927    1.6508    0.0019    0.0187
   16.0000    0.1919    1.6847    0.0020    0.0190
   16.5000    0.1841    1.7126    0.0020    0.0194
   17.0000    0.1968    1.7348    0.0020    0.0197
   17.5000    0.1893    1.7537    0.0021    0.0200
   18.0000    0.1990    1.7695    0.0021    0.0203
   18.5000    0.1921    1.7826    0.0023    0.0214
   19.0000    0.1935    1.7935    0.0025    0.0229
   19.5000    0.1942    1.8009    0.0027    0.0243
   20.0000    0.1951    1.8069    0.0026    0.0242
   20.5000    0.2002    1.8116    0.0026    0.0244
   21.0000    0.2008    1.8143    0.0030    0.0265
   21.5000    0.2012    1.8159    0.0030    0.0265
   22.0000    0.2017    1.8168    0.0030    0.0265
   22.5000    0.2023    1.8174    0.0030    0.0265
   23.0000    0.2023    1.8177    0.0030    0.0266
   23.5000    0.2024    1.8178    0.0030    0.0266
   24.0000    0.2024    1.8179    0.0030    0.0266
   24.5000    0.2024    1.8180    0.0030    0.0266
   25.0000    0.2024    1.8180    0.0030    0.0266
   25.5000    0.2024    1.8180    0.0030    0.0266
   26.0000    0.2024    1.8180    0.0030    0.0266
   26.5000    0.2024    1.8180    0.0030    0.0266
   27.0000    0.2024    1.8180    0.0030    0.0266
   27.5000    0.2024    1.8180    0.0030    0.0266
   28.0000    0.2024    1.8180    0.0030    0.0266
   28.5000    0.2024    1.8180    0.0030    0.0266
   29.0000    0.2024    1.8180    0.0030    0.0266
   29.5000    0.2024    1.8180    0.0030    0.0266
   30.0000    0.2024    1.8180    0.0030    0.0266
   30.5000    0.2024    1.8180    0.0030    0.0266
   31.0000    0.2024    1.8180    0.0030    0.0266
   31.5000    0.2024    1.8180    0.0030    0.0266
   32.0000    0.2024    1.8180    0.0030    0.0266
   32.5000    0.2024    1.8180    0.0030    0.0266
   33.0000    0.2024    1.8180    0.0030    0.0266
   33.5000    0.2024    1.8180    0.0030    0.0266
   34.0000    0.2024    1.8180    0.0030    0.0266
   34.5000    0.2024    1.8180    0.0030    0.0266
   35.0000    0.2024    1.8180    0.0030    0.0266
   35.5000    0.2024    1.8180    0.0030    0.0266
   36.0000    0.2024    1.8180    0.0030    0.0266
   36.5000    0.2024    1.8180    0.0030    0.0266
   37.0000    0.2024    1.8180    0.0030    0.0266
   37.5000    0.2024    1.8180    0.0030    0.0266
   38.0000    0.2024    1.8180    0.0030    0.0266
   38.5000    0.2024    1.8180    0.0030    0.0266
   39.0000    0.2024    1.8180    0.0030    0.0266
   39.5000    0.2024    1.8180    0.0030    0.0266
   40.0000    0.2024    1.8180    0.0030    0.0266
   40.5000    0.2024    1.8180    0.0030    0.0266
   41.0000    0.2024    1.8180    0.0030    0.0266
   41.5000    0.2024    1.8180    0.0030    0.0266
   42.0000    0.2024    1.8180    0.0030    0.0266
   42.5000    0.2024    1.8180    0.0030    0.0266
   43.0000    0.2024    1.8180    0.0030    0.0266
   43.5000    0.2024    1.8180    0.0030    0.0266
   44.0000    0.2024    1.8180    0.0030    0.0266
   44.5000    0.2024    1.8180    0.0030    0.0266
   45.0000    0.2024    1.8180    0.0030    0.0266
   45.5000    0.2024    1.8180    0.0030    0.0266
   46.0000    0.2024    1.8180    0.0030    0.0266
