         t         N         I         S      h_HL       h_H       h_L       Eta   Gamma_H   Gamma_L
    0.0000    1.0000    0.6818    0.9068   -0.8098   -0.8098    0.0000    0.6495    0.0622    0.0963
    0.5000    1.0107    0.6885    0.9084   -0.8098   -0.8085    0.0013    0.6567    0.0611    0.0942
    1.0000    1.0211    0.6955    0.9100   -0.8098   -0.8072    0.0026    0.6642    0.0600    0.0921
    1.5000    1.0315    0.7031    0.9119   -0.8098   -0.8059    0.0039    0.6724    0.0587    0.0897
    2.0000    1.0419    0.7116    0.9139   -0.8098   -0.8046    0.0052    0.6816    0.0573    0.0870
    2.5000    1.0526    0.7213    0.9163   -0.8098   -0.8033    0.0065    0.6920    0.0557    0.0840
    3.0000    1.0637    0.7317    0.9189   -0.8098   -0.8020    0.0078    0.7033    0.0539    0.0807
    3.5000    1.0750    0.7423    0.9216   -0.8098   -0.8007    0.0091    0.7148    0.0520    0.0774
    4.0000    1.0866    0.7523    0.9242   -0.8098   -0.7994    0.0104    0.7256    0.0502    0.0743
    4.5000    1.0984    0.7608    0.9264   -0.8098   -0.7981    0.0118    0.7349    0.0487    0.0716
    5.0000    1.1103    0.7676    0.9281   -0.8098   -0.7968    0.0131    0.7422    0.0475    0.0694
    5.5000    1.1224    0.7724    0.9294   -0.8098   -0.7955    0.0144    0.7475    0.0466    0.0679
    6.0000    1.1345    0.7755    0.9303   -0.8098   -0.7942    0.0157    0.7509    0.0460    0.0669
    6.5000    1.1466    0.7774    0.9308   -0.8098   -0.7929    0.0170    0.7530    0.0457    0.0663
    7.0000    1.1588    0.7785    0.9311   -0.8098   -0.7916    0.0183    0.7542    0.0455    0.0660
    7.5000    1.1709    0.7791    0.9312   -0.8098   -0.7903    0.0196    0.7548    0.0454    0.0658
    8.0000    1.1831    0.7793    0.9313   -0.8098   -0.7889    0.0209    0.7551    0.0453    0.0657
    8.5000    1.1953    0.7795    0.9313   -0.8098   -0.7876    0.0222    0.7552    0.0453    0.0657
    9.0000    1.2075    0.7795    0.9313   -0.8098   -0.7863    0.0235    0.7553    0.0453    0.0657
    9.5000    1.2197    0.7796    0.9313   -0.8098   -0.7850    0.0248    0.7553    0.0453    0.0657
   10.0000    1.2318    0.7796    0.9313   -0.8098   -0.7837    0.0261    0.7553    0.0453    0.0657
   10.5000    1.2440    0.7796    0.9313   -0.8098   -0.7824    0.0274    0.7553    0.0453    0.0657
   11.0000    1.2562    0.7796    0.9313   -0.8098   -0.7811    0.0287    0.7554    0.0453    0.0657
   11.5000    1.2684    0.7796    0.9313   -0.8098   -0.7798    0.0300    0.7554    0.0453    0.0657
   12.0000    1.2806    0.7796    0.9313   -0.8098   -0.7785    0.0313    0.7554    0.0453    0.0657
   12.5000    1.2927    0.7796    0.9313   -0.8098   -0.7772    0.0327    0.7554    0.0453    0.0657
   13.0000    1.3049    0.7796    0.9313   -0.8098   -0.7759    0.0340    0.7554    0.0453    0.0657
   13.5000    1.3171    0.7796    0.9313   -0.8098   -0.7746    0.0353    0.7554    0.0453    0.0657
   14.0000    1.3293    0.7796    0.9313   -0.8098   -0.7733    0.0366    0.7554    0.0453    0.0657
   14.5000    1.3415    0.7796    0.9313   -0.8098   -0.7720    0.0379    0.7554    0.0453    0.0657
   15.0000    1.3536    0.7796    0.9313   -0.8098   -0.7707    0.0392    0.7554    0.0453    0.0657
   15.5000    1.3658    0.7796    0.9313   -0.8098   -0.7694    0.0405    0.7554    0.0453    0.0657
   16.0000    1.3780    0.7796    0.9313   -0.8098   -0.7680    0.0418    0.7554    0.0453    0.0657
   16.5000    1.3902    0.7796    0.9313   -0.8098   -0.7667    0.0431    0.7554    0.0453    0.0657
   17.0000    1.4024    0.7796    0.9313   -0.8098   -0.7654    0.0444    0.7554    0.0453    0.0657
   17.5000    1.4145    0.7796    0.9313   -0.8098   -0.7641    0.0457    0.7554    0.0453    0.0657
   18.0000    1.4267    0.7796    0.9313   -0.8098   -0.7628    0.0470    0.7554    0.0453    0.0657
   18.5000    1.4389    0.7796    0.9313   -0.8098   -0.7615    0.0483    0.7554    0.0453    0.0657
   19.0000    1.4511    0.7796    0.9313   -0.8098   -0.7602    0.0496    0.7554    0.0453    0.0657
   19.5000    1.4633    0.7796    0.9313   -0.8098   -0.7589    0.0509    0.7554    0.0453    0.0657
   20.0000    1.4754    0.7796    0.9313   -0.8098   -0.7576    0.0522    0.7554    0.0453    0.0657
   20.5000    1.4876    0.7796    0.9313   -0.8098   -0.7563    0.0536    0.7554    0.0453    0.0657
   21.0000    1.4998    0.7796    0.9313   -0.8098   -0.7550    0.0549    0.7554    0.0453    0.0657
   21.5000    1.5120    0.7796    0.9313   -0.8098   -0.7537    0.0562    0.7554    0.0453    0.0657
   22.0000    1.5242    0.7796    0.9313   -0.8098   -0.7524    0.0575    0.7554    0.0453    0.0657
