         t         g       g_N       g_I      g_hH      g_hL
    0.0000    4.4648    4.2036    4.2036    0.2612    0.2612
    0.5000    1.6493    1.2779    3.0956    0.3713    0.2803
    1.0000    1.6907    1.3169    3.1325    0.3738    0.2899
    1.5000    1.7561    1.3847    3.1637    0.3714    0.3063
    2.0000    1.8227    1.4436    3.1766    0.3790    0.3189
    2.5000    1.9030    1.5207    3.2070    0.3824    0.3077
    3.0000    1.9802    1.6067    3.2470    0.3735    0.3165
    3.5000    2.0831    1.7070    3.2906    0.3761    0.3195
    4.0000    2.1828    1.8033    3.3217    0.3796    0.3166
    4.5000    2.2939    1.9113    3.3553    0.3826    0.3121
    5.0000    2.3944    2.0193    3.4073    0.3751    0.2999
    5.5000    2.4283    2.0464    3.4331    0.3819    0.3136
    6.0000    2.4520    2.0789    3.4645    0.3731    0.3207
    6.5000    2.4800    2.1036    3.5015    0.3764    0.3181
    7.0000    2.5250    2.1551    3.5535    0.3699    0.3095
    7.5000    2.5678    2.2153    3.6104    0.3525    0.3137
    8.0000    2.6164    2.2501    3.6325    0.3663    0.3236
    8.5000    2.6701    2.3123    3.6900    0.3578    0.3250
    9.0000    2.7347    2.3732    3.7248    0.3615    0.3259
    9.5000    2.8101    2.4438    3.7724    0.3663    0.3224
   10.0000    2.8806    2.5239    3.8352    0.3566    0.3277
   10.5000    2.9730    2.6113    3.8895    0.3618    0.3246
   11.0000    3.0646    2.6981    3.9489    0.3664    0.3206
   11.5000    3.1767    2.8075    4.0061    0.3692    0.3186
   12.0000    3.2991    2.9379    4.0722    0.3612    0.3237
   12.5000    3.4625    3.0980    4.1305    0.3644    0.3220
   13.0000    3.6333    3.2653    4.1772    0.3680    0.3208
   13.5000    3.8146    3.4541    4.2367    0.3605    0.3261
   14.0000    4.0626    3.6982    4.2832    0.3644    0.3245
   14.5000    4.2983    3.9302    4.3248    0.3682    0.3224
   15.0000    4.4888    4.1283    4.3726    0.3604    0.3272
   15.5000    4.6098    4.2458    4.4122    0.3641    0.3257
   16.0000    4.6675    4.2998    4.4569    0.3677    0.3228
   16.5000    4.6997    4.3402    4.4931    0.3595    0.3296
   17.0000    4.7482    4.3850    4.5248    0.3632    0.3269
   17.5000    4.7881    4.4329    4.5559    0.3552    0.3334
   18.0000    4.9267    4.5713    4.6782    0.3554    0.3272
   18.5000    5.1130    4.7633    4.8384    0.3496    0.3197
   19.0000    5.2727    4.9429    4.9903    0.3298    0.3170
   19.5000    5.2573    4.9215    4.9796    0.3358    0.3133
   20.0000    5.2698    4.9284    4.9940    0.3414    0.3075
   20.5000    5.4885    5.2142    5.2102    0.2743    0.2743
   21.0000    5.4885    5.2142    5.2126    0.2743    0.2743
   21.5000    5.4885    5.2142    5.2133    0.2743    0.2743
   22.0000    5.4885    5.2143    5.2138    0.2743    0.2743
   22.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   23.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   23.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   24.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   24.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   25.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   25.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   26.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   26.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   27.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   27.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   28.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   28.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   29.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   29.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   30.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   30.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   31.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   31.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   32.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   32.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   33.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   33.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   34.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   34.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   35.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   35.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   36.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   36.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   37.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   37.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   38.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   38.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   39.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   39.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   40.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   40.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   41.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   41.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   42.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   42.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   43.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   43.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   44.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   44.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   45.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   45.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   46.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   46.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   47.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   47.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   48.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   48.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   49.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   49.5000    5.4885    5.2143    5.2143    0.2743    0.2743
   50.0000    5.4885    5.2143    5.2143    0.2743    0.2743
