         t         g       g_N       g_I      g_hH      g_hL
    0.0000    4.4648    4.2036    4.2036    0.2612    0.2612
    0.5000    5.1404    4.8791    7.7624    0.2612    0.2612
    1.0000    5.0408    4.7795    7.5425    0.2612    0.2612
    1.5000    5.0116    4.7503    7.2973    0.2612    0.2612
    2.0000    5.0499    4.7887    7.0266    0.2612    0.2612
    2.5000    5.1926    4.9314    6.7347    0.2612    0.2612
    3.0000    5.3391    5.0779    6.4400    0.2612    0.2612
    3.5000    5.4637    5.2025    6.1731    0.2612    0.2612
    4.0000    5.5613    5.3001    5.9509    0.2612    0.2612
    4.5000    5.6338    5.3726    5.7850    0.2612    0.2612
    5.0000    5.6951    5.4338    5.6743    0.2612    0.2612
    5.5000    5.7349    5.4736    5.5969    0.2612    0.2612
    6.0000    5.7584    5.4972    5.5572    0.2612    0.2612
    6.5000    5.7681    5.5069    5.5363    0.2612    0.2612
    7.0000    5.7734    5.5122    5.5242    0.2612    0.2612
    7.5000    5.7776    5.5164    5.5190    0.2612    0.2612
    8.0000    5.7789    5.5177    5.5177    0.2612    0.2612
    8.5000    5.7789    5.5177    5.5177    0.2612    0.2612
    9.0000    5.7789    5.5177    5.5177    0.2612    0.2612
    9.5000    5.7789    5.5177    5.5177    0.2612    0.2612
   10.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   10.5000    5.7789    5.5177    5.5177    0.2612    0.2612
   11.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   11.5000    5.7789    5.5177    5.5177    0.2612    0.2612
   12.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   12.5000    5.7789    5.5177    5.5177    0.2612    0.2612
   13.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   13.5000    5.7789    5.5177    5.5177    0.2612    0.2612
   14.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   14.5000    5.7789    5.5177    5.5177    0.2612    0.2612
   15.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   15.5000    5.7789    5.5177    5.5177    0.2612    0.2612
   16.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   16.5000    5.7789    5.5177    5.5177    0.2612    0.2612
   17.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   17.5000    5.7789    5.5177    5.5177    0.2612    0.2612
   18.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   18.5000    5.7789    5.5177    5.5177    0.2612    0.2612
   19.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   19.5000    5.7789    5.5177    5.5177    0.2612    0.2612
   20.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   20.5000    5.7789    5.5177    5.5177    0.2612    0.2612
   21.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   21.5000    5.7789    5.5177    5.5177    0.2612    0.2612
   22.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   22.5000    5.7789    5.5177    5.5177    0.2612    0.2612
   23.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   23.5000    5.7789    5.5177    5.5177    0.2612    0.2612
   24.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   24.5000    5.7789    5.5177    5.5177    0.2612    0.2612
