         t         r       w_H       w_L      w_HL      s_LH      s_LL
    0.0000    0.0523    0.0366    0.0262    1.4012    0.1689    0.3360
    0.5000    0.0500    0.0372    0.0261    1.4213    0.1491    0.3483
    1.0000    0.0498    0.0369    0.0259    1.4235    0.1489    0.3452
    1.5000    0.0482    0.0369    0.0259    1.4220    0.1511    0.3367
    2.0000    0.0514    0.0361    0.0253    1.4272    0.1501    0.3437
    2.5000    0.0515    0.0356    0.0249    1.4306    0.1495    0.3405
    3.0000    0.0507    0.0353    0.0247    1.4331    0.1492    0.3353
    3.5000    0.0507    0.0349    0.0243    1.4363    0.1486    0.3324
    4.0000    0.0507    0.0345    0.0240    1.4396    0.1477    0.3296
    4.5000    0.0501    0.0342    0.0237    1.4425    0.1469    0.3256
    5.0000    0.0504    0.0337    0.0233    1.4457    0.1464    0.3238
    5.5000    0.0500    0.0334    0.0230    1.4492    0.1449    0.3212
    6.0000    0.0494    0.0331    0.0228    1.4485    0.1479    0.3136
    6.5000    0.0495    0.0327    0.0225    1.4525    0.1468    0.3123
    7.0000    0.0504    0.0322    0.0221    1.4545    0.1490    0.3100
    7.5000    0.0504    0.0319    0.0218    1.4580    0.1493    0.3078
    8.0000    0.0509    0.0317    0.0217    1.4608    0.1508    0.3074
    8.5000    0.0495    0.0320    0.0219    1.4614    0.1547    0.3000
    9.0000    0.0495    0.0320    0.0218    1.4679    0.1550    0.2996
    9.5000    0.0496    0.0319    0.0216    1.4759    0.1555    0.2993
   10.0000    0.0501    0.0318    0.0214    1.4860    0.1559    0.3003
   10.5000    0.0513    0.0316    0.0211    1.4965    0.1577    0.3015
   11.0000    0.0521    0.0314    0.0208    1.5075    0.1597    0.3015
   11.5000    0.0524    0.0313    0.0206    1.5187    0.1615    0.3006
   12.0000    0.0539    0.0310    0.0203    1.5281    0.1659    0.2998
   12.5000    0.0549    0.0308    0.0200    1.5403    0.1662    0.3018
   13.0000    0.0560    0.0306    0.0198    1.5517    0.1663    0.3044
   13.5000    0.0563    0.0306    0.0196    1.5577    0.1700    0.3014
   14.0000    0.0562    0.0306    0.0195    1.5631    0.1724    0.2987
   14.5000    0.0562    0.0306    0.0195    1.5707    0.1709    0.3004
   15.0000    0.0562    0.0306    0.0194    1.5765    0.1697    0.3015
   15.5000    0.0563    0.0305    0.0194    1.5773    0.1726    0.2988
   16.0000    0.0568    0.0305    0.0193    1.5815    0.1711    0.3016
   16.5000    0.0587    0.0302    0.0190    1.5858    0.1697    0.3072
   17.0000    0.0615    0.0297    0.0187    1.5867    0.1720    0.3114
   17.5000    0.0615    0.0297    0.0187    1.5872    0.1720    0.3114
   18.0000    0.0615    0.0297    0.0187    1.5875    0.1720    0.3113
   18.5000    0.0615    0.0297    0.0187    1.5877    0.1720    0.3113
   19.0000    0.0615    0.0297    0.0187    1.5879    0.1720    0.3113
   19.5000    0.0615    0.0297    0.0187    1.5880    0.1720    0.3113
