         t         N         I         S      h_HL       h_H       h_L       Eta   Gamma_H   Gamma_L
    0.0000    1.0000    0.6818    0.9068   -0.8098   -0.8098    0.0000    0.6495    0.0622    0.0963
    0.5000    1.0106    0.6885    0.9084   -0.8098   -0.8085    0.0013    0.6567    0.0611    0.0942
    1.0000    1.0210    0.6957    0.9101   -0.8098   -0.8072    0.0026    0.6644    0.0599    0.0920
    1.5000    1.0314    0.7037    0.9120   -0.8098   -0.8059    0.0039    0.6730    0.0586    0.0895
    2.0000    1.0419    0.7129    0.9143   -0.8098   -0.8046    0.0052    0.6830    0.0571    0.0866
    2.5000    1.0528    0.7233    0.9168   -0.8098   -0.8033    0.0065    0.6942    0.0553    0.0834
    3.0000    1.0640    0.7344    0.9196   -0.8098   -0.8020    0.0078    0.7062    0.0534    0.0799
    3.5000    1.0755    0.7451    0.9223   -0.8098   -0.8007    0.0091    0.7178    0.0515    0.0765
    4.0000    1.0873    0.7547    0.9248   -0.8098   -0.7994    0.0104    0.7282    0.0498    0.0735
    4.5000    1.0992    0.7624    0.9268   -0.8098   -0.7981    0.0118    0.7366    0.0484    0.0711
    5.0000    1.1112    0.7680    0.9283   -0.8098   -0.7968    0.0131    0.7427    0.0474    0.0693
    5.5000    1.1233    0.7717    0.9292   -0.8098   -0.7955    0.0144    0.7467    0.0467    0.0681
    6.0000    1.1355    0.7739    0.9298   -0.8098   -0.7942    0.0157    0.7492    0.0463    0.0674
    6.5000    1.1476    0.7752    0.9302   -0.8098   -0.7929    0.0170    0.7506    0.0461    0.0670
    7.0000    1.1598    0.7759    0.9303   -0.8098   -0.7916    0.0183    0.7513    0.0460    0.0668
    7.5000    1.1720    0.7762    0.9304   -0.8098   -0.7903    0.0196    0.7517    0.0459    0.0667
    8.0000    1.1842    0.7763    0.9305   -0.8098   -0.7889    0.0209    0.7518    0.0459    0.0667
    8.5000    1.1964    0.7764    0.9305   -0.8098   -0.7876    0.0222    0.7519    0.0459    0.0667
    9.0000    1.2086    0.7764    0.9305   -0.8098   -0.7863    0.0235    0.7519    0.0459    0.0666
    9.5000    1.2207    0.7764    0.9305   -0.8098   -0.7850    0.0248    0.7519    0.0459    0.0666
   10.0000    1.2329    0.7765    0.9305   -0.8098   -0.7837    0.0261    0.7519    0.0459    0.0666
   10.5000    1.2451    0.7765    0.9305   -0.8098   -0.7824    0.0274    0.7519    0.0459    0.0666
   11.0000    1.2573    0.7765    0.9305   -0.8098   -0.7811    0.0287    0.7519    0.0459    0.0666
   11.5000    1.2695    0.7765    0.9305   -0.8098   -0.7798    0.0300    0.7519    0.0459    0.0666
   12.0000    1.2817    0.7765    0.9305   -0.8098   -0.7785    0.0313    0.7519    0.0459    0.0666
   12.5000    1.2938    0.7765    0.9305   -0.8098   -0.7772    0.0327    0.7519    0.0459    0.0666
   13.0000    1.3060    0.7765    0.9305   -0.8098   -0.7759    0.0340    0.7519    0.0459    0.0666
   13.5000    1.3182    0.7765    0.9305   -0.8098   -0.7746    0.0353    0.7519    0.0459    0.0666
   14.0000    1.3304    0.7765    0.9305   -0.8098   -0.7733    0.0366    0.7519    0.0459    0.0666
   14.5000    1.3426    0.7765    0.9305   -0.8098   -0.7720    0.0379    0.7519    0.0459    0.0666
   15.0000    1.3548    0.7765    0.9305   -0.8098   -0.7707    0.0392    0.7519    0.0459    0.0666
   15.5000    1.3670    0.7765    0.9305   -0.8098   -0.7694    0.0405    0.7519    0.0459    0.0666
   16.0000    1.3791    0.7765    0.9305   -0.8098   -0.7680    0.0418    0.7519    0.0459    0.0666
   16.5000    1.3913    0.7765    0.9305   -0.8098   -0.7667    0.0431    0.7519    0.0459    0.0666
   17.0000    1.4035    0.7765    0.9305   -0.8098   -0.7654    0.0444    0.7519    0.0459    0.0666
   17.5000    1.4157    0.7765    0.9305   -0.8098   -0.7641    0.0457    0.7519    0.0459    0.0666
   18.0000    1.4279    0.7765    0.9305   -0.8098   -0.7628    0.0470    0.7519    0.0459    0.0666
   18.5000    1.4401    0.7765    0.9305   -0.8098   -0.7615    0.0483    0.7519    0.0459    0.0666
   19.0000    1.4523    0.7765    0.9305   -0.8098   -0.7602    0.0496    0.7519    0.0459    0.0666
   19.5000    1.4644    0.7765    0.9305   -0.8098   -0.7589    0.0509    0.7519    0.0459    0.0666
   20.0000    1.4766    0.7765    0.9305   -0.8098   -0.7576    0.0522    0.7519    0.0459    0.0666
   20.5000    1.4888    0.7765    0.9305   -0.8098   -0.7563    0.0536    0.7519    0.0459    0.0666
   21.0000    1.5010    0.7765    0.9305   -0.8098   -0.7550    0.0549    0.7519    0.0459    0.0666
   21.5000    1.5132    0.7765    0.9305   -0.8098   -0.7537    0.0562    0.7519    0.0459    0.0666
   22.0000    1.5254    0.7765    0.9305   -0.8098   -0.7524    0.0575    0.7519    0.0459    0.0666
   22.5000    1.5376    0.7765    0.9305   -0.8098   -0.7511    0.0588    0.7519    0.0459    0.0666
   23.0000    1.5497    0.7765    0.9305   -0.8098   -0.7498    0.0601    0.7519    0.0459    0.0666
   23.5000    1.5619    0.7765    0.9305   -0.8098   -0.7485    0.0614    0.7519    0.0459    0.0666
   24.0000    1.5741    0.7765    0.9305   -0.8098   -0.7472    0.0627    0.7519    0.0459    0.0666
   24.5000    1.5863    0.7765    0.9305   -0.8098   -0.7458    0.0640    0.7519    0.0459    0.0666
   25.0000    1.5985    0.7765    0.9305   -0.8098   -0.7445    0.0653    0.7519    0.0459    0.0666
   25.5000    1.6107    0.7765    0.9305   -0.8098   -0.7432    0.0666    0.7519    0.0459    0.0666
   26.0000    1.6229    0.7765    0.9305   -0.8098   -0.7419    0.0679    0.7519    0.0459    0.0666
   26.5000    1.6350    0.7765    0.9305   -0.8098   -0.7406    0.0692    0.7519    0.0459    0.0666
