         t         g       g_N       g_I      g_hH      g_hL
    0.0000    4.4648    4.2036    4.2036    0.2612    0.2612
    1.0000    4.6167    4.2036    7.9407    0.4131    0.2799
    2.0000    4.6167    4.2036    7.9633    0.4131    0.2749
    3.0000    4.6511    4.2382    7.9617    0.4129    0.2723
    4.0000    4.6812    4.2682    7.9617    0.4130    0.2693
    5.0000    4.6202    4.2073    7.9524    0.4129    0.2657
    6.0000    4.6168    4.2044    7.9270    0.4124    0.2648
    7.0000    4.6192    4.2078    7.8392    0.4114    0.2647
    8.0000    4.6451    4.2355    7.8024    0.4095    0.2616
    9.0000    4.7130    4.3089    7.8678    0.4041    0.2637
   10.0000    4.8433    4.4411    7.6656    0.4022    0.2542
   11.0000    4.9128    4.5273    7.0005    0.3855    0.2768
   12.0000    5.0412    4.6654    6.2815    0.3758    0.2848
   13.0000    5.1615    4.7924    6.0376    0.3690    0.2874
   14.0000    5.1977    4.8406    5.8318    0.3570    0.2932
   15.0000    5.1572    4.7989    5.5750    0.3583    0.3008
   16.0000    5.1470    4.7867    5.4199    0.3602    0.2989
   17.0000    5.1178    4.7556    5.3627    0.3622    0.3065
   18.0000    5.1243    4.7714    5.3449    0.3530    0.3093
   19.0000    5.1118    4.7559    5.3121    0.3558    0.3102
   20.0000    5.1116    4.7542    5.2996    0.3574    0.3076
   21.0000    5.1095    4.7586    5.3052    0.3509    0.3119
   22.0000    5.1447    4.7934    5.3274    0.3513    0.3077
   23.0000    5.2794    4.9514    5.5830    0.3281    0.2655
   24.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   25.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   26.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   27.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   28.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   29.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   30.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   31.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   32.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   33.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   34.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   35.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   36.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   37.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   38.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   39.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   40.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   41.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   42.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   43.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   44.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   45.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   46.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   47.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   48.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   49.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   50.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   51.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   52.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   53.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   54.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   55.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   56.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   57.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   58.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   59.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   60.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   61.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   62.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   63.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   64.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   65.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   66.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   67.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   68.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   69.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   70.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   71.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   72.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   73.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   74.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   75.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   76.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   77.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   78.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   79.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   80.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   81.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   82.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   83.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   84.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   85.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   86.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   87.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   88.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   89.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   90.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   91.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   92.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   93.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   94.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   95.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   96.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   97.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   98.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   99.0000    5.5859    5.3102    5.3102    0.2757    0.2757
  100.0000    5.5859    5.3102    5.3102    0.2757    0.2757
