         t         r       w_H       w_L      w_HL      s_LH      s_LL
    0.0000    0.0523    0.0366    0.0262    1.4012    0.1689    0.3360
    1.0000    0.0488    0.0375    0.0263    1.4260    0.1447    0.3501
    2.0000    0.0491    0.0372    0.0260    1.4296    0.1442    0.3489
    3.0000    0.0491    0.0369    0.0257    1.4333    0.1436    0.3470
    4.0000    0.0492    0.0366    0.0255    1.4371    0.1430    0.3453
    5.0000    0.0493    0.0363    0.0252    1.4410    0.1423    0.3437
    6.0000    0.0494    0.0360    0.0249    1.4449    0.1418    0.3420
    7.0000    0.0495    0.0357    0.0246    1.4487    0.1412    0.3402
    8.0000    0.0496    0.0354    0.0244    1.4526    0.1406    0.3385
    9.0000    0.0496    0.0351    0.0241    1.4565    0.1400    0.3368
   10.0000    0.0496    0.0348    0.0238    1.4601    0.1396    0.3347
   11.0000    0.0497    0.0344    0.0235    1.4643    0.1388    0.3331
   12.0000    0.0497    0.0341    0.0232    1.4684    0.1381    0.3313
   13.0000    0.0498    0.0338    0.0229    1.4725    0.1374    0.3295
   14.0000    0.0498    0.0334    0.0226    1.4766    0.1368    0.3277
   15.0000    0.0498    0.0331    0.0224    1.4808    0.1362    0.3257
   16.0000    0.0498    0.0328    0.0221    1.4854    0.1354    0.3240
   17.0000    0.0497    0.0324    0.0218    1.4900    0.1347    0.3221
   18.0000    0.0497    0.0321    0.0214    1.4949    0.1340    0.3203
   19.0000    0.0497    0.0319    0.0213    1.4991    0.1337    0.3194
   20.0000    0.0497    0.0319    0.0212    1.5031    0.1338    0.3193
   21.0000    0.0497    0.0319    0.0212    1.5078    0.1339    0.3192
   22.0000    0.0499    0.0319    0.0211    1.5135    0.1342    0.3194
   23.0000    0.0504    0.0318    0.0209    1.5200    0.1351    0.3198
   24.0000    0.0507    0.0317    0.0207    1.5273    0.1363    0.3193
   25.0000    0.0514    0.0315    0.0205    1.5351    0.1383    0.3193
   26.0000    0.0532    0.0312    0.0202    1.5433    0.1412    0.3208
   27.0000    0.0539    0.0310    0.0200    1.5520    0.1437    0.3201
   28.0000    0.0549    0.0308    0.0197    1.5599    0.1472    0.3190
   29.0000    0.0556    0.0307    0.0196    1.5686    0.1495    0.3185
   30.0000    0.0565    0.0306    0.0194    1.5773    0.1515    0.3189
   31.0000    0.0575    0.0304    0.0192    1.5839    0.1548    0.3185
   32.0000    0.0582    0.0305    0.0192    1.5892    0.1576    0.3187
   33.0000    0.0591    0.0305    0.0191    1.5936    0.1593    0.3202
   34.0000    0.0607    0.0303    0.0190    1.5953    0.1614    0.3224
   35.0000    0.0615    0.0302    0.0189    1.5953    0.1621    0.3235
   36.0000    0.0622    0.0301    0.0188    1.5956    0.1625    0.3243
   37.0000    0.0627    0.0299    0.0187    1.5961    0.1627    0.3246
   38.0000    0.0631    0.0297    0.0186    1.5967    0.1628    0.3249
   39.0000    0.0627    0.0297    0.0186    1.5972    0.1625    0.3238
   40.0000    0.0636    0.0295    0.0185    1.5977    0.1629    0.3247
   41.0000    0.0628    0.0296    0.0185    1.5982    0.1622    0.3233
   42.0000    0.0638    0.0294    0.0184    1.5985    0.1629    0.3245
   43.0000    0.0629    0.0295    0.0184    1.5986    0.1623    0.3227
   44.0000    0.0639    0.0293    0.0183    1.5990    0.1628    0.3243
   45.0000    0.0637    0.0293    0.0183    1.5991    0.1626    0.3239
   46.0000    0.0642    0.0292    0.0183    1.5991    0.1630    0.3244
   47.0000    0.0633    0.0293    0.0183    1.5991    0.1625    0.3231
   48.0000    0.0642    0.0292    0.0182    1.5992    0.1631    0.3244
   49.0000    0.0641    0.0292    0.0183    1.5993    0.1629    0.3243
   50.0000    0.0640    0.0292    0.0183    1.5992    0.1629    0.3241
   51.0000    0.0643    0.0292    0.0182    1.5993    0.1630    0.3245
   52.0000    0.0639    0.0292    0.0183    1.5993    0.1627    0.3239
   53.0000    0.0640    0.0292    0.0183    1.5993    0.1629    0.3241
   54.0000    0.0643    0.0292    0.0182    1.5993    0.1630    0.3246
   55.0000    0.0634    0.0293    0.0183    1.5992    0.1624    0.3231
   56.0000    0.0638    0.0292    0.0183    1.5992    0.1628    0.3238
   57.0000    0.0629    0.0294    0.0184    1.5992    0.1621    0.3224
   58.0000    0.0633    0.0293    0.0183    1.5993    0.1623    0.3230
   59.0000    0.0641    0.0292    0.0182    1.5993    0.1629    0.3243
   60.0000    0.0629    0.0294    0.0184    1.5992    0.1621    0.3224
   61.0000    0.0642    0.0292    0.0182    1.5992    0.1630    0.3243
