         t       p_N       p_I     eps_N     eps_I
    0.0000    0.1526    2.2220    0.0019    0.0280
    1.0000   -8.9859   13.4486    0.0019    0.0484
    2.0000   -5.2179    9.6463    0.0019    0.0516
    3.0000   -3.5035    7.8206    0.0019    0.0518
    4.0000   -2.2091    6.3892    0.0019    0.0519
    5.0000   -3.3906    5.6711    0.0019    0.0520
    6.0000   -3.1530    5.1363    0.0019    0.0519
    7.0000   -2.6989    4.7503    0.0019    0.0519
    8.0000   -2.6453    4.7690    0.0019    0.0519
    9.0000   -2.3183    4.6123    0.0019    0.0518
   10.0000   -2.0045    4.4999    0.0019    0.0519
   11.0000   -2.4137    4.8266    0.0019    0.0517
   12.0000   -2.3651    4.7976    0.0019    0.0519
   13.0000   -2.9117    5.2892    0.0019    0.0518
   14.0000   -3.4290    5.7698    0.0019    0.0517
   15.0000   -3.6983    6.0477    0.0019    0.0518
   16.0000   -4.0502    6.3984    0.0019    0.0516
   17.0000   -4.2671    6.6359    0.0019    0.0519
   18.0000   -4.4465    6.8410    0.0019    0.0518
   19.0000   -4.5817    6.9870    0.0019    0.0519
   20.0000   -4.7235    7.1496    0.0019    0.0516
   21.0000   -4.9750    7.3931    0.0019    0.0519
   22.0000   -5.0854    7.5176    0.0019    0.0518
   23.0000   -5.0890    7.5415    0.0019    0.0519
   24.0000   -5.3669    7.8060    0.0019    0.0519
   25.0000   -5.3984    7.8600    0.0019    0.0519
   26.0000   -5.6951    8.1424    0.0019    0.0519
   27.0000   -5.7409    8.1971    0.0019    0.0519
   28.0000   -5.7585    8.2327    0.0019    0.0518
   29.0000   -5.6213    8.1100    0.0019    0.0519
   30.0000   -5.6057    8.1097    0.0019    0.0518
   31.0000   -5.0721    7.6138    0.0019    0.0518
   32.0000   -4.5176    7.0941    0.0019    0.0519
   33.0000   -3.8881    6.4912    0.0019    0.0519
   34.0000   -3.1963    5.8337    0.0019    0.0519
   35.0000   -2.2367    4.9076    0.0019    0.0518
   36.0000   -1.0856    3.8153    0.0019    0.0517
   37.0000   -0.0138    2.7949    0.0019    0.0506
   38.0000    0.0371    2.6867    0.0020    0.0506
   39.0000    0.0116    2.6238    0.0021    0.0488
   40.0000    0.1168    2.3926    0.0022    0.0455
   41.0000    0.1008    2.3326    0.0023    0.0409
   42.0000    0.0344    2.3268    0.0024    0.0384
   43.0000    0.1718    2.1376    0.0024    0.0333
   44.0000    0.2070    2.0743    0.0026    0.0324
   45.0000    0.1527    2.0763    0.0026    0.0309
   46.0000    0.1708    1.9988    0.0026    0.0288
   47.0000    0.1658    1.9897    0.0026    0.0277
   48.0000    0.1575    1.9702    0.0026    0.0274
   49.0000    0.1092    2.0146    0.0026    0.0266
   50.0000    0.0514    2.0942    0.0026    0.0270
   51.0000    0.0686    2.0912    0.0027    0.0272
   52.0000    0.3502    1.8081    0.0029    0.0275
   53.0000    0.2997    1.8087    0.0030    0.0265
   54.0000    0.2488    1.8091    0.0030    0.0265
   55.0000    0.2101    1.8094    0.0030    0.0265
   56.0000    0.2027    1.8097    0.0030    0.0265
   57.0000    0.2025    1.8100    0.0030    0.0265
   58.0000    0.2023    1.8102    0.0030    0.0265
   59.0000    0.2021    1.8104    0.0030    0.0265
   60.0000    0.2020    1.8106    0.0030    0.0265
   61.0000    0.2019    1.8107    0.0030    0.0265
   62.0000    0.2018    1.8108    0.0030    0.0265
   63.0000    0.2017    1.8109    0.0030    0.0265
   64.0000    0.2017    1.8110    0.0030    0.0265
   65.0000    0.2017    1.8110    0.0030    0.0265
   66.0000    0.2017    1.8110    0.0030    0.0265
   67.0000    0.2017    1.8110    0.0030    0.0265
   68.0000    0.2017    1.8110    0.0030    0.0265
   69.0000    0.2017    1.8110    0.0030    0.0265
   70.0000    0.2017    1.8111    0.0030    0.0265
   71.0000    0.2017    1.8111    0.0030    0.0265
   72.0000    0.2016    1.8111    0.0030    0.0265
   73.0000    0.2016    1.8111    0.0030    0.0265
   74.0000    0.2016    1.8111    0.0030    0.0265
   75.0000    0.2016    1.8111    0.0030    0.0265
   76.0000    0.2016    1.8111    0.0030    0.0265
   77.0000    0.2016    1.8111    0.0030    0.0265
   78.0000    0.2016    1.8111    0.0030    0.0265
   79.0000    0.2016    1.8111    0.0030    0.0265
   80.0000    0.2016    1.8111    0.0030    0.0265
   81.0000    0.2016    1.8111    0.0030    0.0265
   82.0000    0.2016    1.8111    0.0030    0.0265
   83.0000    0.2016    1.8111    0.0030    0.0265
   84.0000    0.2016    1.8111    0.0030    0.0265
   85.0000    0.2016    1.8111    0.0030    0.0265
   86.0000    0.2016    1.8111    0.0030    0.0265
   87.0000    0.2016    1.8111    0.0030    0.0265
   88.0000    0.2016    1.8111    0.0030    0.0265
   89.0000    0.2016    1.8111    0.0030    0.0265
   90.0000    0.2016    1.8111    0.0030    0.0265
   91.0000    0.2016    1.8111    0.0030    0.0265
   92.0000    0.2016    1.8111    0.0030    0.0265
   93.0000    0.2016    1.8111    0.0030    0.0265
   94.0000    0.2016    1.8111    0.0030    0.0265
   95.0000    0.2016    1.8111    0.0030    0.0265
   96.0000    0.2016    1.8111    0.0030    0.0265
   97.0000    0.2016    1.8111    0.0030    0.0265
   98.0000    0.2016    1.8111    0.0030    0.0265
   99.0000    0.2016    1.8111    0.0030    0.0265
  100.0000    0.2016    1.8111    0.0030    0.0265
