         t         N         I         S      h_HL       h_H       h_L       Eta   Gamma_H   Gamma_L
    0.0000    1.0000    0.6818    0.9068   -0.8098   -0.8098    0.0000    0.6495    0.0622    0.0963
    1.0000    1.0186    0.6941    0.9176   -0.8089   -0.8060    0.0028    0.6627    0.0547    0.0967
    2.0000    1.0371    0.7077    0.9213   -0.8078   -0.8022    0.0056    0.6773    0.0522    0.0925
    3.0000    1.0557    0.7214    0.9245   -0.8068   -0.7983    0.0084    0.6922    0.0500    0.0880
    4.0000    1.0742    0.7352    0.9278   -0.8057   -0.7945    0.0111    0.7071    0.0477    0.0836
    5.0000    1.0928    0.7488    0.9311   -0.8046   -0.7907    0.0138    0.7219    0.0454    0.0791
    6.0000    1.1113    0.7623    0.9344   -0.8034   -0.7868    0.0164    0.7366    0.0431    0.0747
    7.0000    1.1299    0.7623    0.9343   -0.8022   -0.7830    0.0191    0.7366    0.0432    0.0745
    8.0000    1.1485    0.7623    0.9343   -0.8011   -0.7792    0.0217    0.7366    0.0432    0.0744
    9.0000    1.1670    0.7623    0.9343   -0.7999   -0.7753    0.0244    0.7366    0.0432    0.0743
   10.0000    1.1856    0.7623    0.9343   -0.7987   -0.7715    0.0270    0.7366    0.0432    0.0742
   11.0000    1.2041    0.7623    0.9343   -0.7976   -0.7677    0.0297    0.7366    0.0432    0.0741
   12.0000    1.2227    0.7623    0.9342   -0.7964   -0.7638    0.0324    0.7366    0.0433    0.0740
   13.0000    1.2413    0.7623    0.9343   -0.7952   -0.7600    0.0350    0.7366    0.0433    0.0739
   14.0000    1.2598    0.7623    0.9342   -0.7940   -0.7562    0.0377    0.7366    0.0433    0.0738
   15.0000    1.2784    0.7623    0.9342   -0.7928   -0.7523    0.0403    0.7366    0.0433    0.0737
   16.0000    1.2969    0.7623    0.9341   -0.7917   -0.7485    0.0430    0.7366    0.0433    0.0736
   17.0000    1.3155    0.7623    0.9341   -0.7905   -0.7446    0.0456    0.7366    0.0434    0.0735
   18.0000    1.3340    0.7623    0.9341   -0.7893   -0.7408    0.0483    0.7366    0.0434    0.0734
   19.0000    1.3526    0.7623    0.9341   -0.7881   -0.7370    0.0510    0.7366    0.0434    0.0733
   20.0000    1.3712    0.7623    0.9340   -0.7870   -0.7331    0.0536    0.7366    0.0434    0.0732
   21.0000    1.3897    0.7623    0.9339   -0.7858   -0.7293    0.0563    0.7366    0.0435    0.0731
   22.0000    1.4083    0.7623    0.9339   -0.7846   -0.7255    0.0590    0.7366    0.0435    0.0730
   23.0000    1.4268    0.7623    0.9340   -0.7834   -0.7216    0.0616    0.7366    0.0434    0.0729
   24.0000    1.4454    0.7623    0.9339   -0.7821   -0.7178    0.0643    0.7366    0.0435    0.0728
   25.0000    1.4639    0.7623    0.9339   -0.7808   -0.7139    0.0669    0.7366    0.0435    0.0727
   26.0000    1.4825    0.7623    0.9338   -0.7794   -0.7101    0.0696    0.7366    0.0436    0.0725
   27.0000    1.5011    0.7623    0.9338   -0.7780   -0.7063    0.0723    0.7366    0.0436    0.0724
   28.0000    1.5196    0.7623    0.9338   -0.7763   -0.7024    0.0750    0.7366    0.0436    0.0723
   29.0000    1.5382    0.7623    0.9337   -0.7744   -0.6986    0.0776    0.7366    0.0436    0.0722
   30.0000    1.5567    0.7623    0.9336   -0.7723   -0.6948    0.0803    0.7366    0.0437    0.0720
   31.0000    1.5753    0.7623    0.9336   -0.7698   -0.6909    0.0830    0.7366    0.0437    0.0718
   32.0000    1.5939    0.7623    0.9336   -0.7669   -0.6871    0.0856    0.7366    0.0437    0.0716
   33.0000    1.6124    0.7623    0.9335   -0.7636   -0.6832    0.0883    0.7366    0.0438    0.0713
   34.0000    1.6310    0.7623    0.9334   -0.7598   -0.6794    0.0910    0.7366    0.0439    0.0709
   35.0000    1.6496    0.7623    0.9333   -0.7556   -0.6756    0.0936    0.7366    0.0439    0.0706
   36.0000    1.6682    0.7623    0.9333   -0.7509   -0.6717    0.0963    0.7366    0.0439    0.0703
   37.0000    1.6871    0.7623    0.9332   -0.7459   -0.6679    0.0990    0.7366    0.0440    0.0698
   38.0000    1.7064    0.7623    0.9332   -0.7407   -0.6641    0.1016    0.7366    0.0440    0.0695
   39.0000    1.7263    0.7623    0.9321   -0.7355   -0.6604    0.1041    0.7366    0.0447    0.0686
   40.0000    1.7466    0.7623    0.9311   -0.7306   -0.6569    0.1066    0.7366    0.0455    0.0678
