         t         r       w_H       w_L      w_HL      s_LH      s_LL
    0.0000    0.0523    0.0366    0.0262    1.4012    0.1689    0.3360
    1.0000    0.0527    0.0359    0.0255    1.4061    0.1674    0.3319
    2.0000    0.0530    0.0352    0.0250    1.4103    0.1661    0.3283
    3.0000    0.0532    0.0347    0.0245    1.4139    0.1650    0.3253
    4.0000    0.0533    0.0342    0.0241    1.4169    0.1641    0.3227
    5.0000    0.0535    0.0338    0.0238    1.4194    0.1633    0.3207
    6.0000    0.0537    0.0334    0.0235    1.4214    0.1628    0.3193
    7.0000    0.0541    0.0330    0.0232    1.4234    0.1624    0.3180
    8.0000    0.0546    0.0326    0.0229    1.4256    0.1621    0.3169
    9.0000    0.0554    0.0321    0.0225    1.4279    0.1619    0.3161
   10.0000    0.0563    0.0316    0.0221    1.4299    0.1620    0.3158
   11.0000    0.0575    0.0311    0.0217    1.4316    0.1624    0.3161
   12.0000    0.0587    0.0306    0.0214    1.4333    0.1628    0.3166
   13.0000    0.0600    0.0301    0.0210    1.4351    0.1632    0.3170
   14.0000    0.0611    0.0296    0.0206    1.4369    0.1635    0.3172
   15.0000    0.0620    0.0292    0.0203    1.4388    0.1637    0.3170
   16.0000    0.0628    0.0287    0.0199    1.4407    0.1636    0.3165
   17.0000    0.0633    0.0284    0.0197    1.4423    0.1635    0.3160
   18.0000    0.0636    0.0281    0.0195    1.4435    0.1634    0.3156
   19.0000    0.0638    0.0280    0.0194    1.4443    0.1634    0.3153
   20.0000    0.0640    0.0279    0.0193    1.4448    0.1633    0.3151
   21.0000    0.0640    0.0278    0.0192    1.4451    0.1633    0.3150
   22.0000    0.0641    0.0278    0.0192    1.4452    0.1633    0.3149
   23.0000    0.0641    0.0277    0.0192    1.4453    0.1633    0.3149
   24.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3149
   25.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   26.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   27.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   28.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   29.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   30.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   31.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   32.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   33.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   34.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   35.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   36.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   37.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   38.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   39.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   40.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   41.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   42.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   43.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   44.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   45.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   46.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   47.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   48.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
   49.0000    0.0641    0.0277    0.0192    1.4454    0.1633    0.3148
