         t         r       w_H       w_L      w_HL      s_LH      s_LL
    0.0000    0.0523    0.0366    0.0262    1.4012    0.1689    0.3360
    1.0000    0.0492    0.0368    0.0258    1.4227    0.1497    0.3411
    2.0000    0.0498    0.0358    0.0250    1.4301    0.1477    0.3365
    3.0000    0.0501    0.0348    0.0242    1.4375    0.1457    0.3315
    4.0000    0.0504    0.0338    0.0234    1.4449    0.1435    0.3266
    5.0000    0.0505    0.0327    0.0225    1.4527    0.1412    0.3216
    6.0000    0.0506    0.0319    0.0219    1.4587    0.1397    0.3177
    7.0000    0.0507    0.0319    0.0219    1.4603    0.1399    0.3178
    8.0000    0.0508    0.0319    0.0218    1.4621    0.1399    0.3181
    9.0000    0.0509    0.0319    0.0218    1.4637    0.1401    0.3181
   10.0000    0.0509    0.0319    0.0218    1.4654    0.1401    0.3181
   11.0000    0.0509    0.0319    0.0217    1.4670    0.1402    0.3180
   12.0000    0.0509    0.0319    0.0217    1.4688    0.1401    0.3180
   13.0000    0.0507    0.0319    0.0217    1.4703    0.1402    0.3175
   14.0000    0.0506    0.0319    0.0217    1.4721    0.1401    0.3174
   15.0000    0.0505    0.0320    0.0217    1.4738    0.1400    0.3172
   16.0000    0.0504    0.0320    0.0217    1.4754    0.1400    0.3169
   17.0000    0.0503    0.0320    0.0217    1.4770    0.1401    0.3165
   18.0000    0.0501    0.0320    0.0217    1.4787    0.1400    0.3162
   19.0000    0.0501    0.0320    0.0216    1.4805    0.1399    0.3162
   20.0000    0.0500    0.0321    0.0216    1.4820    0.1401    0.3157
   21.0000    0.0499    0.0321    0.0216    1.4837    0.1401    0.3156
   22.0000    0.0499    0.0321    0.0216    1.4855    0.1400    0.3156
   23.0000    0.0498    0.0321    0.0216    1.4871    0.1402    0.3152
   24.0000    0.0498    0.0321    0.0215    1.4891    0.1400    0.3155
   25.0000    0.0498    0.0321    0.0215    1.4909    0.1401    0.3153
   26.0000    0.0498    0.0321    0.0215    1.4928    0.1401    0.3152
   27.0000    0.0496    0.0321    0.0215    1.4945    0.1405    0.3144
   28.0000    0.0497    0.0321    0.0214    1.4972    0.1402    0.3150
   29.0000    0.0497    0.0321    0.0214    1.4997    0.1404    0.3147
   30.0000    0.0498    0.0321    0.0214    1.5028    0.1404    0.3150
   31.0000    0.0498    0.0321    0.0213    1.5062    0.1405    0.3150
   32.0000    0.0499    0.0321    0.0212    1.5102    0.1407    0.3150
   33.0000    0.0501    0.0320    0.0211    1.5148    0.1410    0.3151
   34.0000    0.0503    0.0320    0.0210    1.5202    0.1413    0.3154
   35.0000    0.0506    0.0319    0.0209    1.5262    0.1417    0.3156
   36.0000    0.0509    0.0319    0.0208    1.5329    0.1422    0.3160
   37.0000    0.0514    0.0317    0.0206    1.5401    0.1430    0.3165
   38.0000    0.0521    0.0316    0.0204    1.5477    0.1438    0.3175
   39.0000    0.0534    0.0314    0.0202    1.5550    0.1456    0.3189
   40.0000    0.0549    0.0310    0.0199    1.5582    0.1514    0.3165
   41.0000    0.0552    0.0309    0.0198    1.5617    0.1556    0.3132
   42.0000    0.0557    0.0308    0.0197    1.5661    0.1582    0.3117
   43.0000    0.0575    0.0305    0.0194    1.5710    0.1605    0.3137
   44.0000    0.0578    0.0304    0.0193    1.5743    0.1629    0.3120
   45.0000    0.0585    0.0303    0.0192    1.5776    0.1650    0.3115
   46.0000    0.0579    0.0304    0.0192    1.5801    0.1662    0.3089
   47.0000    0.0582    0.0303    0.0191    1.5835    0.1663    0.3094
   48.0000    0.0580    0.0303    0.0191    1.5843    0.1686    0.3068
   49.0000    0.0585    0.0302    0.0191    1.5865    0.1688    0.3077
   50.0000    0.0586    0.0302    0.0190    1.5874    0.1693    0.3076
   51.0000    0.0590    0.0301    0.0190    1.5867    0.1710    0.3067
   52.0000    0.0604    0.0299    0.0188    1.5874    0.1716    0.3092
   53.0000    0.0615    0.0297    0.0187    1.5880    0.1720    0.3113
   54.0000    0.0615    0.0297    0.0187    1.5880    0.1720    0.3113
   55.0000    0.0615    0.0297    0.0187    1.5880    0.1720    0.3113
   56.0000    0.0615    0.0297    0.0187    1.5880    0.1720    0.3113
   57.0000    0.0615    0.0297    0.0187    1.5880    0.1720    0.3113
   58.0000    0.0615    0.0297    0.0187    1.5880    0.1720    0.3113
   59.0000    0.0615    0.0297    0.0187    1.5880    0.1720    0.3113
   60.0000    0.0615    0.0297    0.0187    1.5880    0.1720    0.3113
   61.0000    0.0615    0.0297    0.0187    1.5881    0.1720    0.3113
   62.0000    0.0615    0.0297    0.0187    1.5881    0.1720    0.3113
   63.0000    0.0615    0.0297    0.0187    1.5881    0.1720    0.3113
   64.0000    0.0615    0.0297    0.0187    1.5881    0.1720    0.3113
   65.0000    0.0615    0.0297    0.0187    1.5881    0.1720    0.3113
   66.0000    0.0615    0.0297    0.0187    1.5881    0.1720    0.3113
   67.0000    0.0615    0.0297    0.0187    1.5881    0.1720    0.3113
   68.0000    0.0615    0.0297    0.0187    1.5881    0.1720    0.3113
   69.0000    0.0615    0.0297    0.0187    1.5881    0.1720    0.3113
   70.0000    0.0615    0.0297    0.0187    1.5881    0.1720    0.3113
   71.0000    0.0615    0.0297    0.0187    1.5881    0.1720    0.3113
   72.0000    0.0615    0.0297    0.0187    1.5881    0.1720    0.3113
   73.0000    0.0615    0.0297    0.0187    1.5881    0.1720    0.3113
