         t         N         I         S      h_HL       h_H       h_L       Eta   Gamma_H   Gamma_L
    0.0000    1.0000    0.6818    0.9068   -0.8098   -0.8098    0.0000    0.6495    0.0622    0.0963
    1.0000    1.0186    0.6943    0.9181   -0.8088   -0.8060    0.0028    0.6629    0.0545    0.0968
    2.0000    1.0371    0.7081    0.9213   -0.8078   -0.8022    0.0056    0.6778    0.0522    0.0923
    3.0000    1.0557    0.7218    0.9245   -0.8068   -0.7983    0.0083    0.6926    0.0500    0.0879
    4.0000    1.0742    0.7354    0.9278   -0.8057   -0.7945    0.0111    0.7073    0.0477    0.0834
    5.0000    1.0928    0.7490    0.9311   -0.8046   -0.7907    0.0138    0.7220    0.0454    0.0790
    6.0000    1.1113    0.7588    0.9335   -0.8034   -0.7868    0.0164    0.7327    0.0438    0.0758
    7.0000    1.1299    0.7588    0.9334   -0.8022   -0.7830    0.0191    0.7327    0.0438    0.0756
    8.0000    1.1485    0.7588    0.9335   -0.8011   -0.7791    0.0218    0.7327    0.0438    0.0756
    9.0000    1.1670    0.7588    0.9334   -0.7999   -0.7753    0.0245    0.7327    0.0438    0.0755
   10.0000    1.1856    0.7588    0.9334   -0.7987   -0.7715    0.0271    0.7327    0.0438    0.0754
   11.0000    1.2041    0.7588    0.9334   -0.7976   -0.7676    0.0298    0.7327    0.0439    0.0752
   12.0000    1.2227    0.7588    0.9334   -0.7964   -0.7638    0.0325    0.7327    0.0439    0.0752
   13.0000    1.2413    0.7588    0.9333   -0.7952   -0.7599    0.0351    0.7327    0.0439    0.0750
   14.0000    1.2598    0.7588    0.9333   -0.7941   -0.7561    0.0378    0.7327    0.0439    0.0750
   15.0000    1.2784    0.7588    0.9333   -0.7929   -0.7523    0.0405    0.7327    0.0439    0.0749
   16.0000    1.2969    0.7588    0.9333   -0.7917   -0.7484    0.0431    0.7327    0.0439    0.0748
   17.0000    1.3155    0.7588    0.9332   -0.7906   -0.7446    0.0458    0.7327    0.0440    0.0746
   18.0000    1.3340    0.7588    0.9332   -0.7894   -0.7408    0.0485    0.7327    0.0440    0.0745
   19.0000    1.3526    0.7588    0.9332   -0.7882   -0.7369    0.0511    0.7327    0.0440    0.0745
   20.0000    1.3712    0.7588    0.9331   -0.7870   -0.7331    0.0538    0.7327    0.0441    0.0743
   21.0000    1.3897    0.7588    0.9331   -0.7859   -0.7293    0.0565    0.7327    0.0441    0.0742
   22.0000    1.4083    0.7588    0.9331   -0.7847   -0.7254    0.0592    0.7327    0.0441    0.0741
   23.0000    1.4268    0.7588    0.9330   -0.7835   -0.7216    0.0618    0.7327    0.0442    0.0740
   24.0000    1.4454    0.7588    0.9331   -0.7823   -0.7177    0.0645    0.7327    0.0441    0.0740
   25.0000    1.4639    0.7588    0.9330   -0.7810   -0.7139    0.0672    0.7327    0.0441    0.0738
   26.0000    1.4825    0.7588    0.9330   -0.7796   -0.7101    0.0698    0.7327    0.0441    0.0737
   27.0000    1.5011    0.7588    0.9327   -0.7782   -0.7062    0.0725    0.7327    0.0443    0.0735
   28.0000    1.5196    0.7588    0.9329   -0.7766   -0.7024    0.0752    0.7327    0.0442    0.0735
   29.0000    1.5382    0.7588    0.9328   -0.7749   -0.6985    0.0779    0.7327    0.0443    0.0733
   30.0000    1.5567    0.7588    0.9329   -0.7728   -0.6947    0.0806    0.7327    0.0442    0.0731
   31.0000    1.5753    0.7588    0.9328   -0.7705   -0.6909    0.0832    0.7327    0.0443    0.0729
   32.0000    1.5939    0.7588    0.9327   -0.7678   -0.6870    0.0859    0.7327    0.0443    0.0727
   33.0000    1.6124    0.7588    0.9327   -0.7646   -0.6832    0.0886    0.7327    0.0443    0.0725
   34.0000    1.6310    0.7588    0.9326   -0.7610   -0.6794    0.0913    0.7327    0.0444    0.0722
   35.0000    1.6496    0.7588    0.9325   -0.7569   -0.6755    0.0939    0.7327    0.0445    0.0718
   36.0000    1.6682    0.7588    0.9324   -0.7524   -0.6717    0.0966    0.7327    0.0445    0.0714
   37.0000    1.6870    0.7588    0.9322   -0.7475   -0.6679    0.0993    0.7327    0.0447    0.0710
   38.0000    1.7063    0.7588    0.9321   -0.7424   -0.6641    0.1019    0.7327    0.0448    0.0706
   39.0000    1.7258    0.7588    0.9317   -0.7373   -0.6604    0.1044    0.7327    0.0450    0.0700
   40.0000    1.7461    0.7588    0.9295   -0.7323   -0.6569    0.1069    0.7327    0.0466    0.0686
   41.0000    1.7668    0.7588    0.9276   -0.7278   -0.6536    0.1094    0.7327    0.0478    0.0674
