         t       p_N       p_I     eps_N     eps_I
    0.0000    0.1526    2.2220    0.0019    0.0280
    1.0000   -6.5123   13.2270    0.0019    0.0458
    2.0000   -2.6436    9.3267    0.0019    0.0538
    3.0000   -1.3289    7.8699    0.0019    0.0539
    4.0000   -0.2424    6.6249    0.0019    0.0539
    5.0000   -3.5666    5.7862    0.0019    0.0539
    6.0000   -3.2285    5.1628    0.0019    0.0539
    7.0000   -3.5762    5.4460    0.0019    0.0538
    8.0000   -2.8415    4.8628    0.0019    0.0536
    9.0000   -2.2980    4.4940    0.0019    0.0534
   10.0000   -1.4172    3.8715    0.0019    0.0528
   11.0000   -0.3232    2.9828    0.0019    0.0527
   12.0000    0.0490    2.5988    0.0020    0.0521
   13.0000    0.0364    2.5360    0.0020    0.0505
   14.0000    0.0708    2.3944    0.0021    0.0462
   15.0000    0.0815    2.3153    0.0022    0.0414
   16.0000    0.1325    2.2270    0.0023    0.0397
   17.0000    0.1098    2.2077    0.0024    0.0368
   18.0000    0.2077    2.0704    0.0025    0.0342
   19.0000    0.2463    1.9778    0.0027    0.0326
   20.0000    0.1557    2.0318    0.0027    0.0303
   21.0000    0.1655    1.9697    0.0027    0.0291
   22.0000    0.1109    2.0085    0.0027    0.0281
   23.0000    0.0539    2.0555    0.0028    0.0281
   24.0000    0.0538    2.0593    0.0029    0.0278
   25.0000    0.3049    1.7829    0.0030    0.0281
   26.0000    0.2631    1.7852    0.0031    0.0275
   27.0000    0.2228    1.7865    0.0031    0.0275
   28.0000    0.2031    1.7871    0.0031    0.0275
   29.0000    0.1993    1.7869    0.0031    0.0275
   30.0000    0.1988    1.7875    0.0031    0.0275
   31.0000    0.1989    1.7875    0.0031    0.0275
   32.0000    0.1990    1.7875    0.0031    0.0275
   33.0000    0.1990    1.7876    0.0031    0.0275
   34.0000    0.1990    1.7876    0.0031    0.0275
   35.0000    0.1990    1.7876    0.0031    0.0275
   36.0000    0.1990    1.7876    0.0031    0.0275
   37.0000    0.1990    1.7876    0.0031    0.0275
   38.0000    0.1990    1.7876    0.0031    0.0275
   39.0000    0.1990    1.7876    0.0031    0.0275
   40.0000    0.1990    1.7876    0.0031    0.0275
   41.0000    0.1990    1.7876    0.0031    0.0275
   42.0000    0.1990    1.7876    0.0031    0.0275
   43.0000    0.1990    1.7876    0.0031    0.0275
   44.0000    0.1990    1.7876    0.0031    0.0275
   45.0000    0.1990    1.7876    0.0031    0.0275
   46.0000    0.1990    1.7876    0.0031    0.0275
   47.0000    0.1990    1.7876    0.0031    0.0275
   48.0000    0.1990    1.7876    0.0031    0.0275
   49.0000    0.1990    1.7876    0.0031    0.0275
   50.0000    0.1990    1.7876    0.0031    0.0275
   51.0000    0.1990    1.7876    0.0031    0.0275
   52.0000    0.1990    1.7876    0.0031    0.0275
   53.0000    0.1990    1.7876    0.0031    0.0275
   54.0000    0.1990    1.7876    0.0031    0.0275
   55.0000    0.1990    1.7876    0.0031    0.0275
   56.0000    0.1990    1.7876    0.0031    0.0275
   57.0000    0.1990    1.7876    0.0031    0.0275
   58.0000    0.1990    1.7876    0.0031    0.0275
   59.0000    0.1990    1.7876    0.0031    0.0275
   60.0000    0.1990    1.7876    0.0031    0.0275
   61.0000    0.1990    1.7876    0.0031    0.0275
   62.0000    0.1990    1.7876    0.0031    0.0275
   63.0000    0.1990    1.7876    0.0031    0.0275
   64.0000    0.1990    1.7876    0.0031    0.0275
   65.0000    0.1990    1.7876    0.0031    0.0275
   66.0000    0.1990    1.7876    0.0031    0.0275
   67.0000    0.1990    1.7876    0.0031    0.0275
   68.0000    0.1990    1.7876    0.0031    0.0275
   69.0000    0.1990    1.7876    0.0031    0.0275
   70.0000    0.1990    1.7876    0.0031    0.0275
   71.0000    0.1990    1.7876    0.0031    0.0275
   72.0000    0.1990    1.7876    0.0031    0.0275
   73.0000    0.1990    1.7876    0.0031    0.0275
   74.0000    0.1990    1.7876    0.0031    0.0275
   75.0000    0.1990    1.7876    0.0031    0.0275
   76.0000    0.1990    1.7876    0.0031    0.0275
   77.0000    0.1990    1.7876    0.0031    0.0275
   78.0000    0.1990    1.7876    0.0031    0.0275
   79.0000    0.1990    1.7876    0.0031    0.0275
   80.0000    0.1990    1.7876    0.0031    0.0275
   81.0000    0.1990    1.7876    0.0031    0.0275
   82.0000    0.1990    1.7876    0.0031    0.0275
   83.0000    0.1990    1.7876    0.0031    0.0275
   84.0000    0.1990    1.7876    0.0031    0.0275
   85.0000    0.1990    1.7876    0.0031    0.0275
   86.0000    0.1990    1.7876    0.0031    0.0275
   87.0000    0.1990    1.7876    0.0031    0.0275
   88.0000    0.1990    1.7876    0.0031    0.0275
   89.0000    0.1990    1.7876    0.0031    0.0275
   90.0000    0.1990    1.7876    0.0031    0.0275
   91.0000    0.1990    1.7876    0.0031    0.0275
   92.0000    0.1990    1.7876    0.0031    0.0275
   93.0000    0.1990    1.7876    0.0031    0.0275
   94.0000    0.1990    1.7876    0.0031    0.0275
   95.0000    0.1990    1.7876    0.0031    0.0275
   96.0000    0.1990    1.7876    0.0031    0.0275
   97.0000    0.1990    1.7876    0.0031    0.0275
   98.0000    0.1990    1.7876    0.0031    0.0275
   99.0000    0.1990    1.7876    0.0031    0.0275
  100.0000    0.1990    1.7876    0.0031    0.0275
