         t         r       w_H       w_L      w_HL      s_LH      s_LL
    0.0000    0.0523    0.0366    0.0262    1.4012    0.1689    0.3360
    1.0000    0.0491    0.0368    0.0259    1.4220    0.1503    0.3403
    2.0000    0.0498    0.0358    0.0250    1.4300    0.1477    0.3368
    3.0000    0.0501    0.0348    0.0242    1.4373    0.1457    0.3318
    4.0000    0.0504    0.0338    0.0234    1.4450    0.1434    0.3270
    5.0000    0.0505    0.0327    0.0225    1.4526    0.1413    0.3217
    6.0000    0.0506    0.0317    0.0217    1.4604    0.1389    0.3164
    7.0000    0.0507    0.0316    0.0216    1.4620    0.1392    0.3164
    8.0000    0.0507    0.0316    0.0216    1.4636    0.1393    0.3163
    9.0000    0.0507    0.0316    0.0216    1.4654    0.1393    0.3165
   10.0000    0.0508    0.0316    0.0216    1.4671    0.1394    0.3165
   11.0000    0.0507    0.0316    0.0215    1.4687    0.1394    0.3163
   12.0000    0.0507    0.0316    0.0215    1.4703    0.1395    0.3161
   13.0000    0.0505    0.0317    0.0215    1.4722    0.1393    0.3159
   14.0000    0.0504    0.0317    0.0215    1.4738    0.1393    0.3155
   15.0000    0.0503    0.0317    0.0215    1.4755    0.1393    0.3153
   16.0000    0.0502    0.0317    0.0215    1.4771    0.1393    0.3151
   17.0000    0.0501    0.0317    0.0215    1.4788    0.1393    0.3149
   18.0000    0.0501    0.0318    0.0215    1.4805    0.1393    0.3147
   19.0000    0.0500    0.0318    0.0214    1.4822    0.1393    0.3146
   20.0000    0.0500    0.0318    0.0214    1.4839    0.1393    0.3145
   21.0000    0.0499    0.0318    0.0214    1.4855    0.1395    0.3141
   22.0000    0.0499    0.0318    0.0214    1.4873    0.1395    0.3141
   23.0000    0.0499    0.0318    0.0213    1.4892    0.1394    0.3142
   24.0000    0.0498    0.0318    0.0213    1.4909    0.1394    0.3140
   25.0000    0.0498    0.0318    0.0213    1.4929    0.1394    0.3140
   26.0000    0.0497    0.0318    0.0213    1.4947    0.1396    0.3136
   27.0000    0.0497    0.0318    0.0213    1.4969    0.1396    0.3136
   28.0000    0.0497    0.0318    0.0212    1.4993    0.1397    0.3135
   29.0000    0.0497    0.0318    0.0212    1.5020    0.1398    0.3135
