         t         N         I         S      h_HL       h_H       h_L       Eta   Gamma_H   Gamma_L
    0.0000    1.0000    0.6818    0.9068   -0.8098   -0.8098    0.0000    0.6495    0.0622    0.0963
    1.0000    1.0186    0.6940    0.9180   -0.8088   -0.8060    0.0028    0.6626    0.0545    0.0969
    2.0000    1.0371    0.7084    0.9211   -0.8078   -0.8022    0.0056    0.6781    0.0524    0.0921
    3.0000    1.0557    0.7227    0.9250   -0.8067   -0.7983    0.0083    0.6936    0.0497    0.0877
    4.0000    1.0742    0.7370    0.9283   -0.8056   -0.7945    0.0111    0.7090    0.0474    0.0830
    5.0000    1.0928    0.7511    0.9318   -0.8044   -0.7906    0.0138    0.7244    0.0450    0.0784
    6.0000    1.1114    0.7649    0.9352   -0.8032   -0.7868    0.0164    0.7393    0.0426    0.0739
    7.0000    1.1299    0.7679    0.9357   -0.8018   -0.7829    0.0191    0.7427    0.0423    0.0726
    8.0000    1.1485    0.7680    0.9359   -0.8002   -0.7791    0.0217    0.7427    0.0421    0.0726
    9.0000    1.1671    0.7680    0.9358   -0.7982   -0.7752    0.0243    0.7427    0.0422    0.0725
   10.0000    1.1857    0.7679    0.9357   -0.7957   -0.7714    0.0270    0.7427    0.0423    0.0722
   11.0000    1.2045    0.7679    0.9355   -0.7927   -0.7676    0.0296    0.7427    0.0424    0.0719
   12.0000    1.2236    0.7679    0.9354   -0.7890   -0.7637    0.0322    0.7426    0.0425    0.0716
   13.0000    1.2431    0.7679    0.9348   -0.7846   -0.7600    0.0348    0.7426    0.0429    0.0709
   14.0000    1.2631    0.7679    0.9339   -0.7799   -0.7564    0.0374    0.7426    0.0435    0.0702
   15.0000    1.2836    0.7679    0.9325   -0.7749   -0.7529    0.0400    0.7426    0.0444    0.0691
   16.0000    1.3044    0.7679    0.9314   -0.7700   -0.7494    0.0426    0.7426    0.0452    0.0682
   17.0000    1.3257    0.7679    0.9300   -0.7654   -0.7460    0.0454    0.7426    0.0462    0.0672
