    number     Model      flag   I_tilde   S_tilde      h_HL       Eta   Gamma_H   Gamma_L         r       w_H       w_L      w_HL      s_LH      s_LL       s_L
         1         3         1    0.7538    0.9279   -0.7180    0.7273    0.0477    0.0689    0.0603    0.0305    0.0193    1.5775    0.2695    0.3264    0.5959
         2         3         1    0.7500    0.9270   -0.7178    0.7232    0.0483    0.0700    0.0604    0.0308    0.0195    1.5760    0.2700    0.3279    0.5979
         3         3         1    0.7462    0.9260   -0.7176    0.7190    0.0490    0.0711    0.0604    0.0311    0.0197    1.5745    0.2706    0.3295    0.6001
         4         3         1    0.7422    0.9250   -0.7174    0.7146    0.0496    0.0723    0.0604    0.0314    0.0199    1.5729    0.2712    0.3311    0.6022
         5         3         1    0.7380    0.9240   -0.7171    0.7101    0.0503    0.0735    0.0604    0.0317    0.0202    1.5712    0.2718    0.3327    0.6045
         6         3         1    0.7337    0.9230   -0.7169    0.7055    0.0510    0.0747    0.0604    0.0320    0.0204    1.5695    0.2724    0.3345    0.6068
         7         3         1    0.7293    0.9219   -0.7167    0.7007    0.0518    0.0760    0.0604    0.0323    0.0206    1.5678    0.2730    0.3362    0.6092
         8         3         1    0.7247    0.9208   -0.7164    0.6958    0.0525    0.0773    0.0605    0.0326    0.0208    1.5660    0.2737    0.3381    0.6117
         9         3         1    0.7200    0.9197   -0.7162    0.6906    0.0533    0.0787    0.0605    0.0330    0.0211    1.5642    0.2743    0.3400    0.6143
        10         3         1    0.7151    0.9186   -0.7159    0.6853    0.0541    0.0801    0.0605    0.0333    0.0213    1.5623    0.2750    0.3420    0.6170
        11         3         1    0.7100    0.9174   -0.7156    0.6798    0.0549    0.0815    0.0605    0.0336    0.0215    1.5604    0.2758    0.3440    0.6198
        12         3         1    0.7047    0.9161   -0.7154    0.6741    0.0558    0.0830    0.0606    0.0340    0.0218    1.5584    0.2765    0.3461    0.6227
        13         3         1    0.6992    0.9149   -0.7151    0.6682    0.0567    0.0846    0.0606    0.0343    0.0220    1.5563    0.2773    0.3484    0.6257
        14         3         1    0.6935    0.9135   -0.7148    0.6620    0.0576    0.0862    0.0606    0.0347    0.0223    1.5542    0.2781    0.3507    0.6288
        15         3         1    0.6875    0.9122   -0.7145    0.6556    0.0585    0.0879    0.0606    0.0350    0.0226    1.5520    0.2790    0.3530    0.6320
        16         3         1    0.6813    0.9108   -0.7141    0.6490    0.0595    0.0897    0.0607    0.0354    0.0228    1.5497    0.2799    0.3555    0.6354
        17         3         1    0.6748    0.9093   -0.7138    0.6420    0.0605    0.0915    0.0607    0.0358    0.0231    1.5474    0.2808    0.3581    0.6389
        18         3         1    0.6681    0.9078   -0.7135    0.6348    0.0615    0.0934    0.0607    0.0361    0.0234    1.5450    0.2817    0.3609    0.6426
        19         3         1    0.6610    0.9063   -0.7131    0.6272    0.0626    0.0954    0.0608    0.0365    0.0237    1.5425    0.2827    0.3637    0.6464
        20         3         1    0.6536    0.9046   -0.7127    0.6193    0.0637    0.0975    0.0608    0.0369    0.0240    1.5399    0.2838    0.3667    0.6505
        21         3         1    0.6459    0.9030   -0.7124    0.6110    0.0648    0.0996    0.0608    0.0373    0.0243    1.5372    0.2849    0.3698    0.6547
        22         3         1    0.6377    0.9012   -0.7120    0.6024    0.0660    0.1019    0.0608    0.0377    0.0246    1.5344    0.2860    0.3731    0.6591
        23         3         1    0.6292    0.8994   -0.7115    0.5933    0.0672    0.1043    0.0609    0.0381    0.0249    1.5315    0.2872    0.3765    0.6637
        24         3         1    0.6202    0.8975   -0.7111    0.5837    0.0685    0.1067    0.0609    0.0385    0.0252    1.5285    0.2885    0.3801    0.6686
        25         3         1    0.6107    0.8955   -0.7107    0.5737    0.0698    0.1093    0.0610    0.0390    0.0255    1.5254    0.2898    0.3839    0.6737
        26         3         1    0.6007    0.8935   -0.7102    0.5631    0.0712    0.1121    0.0610    0.0394    0.0259    1.5222    0.2912    0.3879    0.6792
        27         3         1    0.5900    0.8913   -0.7097    0.5519    0.0727    0.1150    0.0610    0.0398    0.0262    1.5188    0.2927    0.3922    0.6849
        28         3         1    0.5788    0.8891   -0.7092    0.5400    0.0742    0.1180    0.0611    0.0402    0.0266    1.5153    0.2943    0.3967    0.6910
        29         3         1    0.5668    0.8867   -0.7086    0.5274    0.0758    0.1212    0.0611    0.0407    0.0269    1.5116    0.2959    0.4015    0.6975
        30         3         1    0.5540    0.8842   -0.7081    0.5141    0.0775    0.1246    0.0612    0.0411    0.0273    1.5077    0.2977    0.4067    0.7044
