    number     Model      flag         y         k       L_H       L_L       c_H       c_L       V_H       V_L      V_HL
         1         3         1    0.0372    0.0939    0.1917    0.6289    0.0349    0.0177 1060.6271  990.7758    0.9764
         2         3         1    0.0375    0.0939    0.1917    0.6289    0.0352    0.0179 1061.8705  992.6858    0.9615
         3         3         1    0.0377    0.0940    0.1916    0.6288    0.0355    0.0182 1063.1190  994.5933    0.9470
         4         3         1    0.0379    0.0940    0.1916    0.6288    0.0358    0.0185 1064.3742  996.5000    0.9327
         5         3         1    0.0381    0.0939    0.1915    0.6288    0.0361    0.0188 1065.6347  998.4048    0.9187
         6         3         1    0.0383    0.0939    0.1915    0.6288    0.0364    0.0191 1066.9009 1000.3085    0.9050
         7         3         1    0.0385    0.0938    0.1914    0.6287    0.0368    0.0194 1068.1731 1002.2115    0.8916
         8         3         1    0.0387    0.0937    0.1914    0.6287    0.0371    0.0197 1069.4510 1004.1138    0.8784
         9         3         1    0.0390    0.0936    0.1913    0.6287    0.0374    0.0200 1070.7349 1006.0160    0.8654
        10         3         1    0.0392    0.0935    0.1913    0.6286    0.0377    0.0203 1072.0245 1007.9182    0.8527
        11         3         1    0.0394    0.0933    0.1912    0.6286    0.0380    0.0207 1073.3200 1009.8208    0.8401
        12         3         1    0.0396    0.0930    0.1911    0.6286    0.0383    0.0210 1074.6215 1011.7241    0.8278
        13         3         1    0.0398    0.0927    0.1911    0.6285    0.0386    0.0213 1075.9288 1013.6285    0.8157
        14         3         1    0.0400    0.0924    0.1910    0.6285    0.0389    0.0216 1077.2419 1015.5342    0.8038
        15         3         1    0.0402    0.0920    0.1910    0.6285    0.0392    0.0219 1078.5609 1017.4416    0.7921
        16         3         1    0.0404    0.0916    0.1909    0.6284    0.0396    0.0222 1079.8859 1019.3512    0.7805
        17         3         1    0.0406    0.0911    0.1908    0.6284    0.0399    0.0225 1081.2164 1021.2631    0.7691
        18         3         1    0.0407    0.0906    0.1907    0.6283    0.0402    0.0228 1082.5528 1023.1780    0.7578
        19         3         1    0.0409    0.0900    0.1907    0.6283    0.0405    0.0232 1083.8949 1025.0962    0.7467
        20         3         1    0.0411    0.0893    0.1906    0.6283    0.0408    0.0235 1085.2426 1027.0182    0.7357
        21         3         1    0.0412    0.0886    0.1905    0.6282    0.0410    0.0238 1086.5959 1028.9446    0.7249
        22         3         1    0.0414    0.0877    0.1904    0.6282    0.0413    0.0241 1087.9547 1030.8759    0.7141
        23         3         1    0.0415    0.0868    0.1903    0.6281    0.0416    0.0244 1089.3189 1032.8129    0.7035
