         t         N         I         S      h_HL       h_H       h_L       Eta   Gamma_H   Gamma_L
    0.0000    1.0000    0.6818    0.9068   -0.8098   -0.8098    0.0000    0.6495    0.0622    0.0963
    0.5000    1.0075    0.6888    0.9081   -0.8093   -0.8080    0.0015    0.6570    0.0613    0.0939
    1.0000    1.0152    0.6958    0.9097   -0.8083   -0.8061    0.0031    0.6645    0.0602    0.0917
    1.5000    1.0231    0.7031    0.9112   -0.8065   -0.8043    0.0046    0.6724    0.0591    0.0891
    2.0000    1.0312    0.7112    0.9125   -0.8030   -0.8025    0.0063    0.6811    0.0583    0.0858
    2.5000    1.0396    0.7202    0.9126   -0.7974   -0.8006    0.0079    0.6908    0.0582    0.0815
    3.0000    1.0484    0.7298    0.9159   -0.7898   -0.7988    0.0096    0.7012    0.0559    0.0784
    3.5000    1.0575    0.7392    0.9190   -0.7811   -0.7969    0.0112    0.7114    0.0538    0.0752
    4.0000    1.0671    0.7477    0.9193   -0.7725   -0.7951    0.0128    0.7206    0.0536    0.0711
    4.5000    1.0771    0.7545    0.9218   -0.7649   -0.7933    0.0145    0.7281    0.0519    0.0688
    5.0000    1.0874    0.7597    0.9235   -0.7590   -0.7915    0.0161    0.7337    0.0507    0.0671
    5.5000    1.0979    0.7632    0.9231   -0.7548   -0.7897    0.0177    0.7375    0.0510    0.0651
    6.0000    1.1088    0.7655    0.9245   -0.7522   -0.7879    0.0193    0.7400    0.0500    0.0646
    6.5000    1.1201    0.7668    0.9261   -0.7508   -0.7863    0.0208    0.7414    0.0489    0.0648
    7.0000    1.1317    0.7674    0.9248   -0.7501   -0.7848    0.0223    0.7421    0.0498    0.0638
    7.5000    1.1435    0.7678    0.9262   -0.7498   -0.7834    0.0237    0.7425    0.0488    0.0644
    8.0000    1.1552    0.7679    0.9262   -0.7497   -0.7820    0.0251    0.7426    0.0488    0.0643
    8.5000    1.1669    0.7680    0.9263   -0.7496   -0.7806    0.0265    0.7427    0.0488    0.0643
    9.0000    1.1786    0.7680    0.9263   -0.7496   -0.7792    0.0278    0.7428    0.0488    0.0643
    9.5000    1.1903    0.7680    0.9263   -0.7496   -0.7779    0.0292    0.7428    0.0488    0.0643
   10.0000    1.2021    0.7681    0.9263   -0.7495   -0.7765    0.0306    0.7428    0.0488    0.0642
   10.5000    1.2138    0.7681    0.9263   -0.7495   -0.7751    0.0320    0.7428    0.0488    0.0642
   11.0000    1.2255    0.7681    0.9263   -0.7495   -0.7737    0.0334    0.7428    0.0488    0.0642
   11.5000    1.2372    0.7681    0.9263   -0.7495   -0.7723    0.0347    0.7428    0.0488    0.0642
   12.0000    1.2489    0.7681    0.9263   -0.7495   -0.7710    0.0361    0.7428    0.0488    0.0642
   12.5000    1.2607    0.7681    0.9263   -0.7495   -0.7696    0.0375    0.7428    0.0488    0.0642
   13.0000    1.2724    0.7681    0.9263   -0.7495   -0.7682    0.0389    0.7428    0.0488    0.0642
   13.5000    1.2841    0.7681    0.9263   -0.7495   -0.7668    0.0402    0.7428    0.0488    0.0642
   14.0000    1.2958    0.7681    0.9263   -0.7495   -0.7655    0.0416    0.7428    0.0488    0.0642
   14.5000    1.3076    0.7681    0.9263   -0.7495   -0.7641    0.0430    0.7428    0.0488    0.0642
   15.0000    1.3193    0.7681    0.9263   -0.7495   -0.7627    0.0444    0.7428    0.0488    0.0642
   15.5000    1.3310    0.7681    0.9263   -0.7495   -0.7613    0.0458    0.7428    0.0488    0.0642
   16.0000    1.3427    0.7681    0.9263   -0.7495   -0.7599    0.0471    0.7428    0.0488    0.0642
   16.5000    1.3544    0.7681    0.9263   -0.7495   -0.7586    0.0485    0.7428    0.0488    0.0642
   17.0000    1.3662    0.7681    0.9263   -0.7495   -0.7572    0.0499    0.7428    0.0488    0.0642
   17.5000    1.3779    0.7681    0.9263   -0.7495   -0.7558    0.0513    0.7428    0.0488    0.0642
   18.0000    1.3896    0.7681    0.9263   -0.7495   -0.7544    0.0527    0.7428    0.0488    0.0642
   18.5000    1.4013    0.7681    0.9263   -0.7495   -0.7531    0.0540    0.7428    0.0488    0.0642
