         t         r       w_H       w_L      w_HL      s_LH      s_LL
    0.0000    0.0523    0.0366    0.0262    1.4012    0.1689    0.3360
    0.5000    0.0453    0.0378    0.0269    1.4063    0.1602    0.3256
    1.0000    0.0452    0.0374    0.0267    1.4035    0.1645    0.3179
    1.5000    0.0450    0.0372    0.0264    1.4057    0.1640    0.3153
    2.0000    0.0450    0.0369    0.0262    1.4084    0.1630    0.3135
    2.5000    0.0455    0.0365    0.0259    1.4127    0.1607    0.3140
    3.0000    0.0452    0.0362    0.0257    1.4117    0.1631    0.3082
    3.5000    0.0455    0.0359    0.0254    1.4159    0.1610    0.3086
    4.0000    0.0458    0.0356    0.0250    1.4198    0.1590    0.3085
    4.5000    0.0455    0.0352    0.0248    1.4191    0.1613    0.3028
    5.0000    0.0458    0.0349    0.0245    1.4232    0.1592    0.3029
    5.5000    0.0456    0.0346    0.0243    1.4228    0.1616    0.2974
    6.0000    0.0457    0.0342    0.0240    1.4265    0.1601    0.2964
    6.5000    0.0460    0.0339    0.0237    1.4313    0.1579    0.2965
    7.0000    0.0463    0.0335    0.0233    1.4366    0.1558    0.2969
    7.5000    0.0470    0.0330    0.0229    1.4415    0.1553    0.2966
    8.0000    0.0464    0.0328    0.0227    1.4454    0.1559    0.2921
    8.5000    0.0463    0.0324    0.0224    1.4494    0.1583    0.2871
    9.0000    0.0468    0.0322    0.0221    1.4585    0.1568    0.2888
    9.5000    0.0474    0.0321    0.0218    1.4676    0.1563    0.2907
   10.0000    0.0476    0.0320    0.0217    1.4743    0.1601    0.2876
   10.5000    0.0486    0.0318    0.0214    1.4867    0.1599    0.2903
   11.0000    0.0499    0.0315    0.0210    1.5002    0.1600    0.2936
   11.5000    0.0515    0.0312    0.0206    1.5144    0.1602    0.2974
   12.0000    0.0525    0.0310    0.0203    1.5237    0.1653    0.2950
   12.5000    0.0540    0.0307    0.0200    1.5374    0.1653    0.2985
   13.0000    0.0548    0.0306    0.0197    1.5499    0.1651    0.3009
   13.5000    0.0545    0.0306    0.0197    1.5567    0.1684    0.2967
   14.0000    0.0546    0.0306    0.0195    1.5669    0.1667    0.2987
   14.5000    0.0546    0.0306    0.0194    1.5746    0.1658    0.2996
   15.0000    0.0548    0.0306    0.0193    1.5810    0.1647    0.3012
   15.5000    0.0547    0.0306    0.0193    1.5816    0.1679    0.2976
   16.0000    0.0560    0.0303    0.0191    1.5856    0.1675    0.3013
   16.5000    0.0583    0.0300    0.0189    1.5879    0.1685    0.3057
   17.0000    0.0615    0.0295    0.0185    1.5884    0.1714    0.3100
   17.5000    0.0615    0.0295    0.0185    1.5888    0.1714    0.3100
   18.0000    0.0615    0.0295    0.0185    1.5891    0.1714    0.3100
   18.5000    0.0615    0.0295    0.0185    1.5893    0.1714    0.3099
   19.0000    0.0615    0.0295    0.0185    1.5895    0.1714    0.3099
   19.5000    0.0615    0.0295    0.0185    1.5895    0.1715    0.3099
   20.0000    0.0615    0.0295    0.0185    1.5896    0.1715    0.3099
   20.5000    0.0615    0.0295    0.0185    1.5896    0.1715    0.3099
   21.0000    0.0615    0.0295    0.0185    1.5896    0.1715    0.3099
   21.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   22.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   22.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   23.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   23.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   24.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   24.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   25.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   25.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   26.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   26.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   27.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   27.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   28.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   28.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   29.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   29.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   30.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   30.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   31.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   31.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   32.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   32.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   33.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   33.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   34.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   34.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   35.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   35.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   36.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   36.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   37.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   37.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   38.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   38.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   39.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   39.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   40.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   40.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   41.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   41.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   42.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   42.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   43.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   43.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   44.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   44.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   45.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   45.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   46.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   46.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   47.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   47.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   48.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   48.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   49.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   49.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   50.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   50.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   51.0000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
   51.5000    0.0615    0.0295    0.0185    1.5897    0.1715    0.3099
