         t         g       g_N       g_I      g_hH      g_hL
    0.0000    4.4648    4.2036    4.2036    0.2612    0.2612
    0.5000    3.7739    3.3947    6.3355    0.3792    0.3053
    1.0000    3.8598    3.4927    6.2564    0.3671    0.3138
    1.5000    3.9386    3.5813    6.0888    0.3573    0.3057
    2.0000    4.0311    3.6578    5.8452    0.3733    0.3277
    2.5000    4.1806    3.8162    5.6353    0.3645    0.3330
    3.0000    4.3463    3.9781    5.4168    0.3683    0.3291
    3.5000    4.5172    4.1455    5.2147    0.3717    0.3253
    4.0000    4.6984    4.3355    5.0511    0.3629    0.3298
    4.5000    4.8787    4.5135    4.9421    0.3653    0.3261
    5.0000    5.0294    4.6635    4.8995    0.3659    0.3239
    5.5000    5.1483    4.7936    4.9358    0.3547    0.3248
    6.0000    5.2593    4.9083    5.0122    0.3509    0.3184
    6.5000    5.4603    5.1236    5.1726    0.3367    0.3049
    7.0000    5.5741    5.2726    5.2852    0.3015    0.2982
    7.5000    5.5858    5.3102    5.3126    0.2757    0.2757
    8.0000    5.5859    5.3102    5.3113    0.2757    0.2757
    8.5000    5.5859    5.3102    5.3102    0.2757    0.2757
    9.0000    5.5859    5.3102    5.3102    0.2757    0.2757
    9.5000    5.5859    5.3102    5.3102    0.2757    0.2757
   10.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   10.5000    5.5859    5.3102    5.3102    0.2757    0.2757
   11.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   11.5000    5.5859    5.3102    5.3102    0.2757    0.2757
   12.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   12.5000    5.5859    5.3102    5.3102    0.2757    0.2757
   13.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   13.5000    5.5859    5.3102    5.3102    0.2757    0.2757
   14.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   14.5000    5.5859    5.3102    5.3102    0.2757    0.2757
   15.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   15.5000    5.5859    5.3102    5.3102    0.2757    0.2757
   16.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   16.5000    5.5859    5.3102    5.3102    0.2757    0.2757
   17.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   17.5000    5.5859    5.3102    5.3102    0.2757    0.2757
   18.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   18.5000    5.5859    5.3102    5.3102    0.2757    0.2757
   19.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   19.5000    5.5859    5.3102    5.3102    0.2757    0.2757
   20.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   20.5000    5.5859    5.3102    5.3102    0.2757    0.2757
   21.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   21.5000    5.5859    5.3102    5.3102    0.2757    0.2757
   22.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   22.5000    5.5859    5.3102    5.3102    0.2757    0.2757
   23.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   23.5000    5.5859    5.3102    5.3102    0.2757    0.2757
   24.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   24.5000    5.5859    5.3102    5.3102    0.2757    0.2757
   25.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   25.5000    5.5859    5.3102    5.3102    0.2757    0.2757
   26.0000    5.5859    5.3102    5.3102    0.2757    0.2757
   26.5000    5.5859    5.3102    5.3102    0.2757    0.2757
