         t         g       g_N       g_I      g_hH      g_hL
    0.0000    4.4648    4.2036    4.2036    0.2612    0.2612
    0.5000    3.7450    3.3629    5.4890    0.3821    0.3151
    1.0000    3.7282    3.3629    5.4068    0.3653    0.3058
    1.5000    3.7308    3.3629    5.3525    0.3679    0.3250
    2.0000    3.7343    3.3628    5.2396    0.3715    0.3291
    2.5000    3.7377    3.3629    5.1887    0.3749    0.3248
    3.0000    3.7295    3.3629    5.1281    0.3666    0.3303
    3.5000    3.7332    3.3628    5.0708    0.3703    0.3277
    4.0000    3.7368    3.3629    5.0325    0.3739    0.3243
    4.5000    3.7282    3.3629    4.9735    0.3654    0.3291
    5.0000    3.7317    3.3629    4.9302    0.3689    0.3263
    5.5000    3.7215    3.3629    4.9038    0.3586    0.3301
    6.0000    3.7249    3.3629    4.8349    0.3620    0.3303
    6.5000    3.7295    3.3629    4.7880    0.3665    0.3270
    7.0000    3.7333    3.3631    4.7415    0.3702    0.3232
    7.5000    3.7258    3.3633    4.7198    0.3625    0.3156
    8.0000    3.7303    3.3639    4.6784    0.3664    0.3249
    8.5000    3.7237    3.3655    4.6495    0.3583    0.3291
    9.0000    3.7329    3.3699    4.6501    0.3630    0.3267
    9.5000    3.7507    3.3847    4.6638    0.3661    0.3239
   10.0000    3.7831    3.4249    4.6705    0.3582    0.3297
   10.5000    3.8973    3.5350    4.6591    0.3623    0.3282
   11.0000    4.1078    3.7418    4.6400    0.3660    0.3258
   11.5000    4.3372    3.9677    4.6161    0.3695    0.3222
   12.0000    4.5224    4.1606    4.5908    0.3617    0.3294
   12.5000    4.6619    4.2965    4.5758    0.3654    0.3266
   13.0000    4.7236    4.3547    4.5684    0.3689    0.3248
   13.5000    4.7375    4.3765    4.5847    0.3610    0.3291
   14.0000    4.7801    4.4156    4.6096    0.3645    0.3252
   14.5000    4.8317    4.4646    4.6334    0.3672    0.3231
   15.0000    4.9098    4.5413    4.6862    0.3686    0.3198
   15.5000    5.0028    4.6451    4.7637    0.3577    0.3237
   16.0000    5.2163    4.8707    4.9411    0.3456    0.3128
   16.5000    5.4535    5.1347    5.1495    0.3188    0.2968
   17.0000    5.4864    5.2121    5.2138    0.2743    0.2743
   17.5000    5.4864    5.2121    5.2131    0.2743    0.2743
   18.0000    5.4864    5.2122    5.2122    0.2743    0.2743
   18.5000    5.4864    5.2122    5.2122    0.2743    0.2743
   19.0000    5.4864    5.2122    5.2122    0.2743    0.2743
   19.5000    5.4864    5.2122    5.2122    0.2743    0.2743
   20.0000    5.4864    5.2122    5.2122    0.2743    0.2743
   20.5000    5.4864    5.2122    5.2122    0.2743    0.2743
   21.0000    5.4864    5.2122    5.2122    0.2743    0.2743
   21.5000    5.4864    5.2122    5.2122    0.2743    0.2743
   22.0000    5.4864    5.2122    5.2122    0.2743    0.2743
   22.5000    5.4864    5.2122    5.2122    0.2743    0.2743
   23.0000    5.4864    5.2122    5.2122    0.2743    0.2743
   23.5000    5.4864    5.2122    5.2122    0.2743    0.2743
   24.0000    5.4864    5.2122    5.2122    0.2743    0.2743
   24.5000    5.4864    5.2122    5.2122    0.2743    0.2743
   25.0000    5.4864    5.2122    5.2122    0.2743    0.2743
   25.5000    5.4864    5.2122    5.2122    0.2743    0.2743
   26.0000    5.4864    5.2122    5.2122    0.2743    0.2743
   26.5000    5.4864    5.2122    5.2122    0.2743    0.2743
   27.0000    5.4864    5.2122    5.2122    0.2743    0.2743
   27.5000    5.4864    5.2122    5.2122    0.2743    0.2743
   28.0000    5.4864    5.2122    5.2122    0.2743    0.2743
   28.5000    5.4864    5.2122    5.2122    0.2743    0.2743
   29.0000    5.4864    5.2122    5.2122    0.2743    0.2743
   29.5000    5.4864    5.2122    5.2122    0.2743    0.2743
   30.0000    5.4864    5.2122    5.2122    0.2743    0.2743
   30.5000    5.4864    5.2122    5.2122    0.2743    0.2743
   31.0000    5.4864    5.2122    5.2122    0.2743    0.2743
