         t         g       g_N       g_I      g_hH      g_hL
    0.0000    4.4648    4.2036    4.2036    0.2612    0.2612
    0.5000    4.4983    4.2371    6.6608    0.2612    0.2612
    1.0000    4.5192    4.2580    6.4983    0.2612    0.2612
    1.5000    4.5372    4.2759    6.3414    0.2612    0.2612
    2.0000    4.5527    4.2914    6.1938    0.2612    0.2612
    2.5000    4.5661    4.3048    6.0421    0.2612    0.2612
    3.0000    4.5813    4.3201    6.0321    0.2612    0.2612
    3.5000    4.5957    4.3345    6.0039    0.2612    0.2612
    4.0000    4.6095    4.3482    5.9687    0.2612    0.2612
    4.5000    4.6226    4.3614    5.9196    0.2612    0.2612
    5.0000    4.6355    4.3742    5.8539    0.2612    0.2612
    5.5000    4.6490    4.3878    5.7914    0.2612    0.2612
    6.0000    4.6639    4.4027    5.7198    0.2612    0.2612
    6.5000    4.6827    4.4215    5.6729    0.2612    0.2612
    7.0000    4.7106    4.4494    5.7135    0.2612    0.2612
    7.5000    4.7494    4.4881    5.6508    0.2612    0.2612
    8.0000    4.8135    4.5523    5.6136    0.2612    0.2612
    8.5000    4.9168    4.6556    5.6282    0.2612    0.2612
    9.0000    5.0568    4.7955    5.6754    0.2612    0.2612
    9.5000    5.2101    4.9489    5.7313    0.2612    0.2612
   10.0000    5.3576    5.0964    5.7722    0.2612    0.2612
   10.5000    5.4862    5.2250    5.7839    0.2612    0.2612
   11.0000    5.5891    5.3279    5.7615    0.2612    0.2612
   11.5000    5.6652    5.4039    5.7147    0.2612    0.2612
   12.0000    5.7174    5.4562    5.6652    0.2612    0.2612
   12.5000    5.7504    5.4892    5.6190    0.2612    0.2612
   13.0000    5.7691    5.5079    5.5879    0.2612    0.2612
   13.5000    5.7782    5.5169    5.5547    0.2612    0.2612
   14.0000    5.7812    5.5200    5.5318    0.2612    0.2612
   14.5000    5.7815    5.5202    5.5191    0.2612    0.2612
   15.0000    5.7814    5.5202    5.5181    0.2612    0.2612
   15.5000    5.7814    5.5202    5.5192    0.2612    0.2612
   16.0000    5.7814    5.5202    5.5192    0.2612    0.2612
   16.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   17.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   17.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   18.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   18.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   19.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   19.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   20.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   20.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   21.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   21.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   22.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   22.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   23.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   23.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   24.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   24.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   25.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   25.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   26.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   26.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   27.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   27.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   28.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   28.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   29.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   29.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   30.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   30.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   31.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   31.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   32.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   32.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   33.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   33.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   34.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   34.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   35.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   35.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   36.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   36.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   37.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   37.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   38.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   38.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   39.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   39.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   40.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   40.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   41.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   41.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   42.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   42.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   43.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   43.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   44.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   44.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   45.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   45.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   46.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   46.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   47.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   47.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   48.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   48.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   49.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   49.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   50.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   50.5000    5.7815    5.5202    5.5202    0.2612    0.2612
   51.0000    5.7815    5.5202    5.5202    0.2612    0.2612
   51.5000    5.7815    5.5202    5.5202    0.2612    0.2612
