         t       p_N       p_I     eps_N     eps_I
    0.0000    0.1526    2.2220    0.0019    0.0280
    0.5000   -9.9520   14.5598    0.0019    0.0486
    1.0000   -7.8293   12.4206    0.0019    0.0519
    1.5000   -6.4685   11.0232    0.0019    0.0517
    2.0000   -5.4741    9.9778    0.0019    0.0519
    2.5000   -4.3422    8.8035    0.0019    0.0519
    3.0000   -5.0520    7.7166    0.0019    0.0519
    3.5000   -4.5194    7.0367    0.0019    0.0519
    4.0000   -4.2217    6.6503    0.0019    0.0519
    4.5000   -3.6762    6.0206    0.0019    0.0519
    5.0000   -3.1990    5.4633    0.0019    0.0518
    5.5000   -3.2550    5.4127    0.0019    0.0519
    6.0000   -3.1750    5.2671    0.0019    0.0519
    6.5000   -3.0965    5.2453    0.0019    0.0518
    7.0000   -3.1223    5.3219    0.0019    0.0517
    7.5000   -3.2705    5.5657    0.0019    0.0518
    8.0000   -3.0146    5.4247    0.0019    0.0518
    8.5000   -3.0734    5.4882    0.0019    0.0518
    9.0000   -3.0912    5.5102    0.0019    0.0519
    9.5000   -3.2285    5.6626    0.0019    0.0519
   10.0000   -3.3256    5.7389    0.0019    0.0513
   10.5000   -3.3751    5.7871    0.0019    0.0519
   11.0000   -3.4096    5.8267    0.0019    0.0519
   11.5000   -3.4677    5.8877    0.0019    0.0519
   12.0000   -3.2532    5.6996    0.0019    0.0519
   12.5000   -3.5294    5.9714    0.0019    0.0519
   13.0000   -3.7984    6.2144    0.0019    0.0517
   13.5000   -3.7126    6.1492    0.0019    0.0518
   14.0000   -3.9302    6.3414    0.0019    0.0519
   14.5000   -4.0809    6.4923    0.0019    0.0518
   15.0000   -4.2303    6.6500    0.0019    0.0518
   15.5000   -4.3914    6.8019    0.0019    0.0519
   16.0000   -4.4647    6.8924    0.0019    0.0518
   16.5000   -4.9441    7.3616    0.0019    0.0518
   17.0000   -5.3141    7.7184    0.0019    0.0519
   17.5000   -5.5476    7.9545    0.0019    0.0519
   18.0000   -6.5812    8.9437    0.0019    0.0517
   18.5000   -6.7822    9.1730    0.0019    0.0519
   19.0000   -7.6998   10.0838    0.0019    0.0519
   19.5000   -8.5698   10.9340    0.0019    0.0517
   20.0000   -9.3058   11.7133    0.0019    0.0518
   20.5000   -8.7720   11.2524    0.0019    0.0517
   21.0000   -8.7925   11.3295    0.0019    0.0518
   21.5000   -6.3120    9.0506    0.0019    0.0518
   22.0000   -0.5318    3.7398    0.0019    0.0518
   22.5000   -0.5411    3.6631    0.0020    0.0516
   23.0000    0.0128    3.0345    0.0020    0.0512
   23.5000   -0.0170    2.9658    0.0021    0.0494
   24.0000    0.0300    2.5778    0.0022    0.0464
   24.5000    0.0653    2.4614    0.0023    0.0398
   25.0000    0.1105    2.2385    0.0024    0.0359
   25.5000    0.1698    2.1133    0.0025    0.0315
   26.0000    0.2391    1.9645    0.0025    0.0293
   26.5000    0.2384    1.9105    0.0025    0.0279
   27.0000    0.1805    1.9624    0.0025    0.0270
   27.5000    0.1563    1.9829    0.0025    0.0265
   28.0000    0.1135    2.0367    0.0025    0.0264
   28.5000    0.1033    2.0391    0.0026    0.0270
   29.0000    0.1155    1.9980    0.0026    0.0265
   29.5000    0.1168    1.9626    0.0026    0.0256
   30.0000    0.2996    1.8074    0.0026    0.0246
   30.5000    0.2975    1.8093    0.0030    0.0265
   31.0000    0.2927    1.8115    0.0030    0.0265
   31.5000    0.2895    1.8131    0.0030    0.0265
   32.0000    0.2015    1.8108    0.0030    0.0266
   32.5000    0.2013    1.8114    0.0030    0.0265
   33.0000    0.2020    1.8110    0.0030    0.0265
   33.5000    0.2017    1.8114    0.0030    0.0265
   34.0000    0.2014    1.8113    0.0030    0.0265
   34.5000    0.2017    1.8110    0.0030    0.0265
   35.0000    0.2016    1.8112    0.0030    0.0265
   35.5000    0.2017    1.8111    0.0030    0.0265
   36.0000    0.2015    1.8112    0.0030    0.0265
   36.5000    0.2015    1.8112    0.0030    0.0265
   37.0000    0.2015    1.8112    0.0030    0.0265
   37.5000    0.2016    1.8111    0.0030    0.0265
   38.0000    0.2016    1.8111    0.0030    0.0265
   38.5000    0.2016    1.8111    0.0030    0.0265
   39.0000    0.2016    1.8111    0.0030    0.0265
   39.5000    0.2016    1.8111    0.0030    0.0265
   40.0000    0.2016    1.8111    0.0030    0.0265
   40.5000    0.2016    1.8111    0.0030    0.0265
   41.0000    0.2016    1.8111    0.0030    0.0265
   41.5000    0.2016    1.8111    0.0030    0.0265
   42.0000    0.2016    1.8111    0.0030    0.0265
   42.5000    0.2016    1.8111    0.0030    0.0265
   43.0000    0.2016    1.8111    0.0030    0.0265
   43.5000    0.2016    1.8111    0.0030    0.0265
   44.0000    0.2016    1.8111    0.0030    0.0265
   44.5000    0.2016    1.8111    0.0030    0.0265
   45.0000    0.2016    1.8111    0.0030    0.0265
   45.5000    0.2016    1.8111    0.0030    0.0265
   46.0000    0.2016    1.8111    0.0030    0.0265
   46.5000    0.2016    1.8111    0.0030    0.0265
   47.0000    0.2016    1.8111    0.0030    0.0265
   47.5000    0.2016    1.8111    0.0030    0.0265
   48.0000    0.2016    1.8111    0.0030    0.0265
   48.5000    0.2016    1.8111    0.0030    0.0265
   49.0000    0.2016    1.8111    0.0030    0.0265
   49.5000    0.2016    1.8111    0.0030    0.0265
   50.0000    0.2016    1.8111    0.0030    0.0265
   50.5000    0.2016    1.8111    0.0030    0.0265
   51.0000    0.2016    1.8111    0.0030    0.0265
   51.5000    0.2016    1.8111    0.0030    0.0265
   52.0000    0.2016    1.8111    0.0030    0.0265
   52.5000    0.2016    1.8111    0.0030    0.0265
   53.0000    0.2016    1.8111    0.0030    0.0265
   53.5000    0.2016    1.8111    0.0030    0.0265
   54.0000    0.2016    1.8111    0.0030    0.0265
   54.5000    0.2016    1.8111    0.0030    0.0265
   55.0000    0.2016    1.8111    0.0030    0.0265
   55.5000    0.2016    1.8111    0.0030    0.0265
   56.0000    0.2016    1.8111    0.0030    0.0265
   56.5000    0.2016    1.8111    0.0030    0.0265
   57.0000    0.2016    1.8111    0.0030    0.0265
   57.5000    0.2016    1.8111    0.0030    0.0265
   58.0000    0.2016    1.8111    0.0030    0.0265
   58.5000    0.2016    1.8111    0.0030    0.0265
   59.0000    0.2016    1.8111    0.0030    0.0265
   59.5000    0.2016    1.8111    0.0030    0.0265
   60.0000    0.2016    1.8111    0.0030    0.0265
   60.5000    0.2016    1.8111    0.0030    0.0265
   61.0000    0.2016    1.8111    0.0030    0.0265
   61.5000    0.2016    1.8111    0.0030    0.0265
   62.0000    0.2016    1.8111    0.0030    0.0265
   62.5000    0.2016    1.8111    0.0030    0.0265
   63.0000    0.2016    1.8111    0.0030    0.0265
   63.5000    0.2016    1.8111    0.0030    0.0265
   64.0000    0.2016    1.8111    0.0030    0.0265
   64.5000    0.2016    1.8111    0.0030    0.0265
   65.0000    0.2016    1.8111    0.0030    0.0265
   65.5000    0.2016    1.8111    0.0030    0.0265
   66.0000    0.2016    1.8111    0.0030    0.0265
