         t       p_N       p_I     eps_N     eps_I
    0.0000    0.1526    2.2220    0.0019    0.0280
    0.5000    0.1536    2.1619    0.0019    0.0455
    1.0000    0.1529    2.1008    0.0020    0.0433
    1.5000    0.1534    2.0416    0.0020    0.0412
    2.0000    0.1533    1.9860    0.0020    0.0393
    2.5000    0.1531    1.9334    0.0020    0.0375
    3.0000    0.1528    1.9233    0.0020    0.0357
    3.5000    0.1529    1.9106    0.0020    0.0355
    4.0000    0.1536    1.8949    0.0020    0.0352
    4.5000    0.1530    1.8768    0.0021    0.0348
    5.0000    0.1530    1.8537    0.0021    0.0342
    5.5000    0.1531    1.8318    0.0021    0.0335
    6.0000    0.1523    1.8066    0.0021    0.0328
    6.5000    0.1522    1.7755    0.0021    0.0319
    7.0000    0.1522    1.7909    0.0021    0.0314
    7.5000    0.1520    1.7561    0.0022    0.0319
    8.0000    0.1518    1.7296    0.0022    0.0312
    8.5000    0.1529    1.7190    0.0023    0.0308
    9.0000    0.1571    1.7336    0.0024    0.0309
    9.5000    0.1626    1.7587    0.0025    0.0315
   10.0000    0.1690    1.7889    0.0027    0.0321
   10.5000    0.1759    1.8130    0.0028    0.0325
   11.0000    0.1808    1.8264    0.0030    0.0327
   11.5000    0.1865    1.8181    0.0031    0.0324
   12.0000    0.1892    1.8085    0.0032    0.0319
   12.5000    0.1915    1.7964    0.0032    0.0313
   13.0000    0.1931    1.7819    0.0033    0.0308
   13.5000    0.1938    1.7690    0.0033    0.0305
   14.0000    0.1945    1.7581    0.0033    0.0301
   14.5000    0.2028    1.7435    0.0033    0.0299
   15.0000    0.1984    1.7432    0.0033    0.0297
   15.5000    0.1951    1.7439    0.0033    0.0297
   16.0000    0.1943    1.7438    0.0033    0.0297
   16.5000    0.1940    1.7443    0.0033    0.0297
   17.0000    0.1941    1.7444    0.0033    0.0298
   17.5000    0.1941    1.7444    0.0033    0.0298
   18.0000    0.1942    1.7444    0.0033    0.0298
   18.5000    0.1942    1.7444    0.0033    0.0298
   19.0000    0.1942    1.7444    0.0033    0.0298
   19.5000    0.1942    1.7444    0.0033    0.0298
   20.0000    0.1942    1.7444    0.0033    0.0298
   20.5000    0.1942    1.7444    0.0033    0.0298
   21.0000    0.1942    1.7444    0.0033    0.0298
   21.5000    0.1942    1.7444    0.0033    0.0298
   22.0000    0.1942    1.7444    0.0033    0.0298
   22.5000    0.1942    1.7444    0.0033    0.0298
   23.0000    0.1942    1.7444    0.0033    0.0298
