    number     Model      flag         y         k       L_H       L_L       c_H       c_L       V_H       V_L      V_HL
         9         3         1    0.1322    0.1138    0.1888    0.6751    0.0741    0.1272 1268.5114 1413.0875    0.8977
         9         3         1    0.1330    0.1131    0.1885    0.6753    0.0743    0.1284 1313.5622 1465.4551    0.8964
         9         3         1    0.1338    0.1124    0.1882    0.6754    0.0744    0.1296 1361.9166 1521.6531    0.8950
         9         3         1    0.1346    0.1117    0.1878    0.6756    0.0745    0.1308 1413.9540 1582.1223    0.8937
         9         3         1    0.1354    0.1110    0.1875    0.6758    0.0747    0.1319 1470.1117 1647.3697    0.8924
         9         3         1    0.1362    0.1103    0.1872    0.6760    0.0748    0.1332 1530.8993 1717.9862    0.8911
         9         3         1    0.1370    0.1096    0.1869    0.6761    0.0749    0.1344 1596.9168 1794.6684    0.8898
         9         3         1    0.1378    0.1089    0.1866    0.6763    0.0751    0.1356 1668.8678 1878.2317    0.8885
         9         3         1    0.1386    0.1082    0.1862    0.6765    0.0752    0.1368 1747.5918 1969.6497    0.8873
         9         3         1    0.1394    0.1075    0.1859    0.6766    0.0753    0.1380 1834.0919 2070.0863    0.8860
         9         3         1    0.1402    0.1068    0.1856    0.6768    0.0755    0.1392 1929.5818 2180.9489    0.8847
         9         3         1    0.1410    0.1061    0.1852    0.6769    0.0756    0.1404 2035.5367 2303.9479    0.8835
         9         3         1    0.1418    0.1054    0.1849    0.6771    0.0757    0.1416 2153.7925 2441.2146    0.8823
         9         3         1    0.1426    0.1048    0.1845    0.6772    0.0758    0.1428 2286.6070 2595.3659    0.8810
         9         3         1    0.1434    0.1041    0.1842    0.6774    0.0759    0.1441 2436.8551 2769.7374    0.8798
         9         3         1    0.1442    0.1034    0.1838    0.6775    0.0761    0.1453 2608.2040 2968.5807    0.8786
         9         3         1    0.1450    0.1027    0.1835    0.6777    0.0762    0.1465 2805.4405 3197.4492    0.8774
        10         3         1    0.0257    0.0412    0.1208    0.6309    0.0368    0.0122  265.5584  212.9914    1.2468
        10         3         1    0.0256    0.0408    0.1208    0.6309    0.0368    0.0122  265.4636  212.8947    1.2469
        10         3         1    0.0271    0.0579    0.1153    0.6290    0.0354    0.0113  264.4112  210.4570    1.2564
        10         3         1    0.0269    0.0571    0.1153    0.6290    0.0353    0.0113  264.5409  210.5678    1.2563
        10         3         1    0.0268    0.0563    0.1152    0.6290    0.0353    0.0113  264.6895  210.6902    1.2563
        10         3         1    0.0454    0.1431    0.1609    0.5946    0.0389    0.0181  267.7967  229.8049    1.1653
        10         3         1    0.0461    0.1434    0.1628    0.5973    0.0396    0.0187  270.7109  232.9423    1.1621
        10         3         1    0.0468    0.1437    0.1646    0.6000    0.0402    0.0192  273.6417  236.1134    1.1589
        10         3         1    0.0474    0.1439    0.1663    0.6025    0.0408    0.0198  276.5907  239.3192    1.1557
        10         3         1    0.0481    0.1441    0.1680    0.6049    0.0414    0.0204  279.5595  242.5606    1.1525
        10         3         1    0.0487    0.1442    0.1696    0.6072    0.0420    0.0209  282.5499  245.8390    1.1493
        10         3         1    0.0494    0.1443    0.1711    0.6095    0.0426    0.0215  285.5636  249.1552    1.1461
        10         3         1    0.0500    0.1444    0.1726    0.6116    0.0431    0.0221  288.6022  252.5107    1.1429
        10         3         1    0.0507    0.1444    0.1740    0.6136    0.0437    0.0227  291.6676  255.9066    1.1397
        10         3         1    0.0513    0.1444    0.1754    0.6156    0.0442    0.0233  294.7614  259.3441    1.1366
        10         3         1    0.0520    0.1444    0.1768    0.6175    0.0447    0.0239  297.8855  262.8246    1.1334
