    number     Model      flag        RD         g       g_N       g_I      g_hH      g_hL       p_N       p_I     eps_N     eps_I
         1         3         1    0.0310    0.0438    0.0409    0.0409    0.0029    0.0029    0.8384    0.5540    0.0271    0.0179
         1         3         1    0.0311    0.0442    0.0413    0.0413    0.0028    0.0028    0.8342    0.5512    0.0274    0.0181
         1         3         1    0.0313    0.0445    0.0417    0.0417    0.0028    0.0028    0.8300    0.5485    0.0277    0.0183
         1         3         1    0.0314    0.0449    0.0421    0.0421    0.0028    0.0028    0.8259    0.5458    0.0280    0.0185
         1         3         1    0.0315    0.0453    0.0424    0.0424    0.0028    0.0028    0.8219    0.5431    0.0282    0.0187
         1         3         1    0.0316    0.0456    0.0428    0.0428    0.0028    0.0028    0.8178    0.5404    0.0285    0.0188
         1         3         1    0.0318    0.0460    0.0432    0.0432    0.0028    0.0028    0.8139    0.5378    0.0288    0.0190
         1         3         1    0.0319    0.0464    0.0436    0.0436    0.0028    0.0028    0.8099    0.5352    0.0291    0.0192
         1         3         1    0.0320    0.0468    0.0440    0.0440    0.0028    0.0028    0.8060    0.5326    0.0294    0.0194
         1         3         1    0.0321    0.0471    0.0443    0.0443    0.0028    0.0028    0.8022    0.5301    0.0296    0.0196
         1         3         1    0.0323    0.0475    0.0447    0.0447    0.0028    0.0028    0.7983    0.5276    0.0299    0.0198
         1         3         1    0.0324    0.0479    0.0451    0.0451    0.0028    0.0028    0.7946    0.5251    0.0302    0.0200
         1         3         1    0.0325    0.0483    0.0455    0.0455    0.0028    0.0028    0.7908    0.5226    0.0305    0.0201
         1         3         1    0.0326    0.0486    0.0459    0.0459    0.0028    0.0028    0.7871    0.5201    0.0308    0.0203
         1         3         1    0.0327    0.0490    0.0463    0.0463    0.0027    0.0027    0.7834    0.5177    0.0311    0.0205
         1         3         1    0.0328    0.0494    0.0466    0.0466    0.0027    0.0027    0.7798    0.5153    0.0313    0.0207
         1         3         1    0.0330    0.0498    0.0470    0.0470    0.0027    0.0027    0.7762    0.5129    0.0316    0.0209
         1         3         1    0.0331    0.0501    0.0474    0.0474    0.0027    0.0027    0.7726    0.5106    0.0319    0.0211
         1         3         1    0.0332    0.0505    0.0478    0.0478    0.0027    0.0027    0.7691    0.5082    0.0322    0.0213
         1         3         1    0.0333    0.0509    0.0482    0.0482    0.0027    0.0027    0.7656    0.5059    0.0325    0.0215
         1         3         1    0.0334    0.0513    0.0486    0.0486    0.0027    0.0027    0.7621    0.5036    0.0328    0.0217
         1         3         1    0.0335    0.0516    0.0489    0.0489    0.0027    0.0027    0.7587    0.5014    0.0331    0.0218
         1         3         1    0.0336    0.0520    0.0493    0.0493    0.0027    0.0027    0.7553    0.4991    0.0334    0.0220
         1         3         1    0.0338    0.0524    0.0497    0.0497    0.0027    0.0027    0.7519    0.4969    0.0336    0.0222
         1         3         1    0.0339    0.0528    0.0501    0.0501    0.0027    0.0027    0.7486    0.4947    0.0339    0.0224
         1         3         1    0.0340    0.0532    0.0505    0.0505    0.0027    0.0027    0.7453    0.4925    0.0342    0.0226
         1         3         1    0.0341    0.0535    0.0509    0.0509    0.0027    0.0027    0.7420    0.4903    0.0345    0.0228
         1         3         1    0.0342    0.0539    0.0512    0.0512    0.0027    0.0027    0.7388    0.4882    0.0348    0.0230
         1         3         1    0.0343    0.0543    0.0516    0.0516    0.0027    0.0027    0.7356    0.4861    0.0351    0.0232
         1         3         1    0.0344    0.0547    0.0520    0.0520    0.0027    0.0027    0.7324    0.4840    0.0354    0.0234
         1         3         1    0.0345    0.0550    0.0524    0.0524    0.0026    0.0026    0.7292    0.4819    0.0357    0.0236
         1         3         1    0.0346    0.0554    0.0528    0.0528    0.0026    0.0026    0.7261    0.4798    0.0360    0.0238
         1         3         1    0.0347    0.0558    0.0532    0.0532    0.0026    0.0026    0.7230    0.4778    0.0363    0.0240
         1         3         1    0.0348    0.0562    0.0536    0.0536    0.0026    0.0026    0.7199    0.4757    0.0366    0.0242
         1         3         1    0.0349    0.0566    0.0539    0.0539    0.0026    0.0026    0.7169    0.4737    0.0368    0.0244
         1         3         1    0.0350    0.0570    0.0543    0.0543    0.0026    0.0026    0.7138    0.4717    0.0371    0.0245
         1         3         1    0.0351    0.0573    0.0547    0.0547    0.0026    0.0026    0.7108    0.4697    0.0374    0.0247
         1         3         1    0.0352    0.0577    0.0551    0.0551    0.0026    0.0026    0.7079    0.4678    0.0377    0.0249
         1         3         1    0.0353    0.0581    0.0555    0.0555    0.0026    0.0026    0.7049    0.4658    0.0380    0.0251
         1         3         1    0.0354    0.0585    0.0559    0.0559    0.0026    0.0026    0.7020    0.4639    0.0383    0.0253
         1         3         1    0.0355    0.0589    0.0563    0.0563    0.0026    0.0026    0.6991    0.4620    0.0386    0.0255
         1         3         1    0.0356    0.0593    0.0567    0.0567    0.0026    0.0026    0.6963    0.4601    0.0389    0.0257
         1         3         1    0.0357    0.0596    0.0571    0.0571    0.0026    0.0026    0.6934    0.4582    0.0392    0.0259
         1         3         1    0.0358    0.0600    0.0574    0.0574    0.0026    0.0026    0.6906    0.4564    0.0395    0.0261
