    number     Model      flag        RD         g       g_N       g_I      g_hH      g_hL       p_N       p_I     eps_N     eps_I
         3         3         1    0.0394    0.0675    0.0649    0.0649    0.0025    0.0025    0.5902    0.3900    0.0522    0.0345
         3         3         1    0.0394    0.0678    0.0653    0.0653    0.0025    0.0025    0.5878    0.3885    0.0526    0.0347
         3         3         1    0.0395    0.0682    0.0657    0.0657    0.0025    0.0025    0.5855    0.3869    0.0529    0.0350
         3         3         1    0.0396    0.0686    0.0661    0.0661    0.0025    0.0025    0.5832    0.3854    0.0533    0.0352
         3         3         1    0.0397    0.0690    0.0665    0.0665    0.0025    0.0025    0.5810    0.3839    0.0537    0.0355
         3         3         1    0.0398    0.0694    0.0669    0.0669    0.0025    0.0025    0.5787    0.3824    0.0540    0.0357
         4         3         1    0.0640    0.0274    0.0240    0.0240    0.0034    0.0034   -9.6257   12.3681    0.0150    0.0071
         4         3         1    0.0589    0.0275    0.0241    0.0241    0.0034    0.0034   -7.3605    9.7068    0.0151    0.0071
         4         3         1    0.0622    0.0275    0.0241    0.0241    0.0034    0.0034   -5.7817    8.1942    0.0151    0.0071
         4         3         1    0.0225    0.0260    0.0223    0.0223    0.0037    0.0037    1.2591    0.5942    0.0138    0.0065
         4         3         1    0.0227    0.0264    0.0227    0.0227    0.0037    0.0037    1.2486    0.5893    0.0141    0.0066
         4         3         1    0.0229    0.0268    0.0231    0.0231    0.0037    0.0037    1.2384    0.5845    0.0143    0.0068
         4         3         1    0.0231    0.0271    0.0235    0.0235    0.0037    0.0037    1.2285    0.5798    0.0146    0.0069
         4         3         1    0.0233    0.0275    0.0239    0.0239    0.0036    0.0036    1.2188    0.5752    0.0149    0.0070
         4         3         1    0.0235    0.0279    0.0242    0.0242    0.0036    0.0036    1.2093    0.5707    0.0151    0.0071
         4         3         1    0.0237    0.0282    0.0246    0.0246    0.0036    0.0036    1.2001    0.5664    0.0154    0.0073
         4         3         1    0.0238    0.0286    0.0250    0.0250    0.0036    0.0036    1.1911    0.5621    0.0157    0.0074
         4         3         1    0.0240    0.0289    0.0254    0.0254    0.0036    0.0036    1.1823    0.5580    0.0159    0.0075
         4         3         1    0.0242    0.0293    0.0258    0.0258    0.0035    0.0035    1.1736    0.5539    0.0162    0.0077
         4         3         1    0.0244    0.0297    0.0261    0.0261    0.0035    0.0035    1.1652    0.5499    0.0165    0.0078
         4         3         1    0.0246    0.0300    0.0265    0.0265    0.0035    0.0035    1.1569    0.5460    0.0167    0.0079
         4         3         1    0.0247    0.0304    0.0269    0.0269    0.0035    0.0035    1.1488    0.5422    0.0170    0.0080
         4         3         1    0.0249    0.0307    0.0273    0.0273    0.0035    0.0035    1.1408    0.5384    0.0173    0.0082
         4         3         1    0.0251    0.0311    0.0277    0.0277    0.0034    0.0034    1.1330    0.5347    0.0176    0.0083
         4         3         1    0.0253    0.0315    0.0281    0.0281    0.0034    0.0034    1.1253    0.5311    0.0178    0.0084
         4         3         1    0.0651    0.0285    0.0250    0.0250    0.0034    0.0034    1.0989    0.7505    0.0157    0.0074
         4         3         1    0.0256    0.0322    0.0288    0.0288    0.0034    0.0034    1.1104    0.5240    0.0184    0.0087
         4         3         1    0.0258    0.0326    0.0292    0.0292    0.0034    0.0034    1.1031    0.5206    0.0186    0.0088
         4         3         1    0.0259    0.0329    0.0296    0.0296    0.0033    0.0033    1.0960    0.5172    0.0189    0.0089
         4         3         1    0.0261    0.0333    0.0300    0.0300    0.0033    0.0033    1.0889    0.5139    0.0192    0.0090
         4         3         1    0.0263    0.0337    0.0303    0.0303    0.0033    0.0033    1.0820    0.5107    0.0194    0.0092
         4         3         1    0.0264    0.0340    0.0307    0.0307    0.0033    0.0033    1.0752    0.5074    0.0197    0.0093
         4         3         1    0.0266    0.0344    0.0311    0.0311    0.0033    0.0033    1.0685    0.5043    0.0200    0.0094
         4         3         1    0.0268    0.0348    0.0315    0.0315    0.0033    0.0033    1.0619    0.5012    0.0203    0.0096
         4         3         1    0.0269    0.0351    0.0319    0.0319    0.0033    0.0033    1.0554    0.4981    0.0205    0.0097
         4         3         1    0.0271    0.0355    0.0322    0.0322    0.0032    0.0032    1.0490    0.4951    0.0208    0.0098
         4         3         1    0.0272    0.0359    0.0326    0.0326    0.0032    0.0032    1.0426    0.4921    0.0211    0.0099
         4         3         1    0.0274    0.0362    0.0330    0.0330    0.0032    0.0032    1.0364    0.4891    0.0213    0.0101
         4         3         1    0.0275    0.0366    0.0334    0.0334    0.0032    0.0032    1.0303    0.4862    0.0216    0.0102
         4         3         1    0.0277    0.0370    0.0338    0.0338    0.0032    0.0032    1.0242    0.4834    0.0219    0.0103
         4         3         1    0.0278    0.0373    0.0342    0.0342    0.0032    0.0032    1.0182    0.4805    0.0222    0.0105
         4         3         1    0.0280    0.0377    0.0345    0.0345    0.0032    0.0032    1.0123    0.4778    0.0224    0.0106
         4         3         1    0.0281    0.0381    0.0349    0.0349    0.0031    0.0031    1.0065    0.4750    0.0227    0.0107
         4         3         1    0.0283    0.0384    0.0353    0.0353    0.0031    0.0031    1.0007    0.4723    0.0230    0.0109
         4         3         1    0.0284    0.0388    0.0357    0.0357    0.0031    0.0031    0.9951    0.4696    0.0233    0.0110
         4         3         1    0.0286    0.0392    0.0361    0.0361    0.0031    0.0031    0.9895    0.4670    0.0236    0.0111
         4         3         1    0.0287    0.0395    0.0364    0.0364    0.0031    0.0031    0.9839    0.4644    0.0238    0.0112
         4         3         1    0.0288    0.0399    0.0368    0.0368    0.0031    0.0031    0.9785    0.4618    0.0241    0.0114
         4         3         1    0.0290    0.0403    0.0372    0.0372    0.0031    0.0031    0.9731    0.4592    0.0244    0.0115
         4         3         1    0.0291    0.0407    0.0376    0.0376    0.0031    0.0031    0.9677    0.4567    0.0247    0.0116
         4         3         1    0.0293    0.0410    0.0380    0.0380    0.0031    0.0031    0.9625    0.4542    0.0249    0.0118
         4         3         1    0.0294    0.0414    0.0384    0.0384    0.0030    0.0030    0.9572    0.4518    0.0252    0.0119
         4         3         1    0.0295    0.0418    0.0387    0.0387    0.0030    0.0030    0.9521    0.4493    0.0255    0.0120
         4         3         1    0.0297    0.0422    0.0391    0.0391    0.0030    0.0030    0.9470    0.4469    0.0258    0.0122
         4         3         1    0.0298    0.0425    0.0395    0.0395    0.0030    0.0030    0.9420    0.4446    0.0261    0.0123
         4         3         1    0.0299    0.0429    0.0399    0.0399    0.0030    0.0030    0.9370    0.4422    0.0264    0.0124
         4         3         1    0.0301    0.0433    0.0403    0.0403    0.0030    0.0030    0.9321    0.4399    0.0266    0.0126
         4         3         1    0.0302    0.0437    0.0407    0.0407    0.0030    0.0030    0.9272    0.4376    0.0269    0.0127
         4         3         1    0.0303    0.0440    0.0411    0.0411    0.0030    0.0030    0.9224    0.4353    0.0272    0.0128
         4         3         1    0.0304    0.0444    0.0414    0.0414    0.0030    0.0030    0.9176    0.4331    0.0275    0.0130
         4         3         1    0.0306    0.0448    0.0418    0.0418    0.0030    0.0030    0.9129    0.4309    0.0278    0.0131
         4         3         1    0.0307    0.0452    0.0422    0.0422    0.0029    0.0029    0.9083    0.4287    0.0281    0.0132
         4         3         1    0.0308    0.0455    0.0426    0.0426    0.0029    0.0029    0.9037    0.4265    0.0283    0.0134
         4         3         1    0.0309    0.0459    0.0430    0.0430    0.0029    0.0029    0.8991    0.4243    0.0286    0.0135
         4         3         1    0.0311    0.0463    0.0434    0.0434    0.0029    0.0029    0.8946    0.4222    0.0289    0.0136
         4         3         1    0.0312    0.0467    0.0438    0.0438    0.0029    0.0029    0.8901    0.4201    0.0292    0.0138
         4         3         1    0.0313    0.0471    0.0442    0.0442    0.0029    0.0029    0.8857    0.4180    0.0295    0.0139
         4         3         1    0.0314    0.0474    0.0445    0.0445    0.0029    0.0029    0.8813    0.4160    0.0298    0.0141
         4         3         1    0.0315    0.0478    0.0449    0.0449    0.0029    0.0029    0.8770    0.4139    0.0301    0.0142
         4         3         1    0.0317    0.0482    0.0453    0.0453    0.0029    0.0029    0.8727    0.4119    0.0304    0.0143
         4         3         1    0.0318    0.0486    0.0457    0.0457    0.0029    0.0029    0.8685    0.4099    0.0307    0.0145
         4         3         1    0.0319    0.0490    0.0461    0.0461    0.0029    0.0029    0.8643    0.4079    0.0309    0.0146
         4         3         1    0.0320    0.0493    0.0465    0.0465    0.0029    0.0029    0.8601    0.4059    0.0312    0.0147
         4         3         1    0.0321    0.0497    0.0469    0.0469    0.0029    0.0029    0.8560    0.4040    0.0315    0.0149
         4         3         1    0.0322    0.0501    0.0473    0.0473    0.0028    0.0028    0.8519    0.4021    0.0318    0.0150
         4         3         1    0.0323    0.0505    0.0477    0.0477    0.0028    0.0028    0.8479    0.4002    0.0321    0.0152
         4         3         1    0.0325    0.0509    0.0480    0.0480    0.0028    0.0028    0.8439    0.3983    0.0324    0.0153
         4         3         1    0.0326    0.0513    0.0484    0.0484    0.0028    0.0028    0.8399    0.3964    0.0327    0.0154
         4         3         1    0.0327    0.0516    0.0488    0.0488    0.0028    0.0028    0.8360    0.3945    0.0330    0.0156
         4         3         1    0.0328    0.0520    0.0492    0.0492    0.0028    0.0028    0.8321    0.3927    0.0333    0.0157
         4         3         1    0.0329    0.0524    0.0496    0.0496    0.0028    0.0028    0.8283    0.3909    0.0336    0.0158
         4         3         1    0.0330    0.0528    0.0500    0.0500    0.0028    0.0028    0.8244    0.3891    0.0339    0.0160
         4         3         1    0.0331    0.0532    0.0504    0.0504    0.0028    0.0028    0.8207    0.3873    0.0342    0.0161
         4         3         1    0.0332    0.0536    0.0508    0.0508    0.0028    0.0028    0.8169    0.3855    0.0345    0.0163
         4         3         1    0.0333    0.0540    0.0512    0.0512    0.0028    0.0028    0.8132    0.3838    0.0348    0.0164
         4         3         1    0.0334    0.0543    0.0516    0.0516    0.0028    0.0028    0.8095    0.3820    0.0350    0.0165
         4         3         1    0.0335    0.0547    0.0520    0.0520    0.0028    0.0028    0.8059    0.3803    0.0353    0.0167
         4         3         1    0.0336    0.0551    0.0524    0.0524    0.0028    0.0028    0.8023    0.3786    0.0356    0.0168
         4         3         1    0.0337    0.0555    0.0528    0.0528    0.0027    0.0027    0.7987    0.3769    0.0359    0.0170
         4         3         1    0.0338    0.0559    0.0531    0.0531    0.0027    0.0027    0.7951    0.3753    0.0362    0.0171
         4         3         1    0.0339    0.0563    0.0535    0.0535    0.0027    0.0027    0.7916    0.3736    0.0365    0.0172
         4         3         1    0.0340    0.0567    0.0539    0.0539    0.0027    0.0027    0.7881    0.3720    0.0368    0.0174
         4         3         1    0.0341    0.0571    0.0543    0.0543    0.0027    0.0027    0.7847    0.3703    0.0371    0.0175
         4         3         1    0.0342    0.0574    0.0547    0.0547    0.0027    0.0027    0.7813    0.3687    0.0374    0.0177
         4         3         1    0.0343    0.0578    0.0551    0.0551    0.0027    0.0027    0.7779    0.3671    0.0377    0.0178
         4         3         1    0.0344    0.0582    0.0555    0.0555    0.0027    0.0027    0.7745    0.3655    0.0380    0.0180
         4         3         1    0.0345    0.0586    0.0559    0.0559    0.0027    0.0027    0.7712    0.3640    0.0383    0.0181
         4         3         1    0.0346    0.0590    0.0563    0.0563    0.0027    0.0027    0.7679    0.3624    0.0386    0.0182
         4         3         1    0.0347    0.0594    0.0567    0.0567    0.0027    0.0027    0.7646    0.3608    0.0389    0.0184
         4         3         1    0.0348    0.0598    0.0571    0.0571    0.0027    0.0027    0.7613    0.3593    0.0392    0.0185
         4         3         1    0.0349    0.0602    0.0575    0.0575    0.0027    0.0027    0.7581    0.3578    0.0395    0.0187
         4         3         1    0.0350    0.0606    0.0579    0.0579    0.0027    0.0027    0.7549    0.3563    0.0398    0.0188
         4         3         1    0.0351    0.0609    0.0583    0.0583    0.0027    0.0027    0.7518    0.3548    0.0402    0.0189
         4         3         1    0.0352    0.0613    0.0587    0.0587    0.0027    0.0027    0.7486    0.3533    0.0405    0.0191
         4         3         1    0.0353    0.0617    0.0591    0.0591    0.0027    0.0027    0.7455    0.3518    0.0408    0.0192
         4         3         1    0.0353    0.0621    0.0595    0.0595    0.0027    0.0027    0.7424    0.3504    0.0411    0.0194
         4         3         1    0.0354    0.0625    0.0599    0.0599    0.0026    0.0026    0.7393    0.3489    0.0414    0.0195
         4         3         1    0.0355    0.0629    0.0603    0.0603    0.0026    0.0026    0.7363    0.3475    0.0417    0.0197
         4         3         1    0.0356    0.0633    0.0607    0.0607    0.0026    0.0026    0.7333    0.3461    0.0420    0.0198
         4         3         1    0.0357    0.0637    0.0611    0.0611    0.0026    0.0026    0.7303    0.3447    0.0423    0.0200
         4         3         1    0.0358    0.0641    0.0615    0.0615    0.0026    0.0026    0.7273    0.3432    0.0426    0.0201
         4         3         1    0.0359    0.0645    0.0619    0.0619    0.0026    0.0026    0.7244    0.3419    0.0429    0.0202
         4         3         1    0.0360    0.0649    0.0623    0.0623    0.0026    0.0026    0.7215    0.3405    0.0432    0.0204
         4         3         1    0.0360    0.0653    0.0627    0.0627    0.0026    0.0026    0.7186    0.3391    0.0435    0.0205
         4         3         1    0.0361    0.0657    0.0631    0.0631    0.0026    0.0026    0.7157    0.3378    0.0438    0.0207
         4         3         1    0.0362    0.0661    0.0635    0.0635    0.0026    0.0026    0.7128    0.3364    0.0441    0.0208
         4         3         1    0.0363    0.0665    0.0639    0.0639    0.0026    0.0026    0.7100    0.3351    0.0444    0.0210
         4         3         1    0.0364    0.0668    0.0643    0.0643    0.0026    0.0026    0.7072    0.3338    0.0447    0.0211
         4         3         1    0.0365    0.0672    0.0647    0.0647    0.0026    0.0026    0.7044    0.3324    0.0451    0.0213
         4         3         1    0.0365    0.0676    0.0651    0.0651    0.0026    0.0026    0.7016    0.3311    0.0454    0.0214
         4         3         1    0.0366    0.0680    0.0655    0.0655    0.0026    0.0026    0.6989    0.3298    0.0457    0.0216
         4         3         1    0.0367    0.0684    0.0659    0.0659    0.0026    0.0026    0.6962    0.3286    0.0460    0.0217
         4         3         1    0.0368    0.0688    0.0663    0.0663    0.0026    0.0026    0.6935    0.3273    0.0463    0.0219
         4         3         1    0.0369    0.0692    0.0667    0.0667    0.0026    0.0026    0.6908    0.3260    0.0466    0.0220
         4         3         1    0.0369    0.0696    0.0671    0.0671    0.0026    0.0026    0.6881    0.3248    0.0469    0.0221
         4         3         1    0.0370    0.0700    0.0675    0.0675    0.0026    0.0026    0.6855    0.3235    0.0472    0.0223
         4         3         1    0.0371    0.0704    0.0679    0.0679    0.0026    0.0026    0.6829    0.3223    0.0475    0.0224
         5         3         1    0.1236    0.0667    0.0653    0.0653    0.0014    0.0014    5.9213   -2.7533    0.0401    0.0189
         5         3         1    0.0203    0.0253    0.0215    0.0215    0.0038    0.0038    1.3236    0.6247    0.0117    0.0055
         5         3         1    0.0205    0.0256    0.0219    0.0219    0.0037    0.0037    1.3128    0.6194    0.0119    0.0056
         5         3         1    0.0207    0.0260    0.0222    0.0222    0.0037    0.0037    1.3021    0.6145    0.0121    0.0057
         5         3         1    0.0209    0.0263    0.0226    0.0226    0.0037    0.0037    1.2918    0.6097    0.0124    0.0058
         5         3         1    0.0694    0.0303    0.0269    0.0269    0.0034    0.0034  -12.5743   15.4345    0.0150    0.0071
         5         3         1    0.0695    0.0303    0.0269    0.0269    0.0034    0.0034   -9.3114   12.1174    0.0150    0.0071
         5         3         1    0.0214    0.0274    0.0238    0.0238    0.0036    0.0036    1.2625    0.5958    0.0131    0.0062
         5         3         1    0.0216    0.0277    0.0241    0.0241    0.0036    0.0036    1.2533    0.5915    0.0133    0.0063
         5         3         1    0.0218    0.0281    0.0245    0.0245    0.0036    0.0036    1.2442    0.5872    0.0135    0.0064
         5         3         1    0.0220    0.0284    0.0249    0.0249    0.0036    0.0036    1.2354    0.5830    0.0137    0.0065
         5         3         1    0.0221    0.0288    0.0253    0.0253    0.0035    0.0035    1.2267    0.5789    0.0140    0.0066
         5         3         1    0.0223    0.0291    0.0256    0.0256    0.0035    0.0035    1.2182    0.5749    0.0142    0.0067
         5         3         1    0.0225    0.0295    0.0260    0.0260    0.0035    0.0035    1.2099    0.5710    0.0144    0.0068
         5         3         1    0.0226    0.0299    0.0264    0.0264    0.0035    0.0035    1.2018    0.5672    0.0147    0.0069
         5         3         1    0.0228    0.0302    0.0268    0.0268    0.0034    0.0034    1.1939    0.5634    0.0149    0.0070
         5         3         1    0.0230    0.0306    0.0271    0.0271    0.0034    0.0034    1.1860    0.5597    0.0151    0.0071
         5         3         1    0.0231    0.0309    0.0275    0.0275    0.0034    0.0034    1.1784    0.5561    0.0154    0.0072
         5         3         1    0.0233    0.0313    0.0279    0.0279    0.0034    0.0034    1.1708    0.5526    0.0156    0.0074
         5         3         1    0.0235    0.0316    0.0282    0.0282    0.0034    0.0034    1.1634    0.5491    0.0158    0.0075
         5         3         1    0.0597    0.0305    0.0271    0.0271    0.0034    0.0034    0.8383    1.0210    0.0151    0.0071
         5         3         1    0.0588    0.0298    0.0264    0.0264    0.0034    0.0034    1.0566    0.8156    0.0147    0.0069
         5         3         1    0.0605    0.0307    0.0273    0.0273    0.0034    0.0034    1.0723    0.7420    0.0152    0.0072
         5         3         1    0.0624    0.0304    0.0269    0.0269    0.0034    0.0034    1.0419    0.8209    0.0150    0.0071
         5         3         1    0.0243    0.0334    0.0301    0.0301    0.0033    0.0033    1.1283    0.5325    0.0170    0.0080
         5         3         1    0.0646    0.0304    0.0270    0.0270    0.0034    0.0034    1.1241    0.7306    0.0150    0.0071
         5         3         1    0.0246    0.0341    0.0309    0.0309    0.0033    0.0033    1.1149    0.5262    0.0174    0.0082
         5         3         1    0.0667    0.0304    0.0270    0.0270    0.0034    0.0034    1.1863    0.6619    0.0150    0.0071
         5         3         1    0.0683    0.0306    0.0272    0.0272    0.0034    0.0034    1.2112    0.6177    0.0152    0.0072
         5         3         1    0.0250    0.0352    0.0320    0.0320    0.0032    0.0032    1.0957    0.5171    0.0182    0.0086
         5         3         1    0.0699    0.0306    0.0272    0.0272    0.0034    0.0034    1.2660    0.5473    0.0151    0.0071
         5         3         1    0.0253    0.0359    0.0327    0.0327    0.0032    0.0032    1.0833    0.5112    0.0186    0.0088
         5         3         1    0.0255    0.0363    0.0331    0.0331    0.0032    0.0032    1.0772    0.5084    0.0189    0.0089
         5         3         1    0.0256    0.0366    0.0335    0.0335    0.0032    0.0032    1.0712    0.5055    0.0191    0.0090
         5         3         1    0.0257    0.0370    0.0338    0.0338    0.0031    0.0031    1.0653    0.5028    0.0193    0.0091
         5         3         1    0.0259    0.0373    0.0342    0.0342    0.0031    0.0031    1.0594    0.5000    0.0196    0.0092
         5         3         1    0.0260    0.0377    0.0346    0.0346    0.0031    0.0031    1.0537    0.4973    0.0198    0.0093
         5         3         1    0.0262    0.0381    0.0350    0.0350    0.0031    0.0031    1.0480    0.4946    0.0200    0.0095
         5         3         1    0.0263    0.0384    0.0353    0.0353    0.0031    0.0031    1.0423    0.4919    0.0203    0.0096
         5         3         1    0.0264    0.0388    0.0357    0.0357    0.0031    0.0031    1.0368    0.4893    0.0205    0.0097
         5         3         1    0.0266    0.0391    0.0361    0.0361    0.0031    0.0031    1.0313    0.4867    0.0208    0.0098
         5         3         1    0.0267    0.0395    0.0364    0.0364    0.0031    0.0031    1.0258    0.4841    0.0210    0.0099
         5         3         1    0.0810    0.0341    0.0306    0.0306    0.0034    0.0034    1.5344    0.0060    0.0173    0.0082
         5         3         1    0.0270    0.0402    0.0372    0.0372    0.0030    0.0030    1.0152    0.4791    0.0215    0.0101
         5         3         1    0.0271    0.0406    0.0376    0.0376    0.0030    0.0030    1.0099    0.4766    0.0217    0.0102
         5         3         1    0.0272    0.0410    0.0379    0.0379    0.0030    0.0030    1.0047    0.4742    0.0220    0.0104
         5         3         1    0.0274    0.0413    0.0383    0.0383    0.0030    0.0030    0.9996    0.4718    0.0222    0.0105
         5         3         1    0.0275    0.0417    0.0387    0.0387    0.0030    0.0030    0.9945    0.4694    0.0224    0.0106
         5         3         1    0.0276    0.0421    0.0391    0.0391    0.0030    0.0030    0.9895    0.4670    0.0227    0.0107
         5         3         1    0.0499    0.0218    0.0184    0.0184    0.0034    0.0034    1.6797   -0.0517    0.0098    0.0046
         5         3         1    0.0745    0.0482    0.0462    0.0462    0.0020    0.0020    0.6378    0.6366    0.0273    0.0129
         5         3         1    0.0280    0.0432    0.0402    0.0402    0.0029    0.0029    0.9748    0.4600    0.0234    0.0110
         5         3         1    0.0281    0.0435    0.0406    0.0406    0.0029    0.0029    0.9700    0.4578    0.0237    0.0112
         5         3         1    0.0282    0.0439    0.0410    0.0410    0.0029    0.0029    0.9652    0.4555    0.0239    0.0113
         5         3         1    0.0284    0.0443    0.0413    0.0413    0.0029    0.0029    0.9605    0.4533    0.0241    0.0114
         5         3         1    0.0285    0.0446    0.0417    0.0417    0.0029    0.0029    0.9558    0.4511    0.0244    0.0115
         5         3         1    0.0286    0.0450    0.0421    0.0421    0.0029    0.0029    0.9512    0.4489    0.0246    0.0116
         5         3         1    0.0287    0.0454    0.0425    0.0425    0.0029    0.0029    0.9466    0.4468    0.0249    0.0117
         5         3         1    0.0288    0.0457    0.0428    0.0428    0.0029    0.0029    0.9421    0.4446    0.0251    0.0119
         5         3         1    0.0289    0.0461    0.0432    0.0432    0.0029    0.0029    0.9376    0.4425    0.0254    0.0120
         5         3         1    0.0291    0.0465    0.0436    0.0436    0.0029    0.0029    0.9332    0.4404    0.0256    0.0121
         5         3         1    0.0292    0.0468    0.0440    0.0440    0.0029    0.0029    0.9288    0.4383    0.0259    0.0122
         5         3         1    0.0293    0.0472    0.0444    0.0444    0.0028    0.0028    0.9245    0.4363    0.0261    0.0123
         5         3         1    0.0294    0.0476    0.0447    0.0447    0.0028    0.0028    0.9202    0.4343    0.0264    0.0124
         5         3         1    0.0295    0.0480    0.0451    0.0451    0.0028    0.0028    0.9159    0.4322    0.0266    0.0126
         5         3         1    0.0296    0.0483    0.0455    0.0455    0.0028    0.0028    0.9117    0.4303    0.0269    0.0127
         5         3         1    0.0297    0.0487    0.0459    0.0459    0.0028    0.0028    0.9075    0.4283    0.0271    0.0128
         5         3         1    0.0298    0.0491    0.0463    0.0463    0.0028    0.0028    0.9033    0.4263    0.0274    0.0129
         5         3         1    0.0300    0.0495    0.0466    0.0466    0.0028    0.0028    0.8992    0.4244    0.0276    0.0130
         5         3         1    0.0301    0.0498    0.0470    0.0470    0.0028    0.0028    0.8952    0.4225    0.0279    0.0132
         5         3         1    0.0302    0.0502    0.0474    0.0474    0.0028    0.0028    0.8911    0.4206    0.0281    0.0133
         5         3         1    0.0303    0.0506    0.0478    0.0478    0.0028    0.0028    0.8871    0.4187    0.0284    0.0134
         5         3         1    0.0304    0.0510    0.0482    0.0482    0.0028    0.0028    0.8832    0.4168    0.0286    0.0135
         5         3         1    0.0305    0.0513    0.0486    0.0486    0.0028    0.0028    0.8792    0.4150    0.0289    0.0136
         5         3         1    0.0306    0.0517    0.0489    0.0489    0.0028    0.0028    0.8754    0.4131    0.0291    0.0137
         5         3         1    0.0307    0.0521    0.0493    0.0493    0.0028    0.0028    0.8715    0.4113    0.0294    0.0139
         5         3         1    0.0308    0.0525    0.0497    0.0497    0.0027    0.0027    0.8677    0.4095    0.0296    0.0140
         5         3         1    0.0309    0.0528    0.0501    0.0501    0.0027    0.0027    0.8639    0.4077    0.0299    0.0141
         5         3         1    0.0310    0.0532    0.0505    0.0505    0.0027    0.0027    0.8601    0.4059    0.0301    0.0142
         5         3         1    0.0311    0.0536    0.0509    0.0509    0.0027    0.0027    0.8564    0.4042    0.0304    0.0143
         5         3         1    0.0312    0.0540    0.0512    0.0512    0.0027    0.0027    0.8527    0.4024    0.0307    0.0145
         5         3         1    0.0313    0.0543    0.0516    0.0516    0.0027    0.0027    0.8491    0.4007    0.0309    0.0146
         5         3         1    0.0314    0.0547    0.0520    0.0520    0.0027    0.0027    0.8455    0.3990    0.0312    0.0147
         5         3         1    0.0315    0.0551    0.0524    0.0524    0.0027    0.0027    0.8419    0.3973    0.0314    0.0148
         5         3         1    0.0316    0.0555    0.0528    0.0528    0.0027    0.0027    0.8383    0.3956    0.0317    0.0150
         5         3         1    0.0317    0.0559    0.0532    0.0532    0.0027    0.0027    0.8348    0.3940    0.0319    0.0151
         5         3         1    0.0318    0.0562    0.0536    0.0536    0.0027    0.0027    0.8313    0.3923    0.0322    0.0152
         5         3         1    0.0319    0.0566    0.0539    0.0539    0.0027    0.0027    0.8278    0.3907    0.0325    0.0153
         5         3         1    0.0320    0.0570    0.0543    0.0543    0.0027    0.0027    0.8244    0.3890    0.0327    0.0154
         5         3         1    0.0321    0.0574    0.0547    0.0547    0.0027    0.0027    0.8209    0.3874    0.0330    0.0156
         5         3         1    0.0322    0.0578    0.0551    0.0551    0.0027    0.0027    0.8176    0.3858    0.0332    0.0157
         5         3         1    0.0323    0.0581    0.0555    0.0555    0.0027    0.0027    0.8142    0.3843    0.0335    0.0158
         5         3         1    0.0324    0.0585    0.0559    0.0559    0.0026    0.0026    0.8109    0.3827    0.0338    0.0159
         5         3         1    0.0325    0.0589    0.0563    0.0563    0.0026    0.0026    0.8076    0.3811    0.0340    0.0161
         5         3         1    0.0325    0.0593    0.0567    0.0567    0.0026    0.0026    0.8043    0.3796    0.0343    0.0162
         5         3         1    0.0326    0.0597    0.0570    0.0570    0.0026    0.0026    0.8010    0.3780    0.0345    0.0163
         5         3         1    0.0327    0.0601    0.0574    0.0574    0.0026    0.0026    0.7978    0.3765    0.0348    0.0164
         5         3         1    0.0328    0.0604    0.0578    0.0578    0.0026    0.0026    0.7946    0.3750    0.0351    0.0165
         5         3         1    0.0329    0.0608    0.0582    0.0582    0.0026    0.0026    0.7914    0.3735    0.0353    0.0167
         5         3         1    0.0330    0.0612    0.0586    0.0586    0.0026    0.0026    0.7883    0.3720    0.0356    0.0168
         5         3         1    0.0331    0.0616    0.0590    0.0590    0.0026    0.0026    0.7852    0.3706    0.0358    0.0169
         5         3         1    0.0332    0.0620    0.0594    0.0594    0.0026    0.0026    0.7821    0.3691    0.0361    0.0170
         5         3         1    0.0333    0.0624    0.0598    0.0598    0.0026    0.0026    0.7790    0.3676    0.0364    0.0172
         5         3         1    0.0333    0.0627    0.0602    0.0602    0.0026    0.0026    0.7760    0.3662    0.0366    0.0173
         5         3         1    0.0334    0.0631    0.0605    0.0605    0.0026    0.0026    0.7729    0.3648    0.0369    0.0174
         5         3         1    0.0335    0.0635    0.0609    0.0609    0.0026    0.0026    0.7699    0.3634    0.0372    0.0175
         5         3         1    0.0336    0.0639    0.0613    0.0613    0.0026    0.0026    0.7670    0.3620    0.0374    0.0177
         5         3         1    0.0337    0.0643    0.0617    0.0617    0.0026    0.0026    0.7640    0.3606    0.0377    0.0178
         5         3         1    0.0338    0.0647    0.0621    0.0621    0.0026    0.0026    0.7611    0.3592    0.0380    0.0179
         5         3         1    0.0338    0.0651    0.0625    0.0625    0.0026    0.0026    0.7582    0.3578    0.0382    0.0180
         5         3         1    0.0339    0.0655    0.0629    0.0629    0.0026    0.0026    0.7553    0.3564    0.0385    0.0182
         5         3         1    0.0340    0.0658    0.0633    0.0633    0.0026    0.0026    0.7524    0.3551    0.0388    0.0183
         5         3         1    0.0341    0.0662    0.0637    0.0637    0.0025    0.0025    0.7496    0.3537    0.0390    0.0184
         5         3         1    0.0342    0.0666    0.0641    0.0641    0.0025    0.0025    0.7467    0.3524    0.0393    0.0185
         5         3         1    0.0343    0.0670    0.0645    0.0645    0.0025    0.0025    0.7439    0.3511    0.0396    0.0187
         5         3         1    0.0343    0.0674    0.0649    0.0649    0.0025    0.0025    0.7412    0.3498    0.0398    0.0188
         5         3         1    0.0344    0.0678    0.0653    0.0653    0.0025    0.0025    0.7384    0.3485    0.0401    0.0189
