         t         r       w_H       w_L      w_HL      s_LH      s_LL
    0.0000    0.0523    0.0366    0.0262    1.4012    0.1689    0.3360
    1.0000    0.0493    0.0367    0.0258    1.4234    0.1492    0.3416
    2.0000    0.0498    0.0357    0.0250    1.4310    0.1471    0.3368
    3.0000    0.0502    0.0347    0.0241    1.4385    0.1451    0.3316
    4.0000    0.0504    0.0337    0.0233    1.4462    0.1429    0.3266
    5.0000    0.0505    0.0327    0.0225    1.4536    0.1410    0.3215
    6.0000    0.0507    0.0317    0.0217    1.4608    0.1393    0.3170
    7.0000    0.0509    0.0312    0.0213    1.4661    0.1385    0.3154
    8.0000    0.0513    0.0312    0.0212    1.4696    0.1392    0.3155
    9.0000    0.0515    0.0311    0.0211    1.4727    0.1413    0.3139
   10.0000    0.0525    0.0309    0.0209    1.4789    0.1418    0.3161
   11.0000    0.0540    0.0306    0.0206    1.4824    0.1473    0.3143
   12.0000    0.0544    0.0305    0.0205    1.4867    0.1518    0.3109
   13.0000    0.0551    0.0303    0.0203    1.4923    0.1555    0.3089
   14.0000    0.0556    0.0302    0.0202    1.4956    0.1615    0.3042
   15.0000    0.0567    0.0300    0.0200    1.5014    0.1645    0.3038
   16.0000    0.0578    0.0298    0.0198    1.5077    0.1659    0.3053
   17.0000    0.0591    0.0296    0.0195    1.5130    0.1671    0.3069
   18.0000    0.0588    0.0296    0.0195    1.5171    0.1671    0.3058
   19.0000    0.0585    0.0295    0.0194    1.5181    0.1693    0.3027
   20.0000    0.0587    0.0294    0.0194    1.5209    0.1685    0.3034
   21.0000    0.0585    0.0295    0.0194    1.5229    0.1673    0.3043
   22.0000    0.0587    0.0294    0.0193    1.5219    0.1690    0.3030
   23.0000    0.0593    0.0294    0.0193    1.5233    0.1681    0.3052
   24.0000    0.0591    0.0294    0.0193    1.5218    0.1697    0.3033
   25.0000    0.0592    0.0294    0.0193    1.5231    0.1683    0.3049
   26.0000    0.0592    0.0294    0.0193    1.5242    0.1669    0.3061
   27.0000    0.0601    0.0292    0.0192    1.5224    0.1698    0.3054
   28.0000    0.0602    0.0292    0.0192    1.5237    0.1684    0.3070
   29.0000    0.0602    0.0292    0.0192    1.5249    0.1670    0.3085
   30.0000    0.0610    0.0291    0.0191    1.5254    0.1670    0.3102
   31.0000    0.0622    0.0289    0.0190    1.5250    0.1685    0.3115
   32.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   33.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   34.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   35.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   36.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   37.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   38.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   39.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   40.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   41.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   42.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   43.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   44.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   45.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   46.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   47.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   48.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   49.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   50.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   51.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   52.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   53.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   54.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   55.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   56.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   57.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   58.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   59.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   60.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   61.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   62.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   63.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   64.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   65.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   66.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   67.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   68.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   69.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   70.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   71.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   72.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   73.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   74.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   75.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   76.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   77.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   78.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   79.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   80.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   81.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   82.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   83.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   84.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   85.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   86.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   87.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
