         t         N         I         S      h_HL       h_H       h_L       Eta   Gamma_H   Gamma_L
    0.0000    1.0000    0.6818    0.9068   -0.8098   -0.8098    0.0000    0.6495    0.0622    0.0963
    1.0000    1.0188    0.6934    0.9095   -0.8098   -0.8072    0.0026    0.6619    0.0603    0.0927
    2.0000    1.0377    0.7032    0.9119   -0.8098   -0.8046    0.0052    0.6725    0.0587    0.0897
    3.0000    1.0568    0.7115    0.9139   -0.8098   -0.8020    0.0078    0.6815    0.0573    0.0871
    4.0000    1.0760    0.7184    0.9156   -0.8098   -0.7994    0.0104    0.6889    0.0561    0.0849
    5.0000    1.0954    0.7239    0.9170   -0.8098   -0.7968    0.0131    0.6949    0.0552    0.0832
    6.0000    1.1151    0.7284    0.9181   -0.8098   -0.7942    0.0157    0.6997    0.0544    0.0818
    7.0000    1.1353    0.7331    0.9193   -0.8098   -0.7916    0.0183    0.7048    0.0536    0.0803
    8.0000    1.1559    0.7383    0.9206   -0.8098   -0.7889    0.0209    0.7104    0.0527    0.0787
    9.0000    1.1772    0.7434    0.9219   -0.8098   -0.7863    0.0235    0.7160    0.0518    0.0771
   10.0000    1.1990    0.7479    0.9230   -0.8098   -0.7837    0.0261    0.7208    0.0510    0.0757
   11.0000    1.2214    0.7522    0.9241   -0.8098   -0.7811    0.0287    0.7255    0.0503    0.0743
   12.0000    1.2444    0.7568    0.9253   -0.8098   -0.7785    0.0313    0.7305    0.0494    0.0728
   13.0000    1.2678    0.7617    0.9266   -0.8098   -0.7759    0.0340    0.7359    0.0485    0.0713
   14.0000    1.2916    0.7667    0.9279   -0.8098   -0.7733    0.0366    0.7413    0.0476    0.0697
   15.0000    1.3155    0.7710    0.9290   -0.8098   -0.7707    0.0392    0.7460    0.0469    0.0684
   16.0000    1.3397    0.7742    0.9299   -0.8098   -0.7680    0.0418    0.7495    0.0463    0.0674
   17.0000    1.3639    0.7764    0.9305   -0.8098   -0.7654    0.0444    0.7519    0.0459    0.0667
   18.0000    1.3882    0.7778    0.9309   -0.8098   -0.7628    0.0470    0.7534    0.0456    0.0662
   19.0000    1.4125    0.7786    0.9311   -0.8098   -0.7602    0.0496    0.7543    0.0455    0.0660
   20.0000    1.4368    0.7791    0.9312   -0.8098   -0.7576    0.0522    0.7548    0.0454    0.0658
   21.0000    1.4612    0.7793    0.9313   -0.8098   -0.7550    0.0549    0.7551    0.0453    0.0657
   22.0000    1.4856    0.7795    0.9313   -0.8098   -0.7524    0.0575    0.7552    0.0453    0.0657
   23.0000    1.5099    0.7795    0.9313   -0.8098   -0.7498    0.0601    0.7553    0.0453    0.0657
   24.0000    1.5343    0.7796    0.9313   -0.8098   -0.7472    0.0627    0.7553    0.0453    0.0657
   25.0000    1.5586    0.7796    0.9313   -0.8098   -0.7445    0.0653    0.7553    0.0453    0.0657
   26.0000    1.5830    0.7796    0.9313   -0.8098   -0.7419    0.0679    0.7553    0.0453    0.0657
   27.0000    1.6073    0.7796    0.9313   -0.8098   -0.7393    0.0705    0.7554    0.0453    0.0657
   28.0000    1.6317    0.7796    0.9313   -0.8098   -0.7367    0.0731    0.7554    0.0453    0.0657
   29.0000    1.6561    0.7796    0.9313   -0.8098   -0.7341    0.0758    0.7554    0.0453    0.0657
   30.0000    1.6804    0.7796    0.9313   -0.8098   -0.7315    0.0784    0.7554    0.0453    0.0657
   31.0000    1.7048    0.7796    0.9313   -0.8098   -0.7289    0.0810    0.7554    0.0453    0.0657
   32.0000    1.7291    0.7796    0.9313   -0.8098   -0.7263    0.0836    0.7554    0.0453    0.0657
   33.0000    1.7535    0.7796    0.9313   -0.8098   -0.7236    0.0862    0.7554    0.0453    0.0657
   34.0000    1.7779    0.7796    0.9313   -0.8098   -0.7210    0.0888    0.7554    0.0453    0.0657
   35.0000    1.8022    0.7796    0.9313   -0.8098   -0.7184    0.0914    0.7554    0.0453    0.0657
   36.0000    1.8266    0.7796    0.9313   -0.8098   -0.7158    0.0940    0.7554    0.0453    0.0657
   37.0000    1.8509    0.7796    0.9313   -0.8098   -0.7132    0.0967    0.7554    0.0453    0.0657
   38.0000    1.8753    0.7796    0.9313   -0.8098   -0.7106    0.0993    0.7554    0.0453    0.0657
   39.0000    1.8997    0.7796    0.9313   -0.8098   -0.7080    0.1019    0.7554    0.0453    0.0657
   40.0000    1.9240    0.7796    0.9313   -0.8098   -0.7054    0.1045    0.7554    0.0453    0.0657
   41.0000    1.9484    0.7796    0.9313   -0.8098   -0.7027    0.1071    0.7554    0.0453    0.0657
   42.0000    1.9727    0.7796    0.9313   -0.8098   -0.7001    0.1097    0.7554    0.0453    0.0657
   43.0000    1.9971    0.7796    0.9313   -0.8098   -0.6975    0.1123    0.7554    0.0453    0.0657
   44.0000    2.0215    0.7796    0.9313   -0.8098   -0.6949    0.1149    0.7554    0.0453    0.0657
   45.0000    2.0458    0.7796    0.9313   -0.8098   -0.6923    0.1176    0.7554    0.0453    0.0657
   46.0000    2.0702    0.7796    0.9313   -0.8098   -0.6897    0.1202    0.7554    0.0453    0.0657
   47.0000    2.0945    0.7796    0.9313   -0.8098   -0.6871    0.1228    0.7554    0.0453    0.0657
   48.0000    2.1189    0.7796    0.9313   -0.8098   -0.6845    0.1254    0.7554    0.0453    0.0657
   49.0000    2.1433    0.7796    0.9313   -0.8098   -0.6818    0.1280    0.7554    0.0453    0.0657
   50.0000    2.1676    0.7796    0.9313   -0.8098   -0.6792    0.1306    0.7554    0.0453    0.0657
   51.0000    2.1920    0.7796    0.9313   -0.8098   -0.6766    0.1332    0.7554    0.0453    0.0657
   52.0000    2.2163    0.7796    0.9313   -0.8098   -0.6740    0.1358    0.7554    0.0453    0.0657
   53.0000    2.2407    0.7796    0.9313   -0.8098   -0.6714    0.1385    0.7554    0.0453    0.0657
   54.0000    2.2651    0.7796    0.9313   -0.8098   -0.6688    0.1411    0.7554    0.0453    0.0657
   55.0000    2.2894    0.7796    0.9313   -0.8098   -0.6662    0.1437    0.7554    0.0453    0.0657
   56.0000    2.3138    0.7796    0.9313   -0.8098   -0.6636    0.1463    0.7554    0.0453    0.0657
   57.0000    2.3381    0.7796    0.9313   -0.8098   -0.6609    0.1489    0.7554    0.0453    0.0657
   58.0000    2.3625    0.7796    0.9313   -0.8098   -0.6583    0.1515    0.7554    0.0453    0.0657
   59.0000    2.3869    0.7796    0.9313   -0.8098   -0.6557    0.1541    0.7554    0.0453    0.0657
   60.0000    2.4112    0.7796    0.9313   -0.8098   -0.6531    0.1567    0.7554    0.0453    0.0657
   61.0000    2.4356    0.7796    0.9313   -0.8098   -0.6505    0.1594    0.7554    0.0453    0.0657
   62.0000    2.4599    0.7796    0.9313   -0.8098   -0.6479    0.1620    0.7554    0.0453    0.0657
   63.0000    2.4843    0.7796    0.9313   -0.8098   -0.6453    0.1646    0.7554    0.0453    0.0657
   64.0000    2.5086    0.7796    0.9313   -0.8098   -0.6427    0.1672    0.7554    0.0453    0.0657
   65.0000    2.5330    0.7796    0.9313   -0.8098   -0.6400    0.1698    0.7554    0.0453    0.0657
   66.0000    2.5574    0.7796    0.9313   -0.8098   -0.6374    0.1724    0.7554    0.0453    0.0657
   67.0000    2.5817    0.7796    0.9313   -0.8098   -0.6348    0.1750    0.7554    0.0453    0.0657
   68.0000    2.6061    0.7796    0.9313   -0.8098   -0.6322    0.1776    0.7554    0.0453    0.0657
   69.0000    2.6304    0.7796    0.9313   -0.8098   -0.6296    0.1803    0.7554    0.0453    0.0657
   70.0000    2.6548    0.7796    0.9313   -0.8098   -0.6270    0.1829    0.7554    0.0453    0.0657
   71.0000    2.6792    0.7796    0.9313   -0.8098   -0.6244    0.1855    0.7554    0.0453    0.0657
   72.0000    2.7035    0.7796    0.9313   -0.8098   -0.6218    0.1881    0.7554    0.0453    0.0657
   73.0000    2.7279    0.7796    0.9313   -0.8098   -0.6191    0.1907    0.7554    0.0453    0.0657
   74.0000    2.7522    0.7796    0.9313   -0.8098   -0.6165    0.1933    0.7554    0.0453    0.0657
   75.0000    2.7766    0.7796    0.9313   -0.8098   -0.6139    0.1959    0.7554    0.0453    0.0657
   76.0000    2.8010    0.7796    0.9313   -0.8098   -0.6113    0.1985    0.7554    0.0453    0.0657
   77.0000    2.8253    0.7796    0.9313   -0.8098   -0.6087    0.2012    0.7554    0.0453    0.0657
   78.0000    2.8497    0.7796    0.9313   -0.8098   -0.6061    0.2038    0.7554    0.0453    0.0657
   79.0000    2.8740    0.7796    0.9313   -0.8098   -0.6035    0.2064    0.7554    0.0453    0.0657
   80.0000    2.8984    0.7796    0.9313   -0.8098   -0.6009    0.2090    0.7554    0.0453    0.0657
   81.0000    2.9228    0.7796    0.9313   -0.8098   -0.5982    0.2116    0.7554    0.0453    0.0657
   82.0000    2.9471    0.7796    0.9313   -0.8098   -0.5956    0.2142    0.7554    0.0453    0.0657
   83.0000    2.9715    0.7796    0.9313   -0.8098   -0.5930    0.2168    0.7554    0.0453    0.0657
   84.0000    2.9958    0.7796    0.9313   -0.8098   -0.5904    0.2194    0.7554    0.0453    0.0657
   85.0000    3.0202    0.7796    0.9313   -0.8098   -0.5878    0.2221    0.7554    0.0453    0.0657
   86.0000    3.0446    0.7796    0.9313   -0.8098   -0.5852    0.2247    0.7554    0.0453    0.0657
   87.0000    3.0689    0.7796    0.9313   -0.8098   -0.5826    0.2273    0.7554    0.0453    0.0657
   88.0000    3.0933    0.7796    0.9313   -0.8098   -0.5800    0.2299    0.7554    0.0453    0.0657
   89.0000    3.1176    0.7796    0.9313   -0.8098   -0.5773    0.2325    0.7554    0.0453    0.0657
   90.0000    3.1420    0.7796    0.9313   -0.8098   -0.5747    0.2351    0.7554    0.0453    0.0657
   91.0000    3.1664    0.7796    0.9313   -0.8098   -0.5721    0.2377    0.7554    0.0453    0.0657
   92.0000    3.1907    0.7796    0.9313   -0.8098   -0.5695    0.2403    0.7554    0.0453    0.0657
   93.0000    3.2151    0.7796    0.9313   -0.8098   -0.5669    0.2430    0.7554    0.0453    0.0657
   94.0000    3.2394    0.7796    0.9313   -0.8098   -0.5643    0.2456    0.7554    0.0453    0.0657
   95.0000    3.2638    0.7796    0.9313   -0.8098   -0.5617    0.2482    0.7554    0.0453    0.0657
   96.0000    3.2881    0.7796    0.9313   -0.8098   -0.5591    0.2508    0.7554    0.0453    0.0657
   97.0000    3.3125    0.7796    0.9313   -0.8098   -0.5564    0.2534    0.7554    0.0453    0.0657
   98.0000    3.3369    0.7796    0.9313   -0.8098   -0.5538    0.2560    0.7554    0.0453    0.0657
   99.0000    3.3612    0.7796    0.9313   -0.8098   -0.5512    0.2586    0.7554    0.0453    0.0657
  100.0000    1.0000    0.7796    0.9313   -0.8098   -0.8098    0.0000    0.7554    0.0453    0.0657
