         t       p_N       p_I     eps_N     eps_I
    0.0000    0.1526    2.2220    0.0019    0.0280
    1.0000   -7.8988   12.3262    0.0019    0.0486
    2.0000   -6.0398   10.3555    0.0019    0.0520
    3.0000   -3.3707    7.6242    0.0019    0.0520
    4.0000   -2.2318    6.3409    0.0019    0.0520
    5.0000   -3.2681    5.5273    0.0019    0.0520
    6.0000   -3.0594    5.1333    0.0019    0.0519
    7.0000   -3.3124    5.3691    0.0019    0.0519
    8.0000   -3.3145    5.4302    0.0019    0.0519
    9.0000   -3.2706    5.5358    0.0019    0.0518
   10.0000   -3.2722    5.6613    0.0019    0.0519
   11.0000   -3.4636    5.8634    0.0019    0.0519
   12.0000   -3.4203    5.8375    0.0019    0.0519
   13.0000   -3.6605    6.0694    0.0019    0.0520
   14.0000   -3.7958    6.2120    0.0019    0.0520
   15.0000   -3.8715    6.2861    0.0019    0.0518
   16.0000   -4.0134    6.4478    0.0019    0.0519
   17.0000   -4.0684    6.5022    0.0019    0.0519
   18.0000   -4.3872    6.8144    0.0019    0.0518
   19.0000   -4.3045    6.7499    0.0019    0.0520
   20.0000   -4.5615    7.0022    0.0019    0.0519
   21.0000   -4.3151    6.7780    0.0019    0.0519
   22.0000   -4.3763    6.8594    0.0019    0.0520
   23.0000   -3.9334    6.4445    0.0019    0.0519
   24.0000   -3.3412    5.9040    0.0019    0.0519
   25.0000   -2.9070    5.4826    0.0019    0.0520
   26.0000   -2.1287    4.7581    0.0019    0.0518
   27.0000   -1.1313    3.8084    0.0019    0.0519
   28.0000   -0.2530    2.9733    0.0019    0.0516
   29.0000    0.0390    2.6722    0.0020    0.0507
   30.0000    0.0240    2.6046    0.0021    0.0494
   31.0000    0.0514    2.4740    0.0022    0.0459
   32.0000    0.0589    2.3703    0.0023    0.0418
   33.0000    0.0628    2.3044    0.0024    0.0389
   34.0000    0.0899    2.2383    0.0024    0.0349
   35.0000    0.1136    2.1792    0.0025    0.0323
   36.0000    0.2231    1.9936    0.0026    0.0310
   37.0000    0.1926    2.0020    0.0026    0.0290
   38.0000    0.1493    2.0074    0.0027    0.0290
   39.0000    0.1166    2.0294    0.0026    0.0274
   40.0000    0.0540    2.1149    0.0027    0.0277
   41.0000    0.0570    2.1152    0.0027    0.0276
   42.0000    0.0677    2.0900    0.0029    0.0282
   43.0000    0.1857    1.9445    0.0029    0.0275
   44.0000    0.2581    1.8132    0.0030    0.0264
   45.0000    0.2253    1.8147    0.0030    0.0265
   46.0000    0.2113    1.8157    0.0030    0.0265
   47.0000    0.2034    1.8161    0.0030    0.0265
   48.0000    0.2034    1.8166    0.0030    0.0265
   49.0000    0.2032    1.8169    0.0030    0.0265
   50.0000    0.2029    1.8172    0.0030    0.0265
   51.0000    0.2027    1.8175    0.0030    0.0265
   52.0000    0.2026    1.8177    0.0030    0.0265
   53.0000    0.2025    1.8178    0.0030    0.0266
   54.0000    0.2025    1.8179    0.0030    0.0266
   55.0000    0.2024    1.8179    0.0030    0.0266
   56.0000    0.2024    1.8179    0.0030    0.0266
   57.0000    0.2024    1.8180    0.0030    0.0266
   58.0000    0.2024    1.8180    0.0030    0.0266
   59.0000    0.2024    1.8180    0.0030    0.0266
   60.0000    0.2024    1.8180    0.0030    0.0266
   61.0000    0.2024    1.8180    0.0030    0.0266
   62.0000    0.2024    1.8180    0.0030    0.0266
   63.0000    0.2024    1.8180    0.0030    0.0266
   64.0000    0.2024    1.8180    0.0030    0.0266
   65.0000    0.2024    1.8180    0.0030    0.0266
   66.0000    0.2024    1.8180    0.0030    0.0266
   67.0000    0.2024    1.8180    0.0030    0.0266
   68.0000    0.2024    1.8180    0.0030    0.0266
   69.0000    0.2024    1.8180    0.0030    0.0266
   70.0000    0.2024    1.8180    0.0030    0.0266
   71.0000    0.2024    1.8180    0.0030    0.0266
   72.0000    0.2024    1.8180    0.0030    0.0266
   73.0000    0.2024    1.8180    0.0030    0.0266
   74.0000    0.2024    1.8180    0.0030    0.0266
   75.0000    0.2024    1.8180    0.0030    0.0266
   76.0000    0.2024    1.8180    0.0030    0.0266
   77.0000    0.2024    1.8180    0.0030    0.0266
   78.0000    0.2024    1.8180    0.0030    0.0266
   79.0000    0.2024    1.8180    0.0030    0.0266
   80.0000    0.2024    1.8180    0.0030    0.0266
   81.0000    0.2024    1.8180    0.0030    0.0266
   82.0000    0.2024    1.8180    0.0030    0.0266
   83.0000    0.2024    1.8180    0.0030    0.0266
   84.0000    0.2024    1.8180    0.0030    0.0266
   85.0000    0.2024    1.8180    0.0030    0.0266
   86.0000    0.2024    1.8180    0.0030    0.0266
   87.0000    0.2024    1.8180    0.0030    0.0266
   88.0000    0.2024    1.8180    0.0030    0.0266
   89.0000    0.2024    1.8180    0.0030    0.0266
   90.0000    0.2024    1.8180    0.0030    0.0266
   91.0000    0.2024    1.8180    0.0030    0.0266
   92.0000    0.2024    1.8180    0.0030    0.0266
   93.0000    0.2024    1.8180    0.0030    0.0266
   94.0000    0.2024    1.8180    0.0030    0.0266
   95.0000    0.2024    1.8180    0.0030    0.0266
   96.0000    0.2024    1.8180    0.0030    0.0266
   97.0000    0.2024    1.8180    0.0030    0.0266
   98.0000    0.2024    1.8180    0.0030    0.0266
   99.0000    0.2024    1.8180    0.0030    0.0266
  100.0000    0.2024    1.8180    0.0030    0.0266
