         t         g       g_N       g_I      g_hH      g_hL
    0.0000    4.4648    4.2036    4.2036    0.2612    0.2612
    1.0000    4.5874    4.2036    7.2952    0.3839    0.2804
    2.0000    4.5872    4.2036    7.2949    0.3837    0.2811
    3.0000    4.5875    4.2036    7.2965    0.3839    0.2748
    4.0000    4.5874    4.2036    7.2950    0.3838    0.2718
    5.0000    4.5872    4.2036    7.2926    0.3836    0.2691
    6.0000    4.5874    4.2036    7.2913    0.3839    0.2665
    7.0000    4.5875    4.2036    7.2923    0.3839    0.2674
    8.0000    4.5875    4.2036    7.2825    0.3839    0.2669
    9.0000    4.5875    4.2036    7.2917    0.3839    0.2668
   10.0000    4.5874    4.2036    7.2918    0.3839    0.2668
   11.0000    4.5873    4.2036    7.2886    0.3837    0.2674
   12.0000    4.5873    4.2036    7.2956    0.3837    0.2662
   13.0000    4.5873    4.2036    7.2945    0.3838    0.2670
   14.0000    4.5874    4.2036    7.2827    0.3839    0.2669
   15.0000    4.5873    4.2036    7.2915    0.3837    0.2666
   16.0000    4.5875    4.2036    7.2891    0.3839    0.2667
   17.0000    4.5875    4.2036    7.2861    0.3839    0.2662
   18.0000    4.5873    4.2036    7.2952    0.3838    0.2676
   19.0000    4.5874    4.2036    7.2911    0.3838    0.2666
   20.0000    4.5870    4.2036    7.2876    0.3835    0.2683
   21.0000    4.5875    4.2036    7.2946    0.3839    0.2666
   22.0000    4.5875    4.2037    7.2925    0.3839    0.2680
   23.0000    4.5877    4.2039    7.2933    0.3839    0.2670
   24.0000    4.5888    4.2052    7.2958    0.3836    0.2663
   25.0000    4.5899    4.2061    7.2853    0.3838    0.2672
   26.0000    4.5947    4.2111    7.2883    0.3836    0.2673
   27.0000    4.6070    4.2235    7.2723    0.3835    0.2661
   28.0000    4.6418    4.2596    7.2067    0.3822    0.2673
   29.0000    4.7425    4.3611    7.1137    0.3814    0.2603
   30.0000    4.8367    4.4609    6.8536    0.3758    0.2584
   31.0000    4.9286    4.5700    6.5423    0.3586    0.2530
   32.0000    5.0470    4.6978    6.3092    0.3492    0.2502
   33.0000    5.0696    4.7175    5.9780    0.3521    0.2640
   34.0000    5.1507    4.8163    5.7491    0.3344    0.2784
   35.0000    5.2224    4.8909    5.6331    0.3315    0.2806
   36.0000    5.2391    4.9126    5.4526    0.3264    0.2838
   37.0000    5.2763    4.9496    5.4503    0.3267    0.2819
   38.0000    5.2215    4.8964    5.2936    0.3250    0.2993
   39.0000    5.2701    4.9465    5.3279    0.3236    0.2940
   40.0000    5.3158    4.9999    5.3145    0.3159    0.3052
   41.0000    5.4250    5.1215    5.3753    0.3034    0.2931
   42.0000    5.4660    5.1648    5.3104    0.3012    0.2885
   43.0000    5.4923    5.2143    5.2010    0.2780    0.2767
   44.0000    5.4885    5.2143    5.2075    0.2743    0.2743
   45.0000    5.4885    5.2143    5.2081    0.2743    0.2743
   46.0000    5.4885    5.2143    5.2092    0.2743    0.2743
   47.0000    5.4885    5.2143    5.2102    0.2743    0.2743
   48.0000    5.4885    5.2143    5.2110    0.2743    0.2743
   49.0000    5.4885    5.2143    5.2127    0.2743    0.2743
   50.0000    5.4885    5.2143    5.2133    0.2743    0.2743
   51.0000    5.4885    5.2143    5.2138    0.2743    0.2743
   52.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   53.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   54.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   55.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   56.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   57.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   58.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   59.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   60.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   61.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   62.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   63.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   64.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   65.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   66.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   67.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   68.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   69.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   70.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   71.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   72.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   73.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   74.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   75.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   76.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   77.0000    5.4885    5.2143    5.2143    0.2743    0.2743
   78.0000    5.4885    5.2143    5.2143    0.2743    0.2743
