         t         r       w_H       w_L      w_HL      s_LH      s_LL
    0.0000    0.0523    0.0366    0.0262    1.4012    0.1689    0.3360
    1.0000    0.0521    0.0364    0.0260    1.4020    0.1692    0.3328
    2.0000    0.0522    0.0361    0.0257    1.4039    0.1685    0.3311
    3.0000    0.0522    0.0359    0.0255    1.4087    0.1677    0.3295
    4.0000    0.0491    0.0361    0.0232    1.5557    0.1723    0.3151
    5.0000    0.0492    0.0358    0.0229    1.5580    0.1717    0.3136
    6.0000    0.0494    0.0354    0.0227    1.5603    0.1709    0.3122
    7.0000    0.0494    0.0352    0.0225    1.5622    0.1705    0.3101
    8.0000    0.0496    0.0348    0.0223    1.5647    0.1697    0.3088
    9.0000    0.0496    0.0345    0.0220    1.5669    0.1692    0.3069
   10.0000    0.0497    0.0342    0.0218    1.5692    0.1685    0.3052
   11.0000    0.0498    0.0339    0.0216    1.5716    0.1677    0.3037
   12.0000    0.0498    0.0336    0.0213    1.5739    0.1671    0.3018
   13.0000    0.0498    0.0332    0.0211    1.5763    0.1664    0.3001
   14.0000    0.0498    0.0329    0.0209    1.5785    0.1658    0.2982
   15.0000    0.0499    0.0326    0.0206    1.5811    0.1649    0.2967
   16.0000    0.0499    0.0322    0.0204    1.5836    0.1641    0.2950
   17.0000    0.0499    0.0319    0.0201    1.5859    0.1634    0.2932
   18.0000    0.0499    0.0316    0.0199    1.5883    0.1626    0.2913
   19.0000    0.0498    0.0315    0.0198    1.5887    0.1625    0.2910
   20.0000    0.0498    0.0315    0.0198    1.5886    0.1626    0.2909
   21.0000    0.0499    0.0315    0.0198    1.5887    0.1625    0.2910
   22.0000    0.0499    0.0315    0.0198    1.5887    0.1625    0.2911
   23.0000    0.0498    0.0315    0.0198    1.5885    0.1627    0.2907
   24.0000    0.0498    0.0315    0.0198    1.5886    0.1626    0.2908
   25.0000    0.0499    0.0315    0.0198    1.5889    0.1624    0.2913
   26.0000    0.0498    0.0315    0.0198    1.5885    0.1627    0.2907
   27.0000    0.0499    0.0315    0.0198    1.5887    0.1625    0.2910
   28.0000    0.0498    0.0315    0.0198    1.5886    0.1626    0.2908
   29.0000    0.0498    0.0315    0.0198    1.5886    0.1626    0.2909
   30.0000    0.0498    0.0315    0.0198    1.5886    0.1626    0.2909
   31.0000    0.0499    0.0315    0.0198    1.5887    0.1625    0.2911
   32.0000    0.0499    0.0315    0.0198    1.5887    0.1626    0.2911
   33.0000    0.0499    0.0315    0.0198    1.5887    0.1626    0.2911
   34.0000    0.0500    0.0315    0.0198    1.5887    0.1627    0.2912
   35.0000    0.0500    0.0315    0.0198    1.5886    0.1628    0.2912
   36.0000    0.0502    0.0314    0.0198    1.5887    0.1628    0.2915
   37.0000    0.0503    0.0314    0.0198    1.5888    0.1629    0.2918
   38.0000    0.0505    0.0314    0.0197    1.5889    0.1629    0.2922
   39.0000    0.0506    0.0314    0.0197    1.5892    0.1627    0.2928
   40.0000    0.0507    0.0313    0.0197    1.5903    0.1617    0.2942
   41.0000    0.0510    0.0313    0.0197    1.5905    0.1617    0.2948
   42.0000    0.0514    0.0312    0.0196    1.5905    0.1621    0.2954
   43.0000    0.0519    0.0311    0.0196    1.5906    0.1625    0.2963
   44.0000    0.0524    0.0310    0.0195    1.5905    0.1630    0.2970
   45.0000    0.0530    0.0309    0.0194    1.5906    0.1634    0.2982
   46.0000    0.0536    0.0308    0.0194    1.5905    0.1640    0.2990
   47.0000    0.0543    0.0307    0.0193    1.5906    0.1645    0.3001
   48.0000    0.0550    0.0305    0.0192    1.5906    0.1651    0.3012
   49.0000    0.0557    0.0304    0.0191    1.5905    0.1658    0.3022
   50.0000    0.0564    0.0303    0.0190    1.5905    0.1664    0.3033
