         t         r       w_H       w_L      w_HL      s_LH      s_LL
    0.0000    0.0523    0.0366    0.0262    1.4012    0.1689    0.3360
    1.0000    0.0525    0.0363    0.0258    1.4036    0.1682    0.3339
    2.0000    0.0527    0.0359    0.0255    1.4060    0.1674    0.3319
    3.0000    0.0528    0.0355    0.0252    1.4084    0.1667    0.3299
    4.0000    0.0530    0.0352    0.0249    1.4108    0.1660    0.3279
    5.0000    0.0531    0.0348    0.0246    1.4132    0.1652    0.3259
    6.0000    0.0532    0.0344    0.0243    1.4155    0.1645    0.3239
    7.0000    0.0533    0.0340    0.0240    1.4178    0.1637    0.3219
    8.0000    0.0534    0.0337    0.0237    1.4201    0.1630    0.3199
    9.0000    0.0534    0.0333    0.0234    1.4225    0.1622    0.3179
   10.0000    0.0535    0.0329    0.0231    1.4248    0.1615    0.3159
   11.0000    0.0535    0.0326    0.0228    1.4270    0.1607    0.3139
   12.0000    0.0535    0.0322    0.0225    1.4293    0.1599    0.3119
   13.0000    0.0535    0.0318    0.0222    1.4316    0.1592    0.3099
   14.0000    0.0534    0.0314    0.0219    1.4339    0.1584    0.3079
   15.0000    0.0534    0.0311    0.0216    1.4362    0.1576    0.3058
   16.0000    0.0533    0.0307    0.0213    1.4385    0.1568    0.3038
   17.0000    0.0532    0.0303    0.0210    1.4408    0.1560    0.3018
   18.0000    0.0532    0.0299    0.0207    1.4430    0.1552    0.2997
   19.0000    0.0531    0.0296    0.0204    1.4452    0.1544    0.2978
   20.0000    0.0531    0.0295    0.0204    1.4454    0.1544    0.2977
   21.0000    0.0532    0.0295    0.0204    1.4454    0.1544    0.2978
   22.0000    0.0533    0.0295    0.0204    1.4454    0.1545    0.2980
   23.0000    0.0534    0.0295    0.0204    1.4454    0.1547    0.2982
   24.0000    0.0536    0.0294    0.0204    1.4454    0.1548    0.2986
   25.0000    0.0539    0.0294    0.0203    1.4454    0.1551    0.2991
   26.0000    0.0543    0.0293    0.0203    1.4454    0.1554    0.2996
   27.0000    0.0547    0.0292    0.0202    1.4454    0.1558    0.3004
   28.0000    0.0553    0.0291    0.0202    1.4454    0.1562    0.3012
   29.0000    0.0559    0.0290    0.0201    1.4454    0.1567    0.3022
   30.0000    0.0566    0.0289    0.0200    1.4454    0.1573    0.3033
   31.0000    0.0573    0.0288    0.0199    1.4454    0.1579    0.3045
   32.0000    0.0581    0.0286    0.0198    1.4454    0.1585    0.3057
   33.0000    0.0589    0.0285    0.0197    1.4454    0.1592    0.3070
