         t         g       g_N       g_I      g_hH      g_hL
    0.0000    4.4648    4.2036    4.2036    0.2612    0.2612
    1.0000    4.4888    4.2276    5.5176    0.2612    0.2612
    2.0000    4.5110    4.2498    5.5174    0.2612    0.2612
    3.0000    4.5312    4.2700    5.5163    0.2612    0.2612
    4.0000    4.5494    4.2882    5.5174    0.2612    0.2612
    5.0000    4.5658    4.3046    5.5173    0.2612    0.2612
    6.0000    4.5840    4.3228    5.5174    0.2612    0.2612
    7.0000    4.6005    4.3392    5.5171    0.2612    0.2612
    8.0000    4.6153    4.3540    5.5160    0.2612    0.2612
    9.0000    4.6284    4.3672    5.5161    0.2612    0.2612
   10.0000    4.6399    4.3787    5.5146    0.2612    0.2612
   11.0000    4.6504    4.3892    5.5135    0.2612    0.2612
   12.0000    4.6640    4.4028    5.5166    0.2612    0.2612
   13.0000    4.6715    4.4103    5.5154    0.2612    0.2612
   14.0000    4.6776    4.4163    5.5120    0.2612    0.2612
   15.0000    4.6823    4.4211    5.5109    0.2612    0.2612
   16.0000    4.6866    4.4253    5.5104    0.2612    0.2612
   17.0000    4.6892    4.4280    5.4850    0.2612    0.2612
   18.0000    4.6915    4.4303    5.4510    0.2612    0.2612
   19.0000    4.6942    4.4330    5.4241    0.2612    0.2612
   20.0000    4.7058    4.4445    5.5166    0.2612    0.2612
   21.0000    4.7214    4.4602    5.5173    0.2612    0.2612
   22.0000    4.7417    4.4804    5.5175    0.2612    0.2612
   23.0000    4.7676    4.5064    5.5174    0.2612    0.2612
   24.0000    4.7962    4.5350    5.5171    0.2612    0.2612
   25.0000    4.8321    4.5709    5.5155    0.2612    0.2612
   26.0000    4.8764    4.6152    5.5174    0.2612    0.2612
   27.0000    4.9291    4.6678    5.5174    0.2612    0.2612
   28.0000    4.9891    4.7279    5.5174    0.2612    0.2612
   29.0000    5.0561    4.7948    5.5169    0.2612    0.2612
   30.0000    5.1284    4.8671    5.5175    0.2612    0.2612
   31.0000    5.2040    4.9428    5.5176    0.2612    0.2612
   32.0000    5.2805    5.0193    5.5175    0.2612    0.2612
   33.0000    5.3554    5.0942    5.5153    0.2612    0.2612
   34.0000    5.4265    5.1652    5.5174    0.2612    0.2612
   35.0000    5.4912    5.2300    5.5169    0.2612    0.2612
   36.0000    5.5494    5.2881    5.5173    0.2612    0.2612
   37.0000    5.6002    5.3390    5.5172    0.2612    0.2612
   38.0000    5.6429    5.3816    5.5171    0.2612    0.2612
   39.0000    5.6777    5.4165    5.5169    0.2612    0.2612
   40.0000    5.7053    5.4441    5.5162    0.2612    0.2612
   41.0000    5.7266    5.4653    5.5161    0.2612    0.2612
   42.0000    5.7425    5.4813    5.5130    0.2612    0.2612
   43.0000    5.7541    5.4929    5.5114    0.2612    0.2612
   44.0000    5.7624    5.5012    5.5159    0.2612    0.2612
