         t         N         I         S      h_HL       h_H       h_L       Eta   Gamma_H   Gamma_L
    0.0000    1.0000    0.6818    0.9068   -0.8098   -0.8098    0.0000    0.6495    0.0622    0.0963
    1.0000    1.0186    0.6862    0.9072   -0.8098   -0.8072    0.0027    0.6543    0.0619    0.0946
    2.0000    1.0371    0.6907    0.9083   -0.8098   -0.8046    0.0054    0.6590    0.0612    0.0932
    3.0000    1.0557    0.6951    0.9095   -0.8079   -0.8020    0.0081    0.6638    0.0604    0.0917
    4.0000    1.0742    0.6996    0.9062   -0.7045   -0.7993    0.0108    0.6686    0.0626    0.0794
    5.0000    1.0928    0.7040    0.9074   -0.7045   -0.7967    0.0134    0.6734    0.0618    0.0782
    6.0000    1.1113    0.7084    0.9085   -0.7045   -0.7941    0.0161    0.6782    0.0610    0.0770
    7.0000    1.1299    0.7129    0.9095   -0.7045   -0.7915    0.0188    0.6829    0.0603    0.0757
    8.0000    1.1485    0.7173    0.9108   -0.7045   -0.7889    0.0215    0.6877    0.0595    0.0746
    9.0000    1.1670    0.7217    0.9119   -0.7045   -0.7863    0.0242    0.6925    0.0587    0.0733
   10.0000    1.1856    0.7262    0.9130   -0.7045   -0.7837    0.0268    0.6973    0.0579    0.0721
   11.0000    1.2041    0.7306    0.9143   -0.7045   -0.7811    0.0295    0.7021    0.0571    0.0709
   12.0000    1.2227    0.7351    0.9154   -0.7045   -0.7784    0.0322    0.7070    0.0563    0.0696
   13.0000    1.2413    0.7395    0.9166   -0.7045   -0.7758    0.0349    0.7118    0.0555    0.0684
   14.0000    1.2598    0.7439    0.9177   -0.7045   -0.7732    0.0376    0.7166    0.0547    0.0672
   15.0000    1.2784    0.7484    0.9190   -0.7045   -0.7706    0.0402    0.7214    0.0538    0.0660
   16.0000    1.2969    0.7528    0.9202   -0.7045   -0.7680    0.0429    0.7262    0.0530    0.0648
   17.0000    1.3155    0.7572    0.9214   -0.7045   -0.7654    0.0456    0.7310    0.0521    0.0635
   18.0000    1.3340    0.7616    0.9226   -0.7045   -0.7628    0.0483    0.7358    0.0513    0.0623
   19.0000    1.3526    0.7623    0.9228   -0.7045   -0.7602    0.0509    0.7366    0.0512    0.0621
   20.0000    1.3712    0.7623    0.9227   -0.7045   -0.7575    0.0536    0.7366    0.0512    0.0621
   21.0000    1.3897    0.7623    0.9228   -0.7045   -0.7549    0.0563    0.7366    0.0512    0.0621
   22.0000    1.4083    0.7623    0.9228   -0.7045   -0.7523    0.0590    0.7366    0.0512    0.0621
   23.0000    1.4268    0.7623    0.9227   -0.7045   -0.7497    0.0617    0.7366    0.0513    0.0621
   24.0000    1.4454    0.7623    0.9227   -0.7045   -0.7471    0.0644    0.7366    0.0512    0.0621
   25.0000    1.4639    0.7623    0.9229   -0.7045   -0.7445    0.0670    0.7366    0.0511    0.0622
   26.0000    1.4825    0.7623    0.9227   -0.7045   -0.7419    0.0697    0.7366    0.0513    0.0621
   27.0000    1.5011    0.7623    0.9228   -0.7045   -0.7393    0.0724    0.7366    0.0512    0.0621
   28.0000    1.5196    0.7623    0.9227   -0.7045   -0.7366    0.0751    0.7366    0.0512    0.0621
   29.0000    1.5382    0.7623    0.9227   -0.7045   -0.7340    0.0778    0.7366    0.0512    0.0621
   30.0000    1.5567    0.7623    0.9227   -0.7045   -0.7314    0.0805    0.7366    0.0512    0.0621
   31.0000    1.5753    0.7623    0.9228   -0.7045   -0.7288    0.0831    0.7366    0.0512    0.0621
   32.0000    1.5939    0.7623    0.9228   -0.7045   -0.7262    0.0858    0.7366    0.0512    0.0621
   33.0000    1.6124    0.7623    0.9228   -0.7045   -0.7236    0.0885    0.7366    0.0512    0.0621
   34.0000    1.6310    0.7623    0.9228   -0.7045   -0.7210    0.0912    0.7366    0.0512    0.0621
   35.0000    1.6495    0.7623    0.9227   -0.7045   -0.7184    0.0938    0.7366    0.0512    0.0621
   36.0000    1.6681    0.7623    0.9228   -0.7045   -0.7157    0.0965    0.7366    0.0512    0.0621
   37.0000    1.6866    0.7623    0.9228   -0.7045   -0.7131    0.0992    0.7366    0.0512    0.0621
   38.0000    1.7052    0.7623    0.9229   -0.7045   -0.7105    0.1019    0.7366    0.0511    0.0622
   39.0000    1.7238    0.7623    0.9231   -0.7045   -0.7079    0.1046    0.7366    0.0510    0.0622
   40.0000    1.7425    0.7623    0.9236   -0.7045   -0.7051    0.1072    0.7366    0.0506    0.0625
   41.0000    1.7613    0.7623    0.9237   -0.7045   -0.7024    0.1099    0.7366    0.0506    0.0625
   42.0000    1.7803    0.7623    0.9237   -0.7045   -0.6996    0.1126    0.7366    0.0506    0.0625
   43.0000    1.7995    0.7623    0.9237   -0.7045   -0.6969    0.1153    0.7366    0.0506    0.0625
   44.0000    1.8189    0.7623    0.9237   -0.7045   -0.6942    0.1179    0.7366    0.0506    0.0625
   45.0000    1.8387    0.7623    0.9238   -0.7045   -0.6914    0.1206    0.7366    0.0505    0.0626
   46.0000    1.8587    0.7623    0.9237   -0.7045   -0.6887    0.1233    0.7366    0.0506    0.0625
   47.0000    1.8790    0.7623    0.9237   -0.7045   -0.6859    0.1260    0.7366    0.0505    0.0626
   48.0000    1.8996    0.7623    0.9237   -0.7045   -0.6832    0.1286    0.7366    0.0505    0.0626
   49.0000    1.9205    0.7623    0.9237   -0.7045   -0.6805    0.1313    0.7366    0.0506    0.0625
   50.0000    1.9417    0.7623    0.9237   -0.7045   -0.6777    0.1340    0.7366    0.0506    0.0625
   51.0000    1.9632    0.7623    0.9238   -0.7045   -0.6750    0.1367    0.7366    0.0505    0.0626
   52.0000    1.9849    0.7623    0.9237   -0.7045   -0.6722    0.1394    0.7366    0.0505    0.0625
   53.0000    2.0069    0.7623    0.9238   -0.7045   -0.6695    0.1420    0.7366    0.0505    0.0626
   54.0000    2.0290    0.7623    0.9237   -0.7045   -0.6668    0.1447    0.7366    0.0506    0.0625
   55.0000    2.0514    0.7623    0.9236   -0.7045   -0.6640    0.1474    0.7366    0.0506    0.0625
   56.0000    2.0739    0.7623    0.9237   -0.7045   -0.6613    0.1501    0.7366    0.0505    0.0626
   57.0000    2.0966    0.7623    0.9236   -0.7045   -0.6585    0.1527    0.7366    0.0506    0.0625
