         t         g       g_N       g_I      g_hH      g_hL
    0.0000    4.4648    4.2036    4.2036    0.2612    0.2612
    1.0000    4.4888    4.2276    5.5168    0.2612    0.2612
    2.0000    4.5110    4.2498    5.5164    0.2612    0.2612
    3.0000    4.5312    4.2699    5.5110    0.2612    0.2612
    4.0000    4.5494    4.2881    5.5169    0.2612    0.2612
    5.0000    4.5658    4.3046    5.5146    0.2612    0.2612
    6.0000    4.5839    4.3227    5.5168    0.2612    0.2612
    7.0000    4.6004    4.3392    5.5158    0.2612    0.2612
    8.0000    4.6152    4.3539    5.5156    0.2612    0.2612
    9.0000    4.6283    4.3671    5.5142    0.2612    0.2612
   10.0000    4.6399    4.3786    5.5142    0.2612    0.2612
   11.0000    4.6504    4.3891    5.5101    0.2612    0.2612
   12.0000    4.6639    4.4026    5.5161    0.2612    0.2612
   13.0000    4.6713    4.4101    5.5114    0.2612    0.2612
   14.0000    4.6772    4.4159    5.5120    0.2612    0.2612
   15.0000    4.6816    4.4203    5.5121    0.2612    0.2612
   16.0000    4.6850    4.4238    5.5124    0.2612    0.2612
   17.0000    4.6862    4.4250    5.4866    0.2612    0.2612
   18.0000    4.6860    4.4247    5.4469    0.2612    0.2612
   19.0000    4.6844    4.4232    5.4174    0.2612    0.2612
   20.0000    4.6905    4.4293    5.5145    0.2612    0.2612
   21.0000    4.6972    4.4360    5.5161    0.2612    0.2612
   22.0000    4.7032    4.4419    5.5146    0.2612    0.2612
   23.0000    4.7086    4.4474    5.5166    0.2612    0.2612
   24.0000    4.7098    4.4486    5.5104    0.2612    0.2612
   25.0000    4.7106    4.4494    5.5164    0.2612    0.2612
   26.0000    4.7115    4.4502    5.5168    0.2612    0.2612
   27.0000    4.7123    4.4511    5.5156    0.2612    0.2612
   28.0000    4.7126    4.4514    5.5170    0.2612    0.2612
   29.0000    4.7129    4.4516    5.5167    0.2612    0.2612
   30.0000    4.7132    4.4519    5.5162    0.2612    0.2612
   31.0000    4.7135    4.4523    5.5158    0.2612    0.2612
   32.0000    4.7139    4.4527    5.5158    0.2612    0.2612
   33.0000    4.7145    4.4532    5.5172    0.2612    0.2612
   34.0000    4.7152    4.4540    5.5170    0.2612    0.2612
   35.0000    4.7162    4.4550    5.5164    0.2612    0.2612
   36.0000    4.7176    4.4564    5.5161    0.2612    0.2612
   37.0000    4.7194    4.4582    5.5168    0.2612    0.2612
   38.0000    4.7218    4.4605    5.5167    0.2612    0.2612
   39.0000    4.7247    4.4634    5.5164    0.2612    0.2612
   40.0000    4.7283    4.4671    5.5149    0.2612    0.2612
   41.0000    4.7326    4.4714    5.5166    0.2612    0.2612
   42.0000    4.7379    4.4766    5.5167    0.2612    0.2612
   43.0000    4.7441    4.4829    5.5167    0.2612    0.2612
   44.0000    4.7515    4.4902    5.5171    0.2612    0.2612
   45.0000    4.7601    4.4988    5.5171    0.2612    0.2612
   46.0000    4.7701    4.5088    5.5162    0.2612    0.2612
   47.0000    4.7817    4.5204    5.5170    0.2612    0.2612
   48.0000    4.7950    4.5337    5.5170    0.2612    0.2612
   49.0000    4.8102    4.5490    5.5160    0.2612    0.2612
   50.0000    4.8276    4.5663    5.5160    0.2612    0.2612
   51.0000    4.8473    4.5861    5.5162    0.2612    0.2612
   52.0000    4.8697    4.6084    5.5169    0.2612    0.2612
   53.0000    4.8949    4.6337    5.5170    0.2612    0.2612
   54.0000    4.9234    4.6622    5.5161    0.2612    0.2612
   55.0000    4.9556    4.6943    5.5167    0.2612    0.2612
   56.0000    4.9919    4.7307    5.5167    0.2612    0.2612
   57.0000    5.0331    4.7718    5.5158    0.2612    0.2612
   58.0000    5.0798    4.8186    5.5167    0.2612    0.2612
   59.0000    5.1331    4.8719    5.5162    0.2612    0.2612
   60.0000    5.1943    4.9330    5.5171    0.2612    0.2612
   61.0000    5.2644    5.0031    5.5164    0.2612    0.2612
   62.0000    5.3441    5.0829    5.5169    0.2612    0.2612
   63.0000    5.4327    5.1714    5.5151    0.2612    0.2612
   64.0000    5.5263    5.2650    5.5165    0.2612    0.2612
   65.0000    5.6194    5.3582    5.5170    0.2612    0.2612
   66.0000    5.6994    5.4382    5.5158    0.2612    0.2612
   67.0000    5.7533    5.4920    5.5170    0.2612    0.2612
   68.0000    5.7766    5.5153    5.5168    0.2612    0.2612
   69.0000    5.7788    5.5175    5.5170    0.2612    0.2612
   70.0000    5.7786    5.5173    5.5146    0.2612    0.2612
   71.0000    5.7780    5.5167    5.5124    0.2612    0.2612
   72.0000    5.7764    5.5152    5.5104    0.2612    0.2612
   73.0000    5.7728    5.5116    5.5080    0.2612    0.2612
   74.0000    5.7641    5.5029    5.5024    0.2612    0.2612
   75.0000    5.7438    5.4826    5.5111    0.2612    0.2612
   76.0000    5.7006    5.4393    5.5113    0.2612    0.2612
   77.0000    5.6243    5.3631    5.5098    0.2612    0.2612
   78.0000    5.5234    5.2622    5.5131    0.2612    0.2612
   79.0000    5.4143    5.1531    5.5145    0.2612    0.2612
   80.0000    5.3088    5.0476    5.5131    0.2612    0.2612
   81.0000    5.2126    4.9513    5.5141    0.2612    0.2612
   82.0000    5.1269    4.8656    5.5169    0.2612    0.2612
   83.0000    5.0523    4.7910    5.5156    0.2612    0.2612
   84.0000    4.9885    4.7273    5.5160    0.2612    0.2612
   85.0000    4.9348    4.6736    5.5163    0.2612    0.2612
   86.0000    4.8901    4.6288    5.5170    0.2612    0.2612
   87.0000    4.8532    4.5919    5.5139    0.2612    0.2612
   88.0000    4.8230    4.5618    5.5167    0.2612    0.2612
   89.0000    4.7986    4.5374    5.5162    0.2612    0.2612
   90.0000    4.7790    4.5178    5.5154    0.2612    0.2612
   91.0000    4.7635    4.5023    5.5162    0.2612    0.2612
   92.0000    4.7513    4.4901    5.5159    0.2612    0.2612
   93.0000    4.7418    4.4806    5.5164    0.2612    0.2612
   94.0000    4.7346    4.4734    5.5164    0.2612    0.2612
   95.0000    4.7292    4.4679    5.5168    0.2612    0.2612
   96.0000    4.7251    4.4639    5.5170    0.2612    0.2612
   97.0000    4.7223    4.4610    5.5157    0.2612    0.2612
   98.0000    4.7203    4.4591    5.5154    0.2612    0.2612
   99.0000    4.7192    4.4579    5.5165    0.2612    0.2612
  100.0000    5.7789    5.5177    5.5177    0.2612    0.2612
