    number     tau_k     tau_N     tau_I    tau_hH    tau_hL
         1    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0000    0.0000    0.0000    0.0000    0.0000
         2    0.0000    0.0000    0.0100    0.0000    0.0000
         2    0.0000    0.0000    0.0100    0.0000    0.0000
         2    0.0000    0.0000    0.0100    0.0000    0.0000
         2    0.0000    0.0000    0.0100    0.0000    0.0000
         2    0.0000    0.0000    0.0100    0.0000    0.0000
         3    0.0000    0.0000    0.0000    0.0070    0.0000
         3    0.0000    0.0000    0.0000    0.0070    0.0000
         3    0.0000    0.0000    0.0000    0.0070    0.0000
         3    0.0000    0.0000    0.0000    0.0070    0.0000
         3    0.0000    0.0000    0.0000    0.0070    0.0000
