         t         r       w_H       w_L      w_HL      s_LH      s_LL
    0.0000    0.0523    0.0366    0.0262    1.4012    0.1689    0.3360
    0.5000    0.0391    0.0392    0.0277    1.4144    0.1487    0.3198
    1.0000    0.0385    0.0389    0.0275    1.4156    0.1506    0.3122
    1.5000    0.0388    0.0384    0.0270    1.4212    0.1506    0.3083
    2.0000    0.0394    0.0377    0.0264    1.4288    0.1515    0.3038
    2.5000    0.0400    0.0369    0.0256    1.4392    0.1529    0.2986
    3.0000    0.0418    0.0358    0.0246    1.4538    0.1540    0.2968
    3.5000    0.0440    0.0346    0.0235    1.4706    0.1546    0.2967
    4.0000    0.0461    0.0335    0.0225    1.4855    0.1568    0.2953
    4.5000    0.0477    0.0326    0.0217    1.4995    0.1576    0.2949
    5.0000    0.0479    0.0321    0.0213    1.5089    0.1587    0.2912
    5.5000    0.0484    0.0317    0.0209    1.5163    0.1588    0.2903
    6.0000    0.0522    0.0308    0.0202    1.5218    0.1609    0.2965
    6.5000    0.0549    0.0302    0.0198    1.5245    0.1622    0.3014
    7.0000    0.0624    0.0289    0.0190    1.5251    0.1682    0.3124
    7.5000    0.0624    0.0289    0.0190    1.5252    0.1681    0.3123
    8.0000    0.0624    0.0289    0.0190    1.5253    0.1681    0.3123
    8.5000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
    9.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
    9.5000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   10.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   10.5000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   11.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   11.5000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   12.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   12.5000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   13.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   13.5000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   14.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   14.5000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   15.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   15.5000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   16.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   16.5000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   17.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   17.5000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   18.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   18.5000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   19.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   19.5000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   20.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   20.5000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   21.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   21.5000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   22.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   22.5000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   23.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   23.5000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   24.0000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
   24.5000    0.0624    0.0289    0.0189    1.5254    0.1681    0.3122
